Date,AQI
01-05-2015,179
02-05-2015,135
03-05-2015,84
04-05-2015,104
05-05-2015,88
06-05-2015,91
07-05-2015,65
08-05-2015,62
09-05-2015,294
10-05-2015,56
11-05-2015,78
12-05-2015,102
13-05-2015,69
14-05-2015,71
15-05-2015,70
16-05-2015,87
17-05-2015,158
18-05-2015,93
19-05-2015,140
20-05-2015,76
21-05-2015,80
22-05-2015,78
23-05-2015,102
27-05-2015,99
28-05-2015,187
29-05-2015,212
30-05-2015,92
01-06-2015,71
02-06-2015,66
03-06-2015,66
04-06-2015,66
05-06-2015,63
06-06-2015,147
07-06-2015,127
08-06-2015,118
09-06-2015,105
10-06-2015,62
11-06-2015,49
13-06-2015,61
14-06-2015,111
15-06-2015,73
16-06-2015,72
17-06-2015,145
18-06-2015,120
19-06-2015,112
20-06-2015,259
21-06-2015,47
22-06-2015,43
23-06-2015,51
24-06-2015,46
25-06-2015,29
26-06-2015,84
27-06-2015,58
28-06-2015,69
01-07-2015,42
02-07-2015,48
03-07-2015,77
04-07-2015,107
05-07-2015,124
06-07-2015,229
07-07-2015,37
08-07-2015,46
09-07-2015,58
10-07-2015,64
11-07-2015,81
14-07-2015,54
15-07-2015,59
16-07-2015,96
17-07-2015,75
18-07-2015,55
19-07-2015,40
20-07-2015,34
21-07-2015,88
22-07-2015,103
23-07-2015,40
24-07-2015,40
25-07-2015,59
26-07-2015,19
27-07-2015,26
28-07-2015,24
29-07-2015,28
30-07-2015,32
31-07-2015,34
01-08-2015,54
02-08-2015,44
03-08-2015,45
04-08-2015,70
05-08-2015,262
06-08-2015,277
07-08-2015,40
08-08-2015,46
09-08-2015,57
10-08-2015,35
11-08-2015,151
12-08-2015,31
13-08-2015,44
14-08-2015,77
15-08-2015,46
16-08-2015,33
17-08-2015,34
18-08-2015,34
19-08-2015,30
20-08-2015,37
21-08-2015,54
22-08-2015,49
23-08-2015,43
24-08-2015,249
25-08-2015,37
26-08-2015,50
27-08-2015,78
29-08-2015,70
30-08-2015,50
31-08-2015,48
02-09-2015,93
03-09-2015,96
04-09-2015,93
06-09-2015,66
07-09-2015,48
08-09-2015,99
09-09-2015,58
10-09-2015,96
11-09-2015,87
12-09-2015,101
13-09-2015,174
14-09-2015,59
15-09-2015,93
16-09-2015,404
17-09-2015,113
18-09-2015,35
19-09-2015,67
20-09-2015,77
21-09-2015,34
22-09-2015,45
23-09-2015,26
24-09-2015,63
25-09-2015,69
26-09-2015,84
27-09-2015,87
01-10-2015,130
03-10-2015,144
05-10-2015,171
06-10-2015,166
07-10-2015,266
08-10-2015,252
09-10-2015,261
10-10-2015,152
13-10-2015,242
15-10-2015,155
16-10-2015,144
17-10-2015,202
18-10-2015,231
19-10-2015,251
20-10-2015,253
21-10-2015,210
23-10-2015,284
24-10-2015,261
25-10-2015,239
26-10-2015,209
27-10-2015,262
28-10-2015,155
30-10-2015,137
31-10-2015,221
01-11-2015,259
02-11-2015,260
03-11-2015,274
04-11-2015,292
05-11-2015,255
06-11-2015,183
07-11-2015,279
08-11-2015,304
09-11-2015,287
10-11-2015,309
11-11-2015,354
12-11-2015,388
13-11-2015,367
14-11-2015,412
15-11-2015,377
16-11-2015,347
17-11-2015,293
18-11-2015,265
19-11-2015,363
21-11-2015,377
22-11-2015,382
23-11-2015,413
24-11-2015,392
25-11-2015,336
26-11-2015,294
27-11-2015,320
28-11-2015,359
29-11-2015,423
30-11-2015,398
01-12-2015,384
02-12-2015,308
04-12-2015,333
05-12-2015,369
07-12-2015,390
09-12-2015,359
10-12-2015,360
11-12-2015,309
12-12-2015,352
13-12-2015,278
14-12-2015,279
15-12-2015,207
16-12-2015,287
17-12-2015,341
18-12-2015,370
19-12-2015,379
20-12-2015,401
21-12-2015,403
22-12-2015,427
23-12-2015,431
24-12-2015,420
25-12-2015,253
26-12-2015,320
27-12-2015,317
28-12-2015,287
29-12-2015,314
30-12-2015,273
31-12-2015,412
01-01-2016,417
02-01-2016,421
03-01-2016,403
04-01-2016,418
05-01-2016,442
06-01-2016,414
07-01-2016,407
08-01-2016,449
09-01-2016,298
10-01-2016,262
11-01-2016,323
12-01-2016,274
13-01-2016,315
14-01-2016,400
15-01-2016,389
16-01-2016,329
17-01-2016,399
19-01-2016,397
20-01-2016,385
21-01-2016,372
22-01-2016,403
23-01-2016,360
24-01-2016,383
25-01-2016,346
26-01-2016,400
28-01-2016,387
29-01-2016,389
30-01-2016,371
31-01-2016,391
02-02-2016,234
03-02-2016,188
04-02-2016,191
05-02-2016,276
09-02-2016,259
10-02-2016,309
11-02-2016,286
12-02-2016,290
13-02-2016,237
18-02-2016,263
19-02-2016,293
20-02-2016,299
21-02-2016,180
22-02-2016,76
23-02-2016,159
24-02-2016,202
25-02-2016,224
26-02-2016,227
07-03-2016,144
11-03-2016,174
12-03-2016,85
13-03-2016,61
14-03-2016,166
15-03-2016,149
16-03-2016,143
17-03-2016,174
18-03-2016,110
19-03-2016,210
20-03-2016,196
21-03-2016,153
22-03-2016,57
23-03-2016,73
24-03-2016,194
25-03-2016,220
26-03-2016,164
27-03-2016,82
28-03-2016,156
29-03-2016,150
02-04-2016,157
03-04-2016,214
04-04-2016,206
08-04-2016,192
09-04-2016,130
11-04-2016,157
12-04-2016,96
13-04-2016,67
14-04-2016,95
15-04-2016,151
16-04-2016,154
17-04-2016,118
19-04-2016,105
20-04-2016,149
21-04-2016,81
22-04-2016,139
23-04-2016,109
27-04-2016,270
28-04-2016,500
29-04-2016,396
30-04-2016,35
01-05-2016,30
03-05-2016,158
13-05-2016,39
14-05-2016,159
15-05-2016,185
16-05-2016,123
17-05-2016,94
18-05-2016,183
19-05-2016,135
20-05-2016,145
21-05-2016,313
22-05-2016,108
23-05-2016,163
24-05-2016,92
25-05-2016,84
26-05-2016,95
27-05-2016,288
28-05-2016,25
02-06-2016,39
03-06-2016,177
04-06-2016,149
05-06-2016,155
08-06-2016,500
09-06-2016,99
10-06-2016,116
11-06-2016,106
12-06-2016,84
13-06-2016,95
14-06-2016,85
16-06-2016,96
18-06-2016,128
21-06-2016,66
23-06-2016,154
24-06-2016,129
25-06-2016,134
26-06-2016,143
27-06-2016,109
28-06-2016,74
29-06-2016,79
02-07-2016,74
05-07-2016,100
06-07-2016,90
07-07-2016,103
09-07-2016,500
10-07-2016,107
11-07-2016,109
12-07-2016,102
14-07-2016,181
15-07-2016,82
16-07-2016,64
17-07-2016,66
18-07-2016,75
19-07-2016,140
20-07-2016,133
26-07-2016,149
27-07-2016,121
28-07-2016,142
29-07-2016,101
30-07-2016,73
31-07-2016,90
01-08-2016,84
02-08-2016,79
03-08-2016,77
05-08-2016,106
06-08-2016,108
07-08-2016,73
08-08-2016,63
09-08-2016,78
10-08-2016,53
11-08-2016,52
12-08-2016,58
13-08-2016,118
14-08-2016,97
15-08-2016,67
16-08-2016,75
17-08-2016,76
18-08-2016,119
19-08-2016,95
21-08-2016,37
22-08-2016,49
23-08-2016,66
24-08-2016,61
25-08-2016,72
26-08-2016,65
27-08-2016,72
28-08-2016,114
29-08-2016,146
30-08-2016,56
01-09-2016,63
02-09-2016,60
03-09-2016,66
04-09-2016,66
05-09-2016,60
06-09-2016,60
07-09-2016,66
15-09-2016,136
16-09-2016,86
17-09-2016,72
18-09-2016,129
19-09-2016,84
20-09-2016,104
21-09-2016,95
22-09-2016,76
24-09-2016,77
