Date,AQI
01-05-2015,168
02-05-2015,225
03-05-2015,304
04-05-2015,146
05-05-2015,193
06-05-2015,90
07-05-2015,101
08-05-2015,66
09-05-2015,92
10-05-2015,101
11-05-2015,91
12-05-2015,123
13-05-2015,164
14-05-2015,146
15-05-2015,237
16-05-2015,231
17-05-2015,225
18-05-2015,161
19-05-2015,143
23-05-2015,98
24-05-2015,72
25-05-2015,110
26-05-2015,93
27-05-2015,69
29-05-2015,79
30-05-2015,138
31-05-2015,101
01-06-2015,113
02-06-2015,80
03-06-2015,172
04-06-2015,66
05-06-2015,157
06-06-2015,184
07-06-2015,149
08-06-2015,112
09-06-2015,59
10-06-2015,76
11-06-2015,67
13-06-2015,79
15-06-2015,80
16-06-2015,65
17-06-2015,51
18-06-2015,58
19-06-2015,53
20-06-2015,55
21-06-2015,36
22-06-2015,42
23-06-2015,53
24-06-2015,45
25-06-2015,70
26-06-2015,141
27-06-2015,115
28-06-2015,88
01-07-2015,15
02-07-2015,63
03-07-2015,86
04-07-2015,79
05-07-2015,71
06-07-2015,89
07-07-2015,87
08-07-2015,66
09-07-2015,75
10-07-2015,75
11-07-2015,169
12-07-2015,241
13-07-2015,195
15-07-2015,149
16-07-2015,112
17-07-2015,89
18-07-2015,93
19-07-2015,60
22-07-2015,91
23-07-2015,81
24-07-2015,45
25-07-2015,53
26-07-2015,107
27-07-2015,37
28-07-2015,34
29-07-2015,37
30-07-2015,73
31-07-2015,64
01-08-2015,70
02-08-2015,68
03-08-2015,66
04-08-2015,53
06-08-2015,67
07-08-2015,80
08-08-2015,65
09-08-2015,61
11-08-2015,71
12-08-2015,68
13-08-2015,73
16-08-2015,55
17-08-2015,63
18-08-2015,60
20-08-2015,69
22-08-2015,116
23-08-2015,75
24-08-2015,70
31-08-2015,104
01-09-2015,92
02-09-2015,121
03-09-2015,129
04-09-2015,139
05-09-2015,105
06-09-2015,65
07-09-2015,53
10-09-2015,119
11-09-2015,111
12-09-2015,82
13-09-2015,83
14-09-2015,64
15-09-2015,196
16-09-2015,63
17-09-2015,50
18-09-2015,64
22-09-2015,88
23-09-2015,120
24-09-2015,95
26-09-2015,69
27-09-2015,28
28-09-2015,47
29-09-2015,40
30-09-2015,111
02-10-2015,171
03-10-2015,288
04-10-2015,182
06-10-2015,192
07-10-2015,166
08-10-2015,198
09-10-2015,267
10-10-2015,288
11-10-2015,175
12-10-2015,214
13-10-2015,261
14-10-2015,170
15-10-2015,221
16-10-2015,210
17-10-2015,283
18-10-2015,320
19-10-2015,329
23-10-2015,154
24-10-2015,500
25-10-2015,283
31-10-2015,98
28-06-2016,58
29-06-2016,61
30-06-2016,64
01-07-2016,49
02-07-2016,38
03-07-2016,50
05-07-2016,95
06-07-2016,89
14-07-2016,206
15-07-2016,64
16-07-2016,67
17-07-2016,61
18-07-2016,54
20-07-2016,53
24-07-2016,53
26-07-2016,76
27-07-2016,291
28-07-2016,75
29-07-2016,83
30-07-2016,84
31-07-2016,69
01-08-2016,59
02-08-2016,51
03-08-2016,50
08-08-2016,218
09-08-2016,67
10-08-2016,53
11-08-2016,36
12-08-2016,60
13-08-2016,113
14-08-2016,139
15-08-2016,124
16-08-2016,241
17-08-2016,90
18-08-2016,62
19-08-2016,47
20-08-2016,83
21-08-2016,96
22-08-2016,161
23-08-2016,89
24-08-2016,65
25-08-2016,60
26-08-2016,52
27-08-2016,93
28-08-2016,90
29-08-2016,94
30-08-2016,96
31-08-2016,75
01-09-2016,53
02-09-2016,73
03-09-2016,86
04-09-2016,55
05-09-2016,61
06-09-2016,58
07-09-2016,87
08-09-2016,58
09-09-2016,70
10-09-2016,59
11-09-2016,43
12-09-2016,42
13-09-2016,56
14-09-2016,98
15-09-2016,123
16-09-2016,85
17-09-2016,97
22-09-2016,51
23-09-2016,104
24-09-2016,43
25-09-2016,63
26-09-2016,48
27-09-2016,47
28-09-2016,55
29-09-2016,79
30-09-2016,89
01-10-2016,48
