Date,AQI
19-03-2020,69
20-03-2020,67
22-03-2020,71
23-03-2020,50
24-03-2020,69
25-03-2020,108
26-03-2020,92
27-03-2020,75
28-03-2020,81
29-03-2020,89
30-03-2020,56
31-03-2020,53
01-04-2020,68
02-04-2020,70
03-04-2020,55
04-04-2020,41
05-04-2020,43
06-04-2020,50
08-04-2020,44
11-04-2020,53
12-04-2020,39
13-04-2020,43
14-04-2020,63
15-04-2020,77
16-04-2020,40
17-04-2020,28
18-04-2020,38
19-04-2020,18
20-04-2020,18
21-04-2020,24
23-04-2020,18
24-04-2020,13
25-04-2020,11
26-04-2020,9
27-04-2020,13
28-04-2020,14
01-05-2020,15
02-05-2020,18
03-05-2020,10
04-05-2020,13
05-05-2020,15
06-05-2020,14
07-05-2020,13
08-05-2020,19
09-05-2020,22
10-05-2020,23
11-05-2020,37
12-05-2020,49
13-05-2020,42
14-05-2020,33
15-05-2020,28
16-05-2020,16
17-05-2020,20
18-05-2020,28
19-05-2020,34
20-05-2020,19
21-05-2020,14
22-05-2020,23
23-05-2020,22
24-05-2020,27
25-05-2020,17
02-06-2020,15
03-06-2020,15
04-06-2020,15
05-06-2020,17
06-06-2020,17
07-06-2020,15
08-06-2020,23
09-06-2020,18
12-06-2020,17
13-06-2020,11
15-06-2020,11
16-06-2020,11
18-06-2020,8
20-06-2020,15
21-06-2020,11
22-06-2020,14
23-06-2020,12
24-06-2020,27
25-06-2020,33
26-06-2020,11
28-06-2020,6
29-06-2020,9
30-06-2020,9
01-07-2020,12
02-07-2020,11
03-07-2020,8
04-07-2020,11
07-07-2020,13
08-07-2020,9
09-07-2020,7
13-07-2020,9
14-07-2020,12
16-07-2020,11
18-07-2020,10
21-07-2020,10
23-07-2020,14
25-07-2020,13
26-07-2020,11
27-07-2020,16
29-07-2020,12
31-07-2020,13
01-08-2020,15
02-08-2020,11
03-08-2020,20
04-08-2020,19
05-08-2020,17
06-08-2020,16
08-08-2020,77
09-08-2020,37
10-08-2020,36
11-08-2020,43
12-08-2020,22
13-08-2020,16
14-08-2020,14
22-08-2020,13
23-08-2020,14
24-08-2020,18
25-08-2020,15
26-08-2020,15
27-08-2020,15
28-08-2020,19
01-09-2020,18
02-09-2020,16
03-09-2020,17
04-09-2020,18
08-09-2020,18
09-09-2020,18
10-09-2020,19
17-09-2020,20
18-09-2020,21
19-09-2020,21
20-09-2020,22
21-09-2020,22
24-09-2020,22
26-09-2020,23
27-09-2020,23
28-09-2020,23
29-09-2020,23
30-09-2020,24
01-10-2020,24
02-10-2020,24
10-11-2020,25
11-11-2020,14
12-11-2020,17
17-11-2020,44
18-11-2020,45
19-11-2020,51
20-11-2020,72
21-11-2020,48
22-11-2020,48
23-11-2020,55
24-11-2020,18
25-11-2020,14
26-11-2020,13
27-11-2020,15
28-11-2020,17
29-11-2020,14
30-11-2020,13
01-12-2020,18
02-12-2020,14
03-12-2020,15
04-12-2020,17
05-12-2020,34
06-12-2020,66
07-12-2020,163
08-12-2020,146
09-12-2020,151
10-12-2020,75
11-12-2020,39
12-12-2020,27
13-12-2020,18
14-12-2020,29
15-12-2020,39
16-12-2020,32
17-12-2020,40
18-12-2020,71
19-12-2020,67
20-12-2020,24
21-12-2020,22
22-12-2020,19
23-12-2020,19
24-12-2020,26
25-12-2020,25
26-12-2020,25
27-12-2020,12
28-12-2020,11
29-12-2020,12
30-12-2020,16
31-12-2020,13
01-01-2021,13
02-01-2021,15
03-01-2021,17
04-01-2021,14
05-01-2021,22
06-01-2021,14
07-01-2021,27
08-01-2021,43
09-01-2021,56
12-01-2021,104
13-01-2021,95
14-01-2021,92
15-01-2021,106
16-01-2021,139
17-01-2021,158
18-01-2021,66
19-01-2021,99
20-01-2021,208
21-01-2021,193
22-01-2021,78
23-01-2021,57
24-01-2021,77
25-01-2021,63
26-01-2021,43
27-01-2021,46
28-01-2021,32
29-01-2021,32
30-01-2021,36
31-01-2021,65
01-02-2021,83
02-02-2021,80
03-02-2021,61
04-02-2021,40
05-02-2021,39
06-02-2021,29
07-02-2021,51
08-02-2021,67
09-02-2021,65
10-02-2021,70
11-02-2021,69
12-02-2021,101
13-02-2021,92
14-02-2021,70
15-02-2021,122
16-02-2021,108
17-02-2021,118
18-02-2021,59
19-02-2021,67
20-02-2021,84
22-02-2021,59
23-02-2021,70
24-02-2021,89
25-02-2021,162
26-02-2021,112
01-03-2021,76
02-03-2021,75
03-03-2021,96
04-03-2021,87
05-03-2021,68
06-03-2021,107
07-03-2021,63
08-03-2021,76
09-03-2021,89
10-03-2021,84
11-03-2021,83
12-03-2021,92
13-03-2021,127
14-03-2021,110
15-03-2021,80
16-03-2021,100
17-03-2021,98
18-03-2021,110
19-03-2021,149
20-03-2021,154
21-03-2021,136
22-03-2021,93
23-03-2021,90
24-03-2021,109
25-03-2021,162
26-03-2021,93
27-03-2021,103
28-03-2021,115
29-03-2021,124
30-03-2021,93
31-03-2021,93
01-04-2021,73
02-04-2021,86
03-04-2021,93
04-04-2021,71
05-04-2021,50
06-04-2021,72
07-04-2021,89
08-04-2021,93
09-04-2021,69
10-04-2021,65
11-04-2021,72
12-04-2021,78
13-04-2021,76
14-04-2021,71
15-04-2021,67
16-04-2021,62
17-04-2021,51
18-04-2021,31
19-04-2021,33
20-04-2021,49
21-04-2021,64
22-04-2021,63
23-04-2021,69
24-04-2021,47
25-04-2021,50
26-04-2021,73
27-04-2021,77
28-04-2021,76
29-04-2021,61
30-04-2021,61
01-05-2021,38
02-05-2021,38
03-05-2021,40
04-05-2021,18
05-05-2021,19
06-05-2021,29
07-05-2021,33
08-05-2021,27
09-05-2021,22
