Date,AQI
26-10-2017,116
27-10-2017,123
28-10-2017,125
29-10-2017,112
30-10-2017,129
31-10-2017,117
01-11-2017,129
02-11-2017,125
03-11-2017,131
04-11-2017,139
05-11-2017,116
06-11-2017,161
07-11-2017,137
08-11-2017,136
09-11-2017,117
10-11-2017,136
11-11-2017,139
12-11-2017,139
13-11-2017,149
14-11-2017,123
15-11-2017,157
16-11-2017,156
17-11-2017,255
18-11-2017,189
19-11-2017,263
20-11-2017,93
22-11-2017,143
23-11-2017,112
24-11-2017,128
25-11-2017,115
26-11-2017,142
27-11-2017,112
28-11-2017,109
29-11-2017,89
07-12-2017,133
09-12-2017,174
10-12-2017,85
17-12-2017,140
18-12-2017,87
19-12-2017,83
20-12-2017,115
21-12-2017,237
22-12-2017,76
23-12-2017,87
24-12-2017,112
25-12-2017,124
26-12-2017,101
27-12-2017,118
28-12-2017,105
29-12-2017,111
30-12-2017,127
31-12-2017,127
01-01-2018,60
02-01-2018,125
03-01-2018,115
04-01-2018,105
05-01-2018,127
06-01-2018,125
07-01-2018,130
08-01-2018,116
09-01-2018,128
10-01-2018,155
11-01-2018,140
12-01-2018,119
13-01-2018,156
14-01-2018,124
15-01-2018,88
16-01-2018,95
17-01-2018,109
18-01-2018,144
19-01-2018,136
20-01-2018,118
21-01-2018,119
22-01-2018,127
23-01-2018,119
24-01-2018,170
25-01-2018,136
26-01-2018,150
27-01-2018,133
28-01-2018,132
29-01-2018,127
30-01-2018,134
31-01-2018,114
01-02-2018,135
02-02-2018,122
03-02-2018,115
04-02-2018,93
05-02-2018,101
06-02-2018,105
07-02-2018,114
08-02-2018,151
09-02-2018,107
10-02-2018,111
11-02-2018,117
12-02-2018,109
13-02-2018,101
14-02-2018,82
16-02-2018,113
28-02-2018,107
01-03-2018,116
02-03-2018,99
03-03-2018,99
05-03-2018,66
06-03-2018,55
07-03-2018,76
08-03-2018,105
09-03-2018,72
10-03-2018,84
11-03-2018,103
12-03-2018,117
13-03-2018,107
14-03-2018,103
15-03-2018,128
16-03-2018,143
17-03-2018,93
18-03-2018,94
19-03-2018,126
20-03-2018,84
21-03-2018,104
22-03-2018,105
23-03-2018,104
24-03-2018,114
25-03-2018,148
26-03-2018,132
27-03-2018,136
28-03-2018,102
30-03-2018,95
31-03-2018,91
01-04-2018,109
02-04-2018,128
03-04-2018,96
04-04-2018,110
05-04-2018,117
