Date,AQI
13-06-2023,73
14-06-2023,78
15-06-2023,92
16-06-2023,101
17-06-2023,104
18-06-2023,114
19-06-2023,127
20-06-2023,109
21-06-2023,101
22-06-2023,92
23-06-2023,84
27-06-2023,95
01-07-2023,39
02-07-2023,40
03-07-2023,43
04-07-2023,85
05-07-2023,39
06-07-2023,31
07-07-2023,37
08-07-2023,48
09-07-2023,61
10-07-2023,53
11-07-2023,71
12-07-2023,48
13-07-2023,47
14-07-2023,68
15-07-2023,53
16-07-2023,48
17-07-2023,46
18-07-2023,50
19-07-2023,40
20-07-2023,31
21-07-2023,47
22-07-2023,36
23-07-2023,32
24-07-2023,34
25-07-2023,37
26-07-2023,48
27-07-2023,47
28-07-2023,40
29-07-2023,45
30-07-2023,49
31-07-2023,53
01-08-2023,49
02-08-2023,46
03-08-2023,50
04-08-2023,55
05-08-2023,57
06-08-2023,47
07-08-2023,60
08-08-2023,76
09-08-2023,103
10-08-2023,83
11-08-2023,68
12-08-2023,71
13-08-2023,62
14-08-2023,67
15-08-2023,78
16-08-2023,71
17-08-2023,85
18-08-2023,81
19-08-2023,66
20-08-2023,51
21-08-2023,63
22-08-2023,82
23-08-2023,47
24-08-2023,49
25-08-2023,51
26-08-2023,55
27-08-2023,46
29-08-2023,115
30-08-2023,114
31-08-2023,124
01-09-2023,110
02-09-2023,120
03-09-2023,110
04-09-2023,94
05-09-2023,88
06-09-2023,83
07-09-2023,46
08-09-2023,36
09-09-2023,30
10-09-2023,44
11-09-2023,58
12-09-2023,62
13-09-2023,66
14-09-2023,58
15-09-2023,34
16-09-2023,35
17-09-2023,48
18-09-2023,37
19-09-2023,62
20-09-2023,61
21-09-2023,62
22-09-2023,36
23-09-2023,52
24-09-2023,48
25-09-2023,52
26-09-2023,60
27-09-2023,48
28-09-2023,79
29-09-2023,63
30-09-2023,48
01-10-2023,70
02-10-2023,123
03-10-2023,122
04-10-2023,151
05-10-2023,114
06-10-2023,106
07-10-2023,123
08-10-2023,132
09-10-2023,121
10-10-2023,130
11-10-2023,146
12-10-2023,142
13-10-2023,152
14-10-2023,188
15-10-2023,183
16-10-2023,229
17-10-2023,261
18-10-2023,215
19-10-2023,197
21-10-2023,155
22-10-2023,142
23-10-2023,134
24-10-2023,104
25-10-2023,110
26-10-2023,95
27-10-2023,250
28-10-2023,252
29-10-2023,303
30-10-2023,309
31-10-2023,296
02-11-2023,297
03-11-2023,326
04-11-2023,330
05-11-2023,205
06-11-2023,187
07-11-2023,129
08-11-2023,134
09-11-2023,153
10-11-2023,117
11-11-2023,125
12-11-2023,214
13-11-2023,227
14-11-2023,177
15-11-2023,158
16-11-2023,158
17-11-2023,158
18-11-2023,137
19-11-2023,108
20-11-2023,116
21-11-2023,108
22-11-2023,116
23-11-2023,122
24-11-2023,104
25-11-2023,120
26-11-2023,119
27-11-2023,94
28-11-2023,93
29-11-2023,72
30-11-2023,93
01-12-2023,68
02-12-2023,74
03-12-2023,98
05-12-2023,115
06-12-2023,57
07-12-2023,40
08-12-2023,70
09-12-2023,60
10-12-2023,63
11-12-2023,78
12-12-2023,77
13-12-2023,143
14-12-2023,116
15-12-2023,126
16-12-2023,153
17-12-2023,171
18-12-2023,114
19-12-2023,103
20-12-2023,166
21-12-2023,134
22-12-2023,147
23-12-2023,136
24-12-2023,112
25-12-2023,132
26-12-2023,173
27-12-2023,159
28-12-2023,132
29-12-2023,142
30-12-2023,214
31-12-2023,134
