Date,AQI
19-10-2017,288
20-10-2017,180
21-10-2017,217
22-10-2017,245
23-10-2017,178
24-10-2017,176
25-10-2017,214
26-10-2017,202
27-10-2017,262
29-10-2017,197
30-10-2017,214
31-10-2017,128
01-11-2017,301
02-11-2017,192
03-11-2017,94
04-11-2017,221
05-11-2017,87
06-11-2017,91
07-11-2017,191
08-11-2017,293
10-11-2017,336
11-11-2017,355
12-11-2017,326
13-11-2017,306
14-11-2017,268
15-11-2017,304
16-11-2017,312
17-11-2017,278
18-11-2017,134
19-11-2017,280
20-11-2017,159
21-11-2017,120
22-11-2017,234
23-11-2017,168
24-11-2017,173
25-11-2017,217
26-11-2017,221
19-12-2017,124
20-12-2017,194
21-12-2017,181
22-12-2017,173
23-12-2017,123
24-12-2017,148
25-12-2017,146
26-12-2017,175
27-12-2017,219
28-12-2017,174
29-12-2017,187
30-12-2017,215
31-12-2017,232
01-01-2018,322
02-01-2018,341
03-01-2018,317
04-01-2018,255
05-01-2018,266
06-01-2018,298
09-01-2018,190
10-01-2018,192
11-01-2018,221
12-01-2018,213
13-01-2018,204
15-01-2018,220
16-01-2018,264
17-01-2018,197
18-01-2018,296
19-01-2018,244
20-01-2018,204
21-01-2018,177
22-01-2018,221
23-01-2018,290
24-01-2018,183
25-01-2018,95
26-01-2018,99
27-01-2018,145
28-01-2018,71
29-01-2018,56
30-01-2018,79
31-01-2018,130
01-02-2018,135
02-02-2018,179
05-02-2018,172
14-02-2018,69
01-03-2018,165
04-03-2018,120
05-03-2018,110
06-03-2018,97
07-03-2018,122
08-03-2018,106
11-03-2018,79
12-03-2018,84
13-03-2018,90
14-03-2018,136
15-03-2018,78
16-03-2018,78
17-03-2018,74
30-03-2018,218
31-03-2018,99
01-04-2018,59
02-04-2018,51
03-04-2018,97
04-04-2018,60
05-04-2018,60
10-04-2018,96
12-04-2018,45
13-04-2018,68
14-04-2018,72
15-04-2018,85
16-04-2018,92
17-04-2018,74
22-04-2018,84
23-04-2018,74
25-04-2018,79
26-04-2018,85
27-04-2018,91
28-04-2018,46
29-04-2018,55
30-04-2018,146
01-05-2018,87
02-05-2018,76
08-05-2018,68
09-05-2018,104
10-05-2018,82
11-05-2018,174
12-05-2018,83
13-05-2018,114
14-05-2018,139
15-05-2018,96
17-05-2018,121
18-05-2018,85
19-05-2018,159
20-05-2018,55
21-05-2018,64
24-05-2018,162
25-05-2018,129
26-05-2018,128
27-05-2018,127
28-05-2018,185
29-05-2018,124
31-05-2018,78
01-06-2018,127
02-06-2018,175
03-06-2018,108
04-06-2018,95
05-06-2018,101
06-06-2018,177
07-06-2018,89
09-06-2018,68
10-06-2018,80
11-06-2018,64
12-06-2018,103
13-06-2018,165
14-06-2018,125
15-06-2018,84
16-06-2018,79
17-06-2018,72
18-06-2018,90
19-06-2018,73
20-06-2018,73
21-06-2018,145
22-06-2018,94
23-06-2018,112
24-06-2018,96
25-06-2018,68
26-06-2018,55
27-06-2018,72
29-06-2018,43
30-06-2018,66
01-07-2018,111
03-07-2018,104
04-07-2018,105
05-07-2018,122
06-07-2018,93
07-07-2018,99
08-07-2018,137
09-07-2018,134
11-07-2018,151
12-07-2018,292
13-07-2018,82
14-07-2018,64
15-07-2018,66
16-07-2018,73
17-07-2018,80
18-07-2018,80
19-07-2018,69
21-07-2018,83
22-07-2018,71
23-07-2018,68
24-07-2018,72
25-07-2018,67
26-07-2018,95
27-07-2018,116
28-07-2018,66
29-07-2018,74
30-07-2018,98
31-07-2018,101
01-08-2018,134
02-08-2018,160
03-08-2018,145
04-08-2018,138
05-08-2018,143
06-08-2018,97
07-08-2018,94
08-08-2018,83
09-08-2018,62
10-08-2018,76
11-08-2018,70
12-08-2018,74
13-08-2018,74
14-08-2018,86
15-08-2018,158
16-08-2018,88
17-08-2018,81
18-08-2018,94
19-08-2018,93
20-08-2018,107
21-08-2018,105
22-08-2018,137
23-08-2018,108
24-08-2018,86
26-08-2018,70
27-08-2018,87
28-08-2018,88
29-08-2018,73
30-08-2018,68
31-08-2018,102
01-09-2018,68
02-09-2018,79
03-09-2018,98
04-09-2018,81
05-09-2018,77
06-09-2018,98
07-09-2018,82
08-09-2018,51
09-09-2018,54
10-09-2018,70
11-09-2018,47
12-09-2018,75
13-09-2018,51
14-09-2018,49
15-09-2018,52
16-09-2018,50
17-09-2018,61
18-09-2018,72
19-09-2018,78
20-09-2018,74
21-09-2018,78
22-09-2018,28
23-09-2018,44
24-09-2018,38
25-09-2018,36
26-09-2018,39
27-09-2018,59
28-09-2018,56
29-09-2018,77
01-10-2018,72
02-10-2018,70
03-10-2018,73
04-10-2018,62
05-10-2018,70
06-10-2018,60
07-10-2018,146
08-10-2018,93
09-10-2018,99
10-10-2018,124
11-10-2018,240
12-10-2018,60
13-10-2018,110
15-10-2018,84
16-10-2018,272
17-10-2018,84
18-10-2018,95
19-10-2018,76
20-10-2018,82
21-10-2018,92
22-10-2018,77
23-10-2018,60
24-10-2018,73
25-10-2018,97
26-10-2018,85
30-10-2018,121
31-10-2018,145
01-11-2018,117
02-11-2018,177
03-11-2018,143
04-11-2018,107
05-11-2018,78
06-11-2018,106
07-11-2018,80
08-11-2018,113
09-11-2018,119
10-11-2018,103
11-11-2018,111
12-11-2018,123
13-11-2018,117
14-11-2018,60
15-11-2018,97
16-11-2018,94
18-11-2018,102
19-11-2018,113
20-11-2018,138
21-11-2018,106
22-11-2018,102
23-11-2018,109
24-11-2018,100
25-11-2018,103
26-11-2018,112
27-11-2018,110
28-11-2018,112
29-11-2018,90
30-11-2018,108
01-12-2018,94
02-12-2018,88
03-12-2018,89
04-12-2018,87
05-12-2018,95
06-12-2018,93
07-12-2018,87
08-12-2018,121
09-12-2018,127
10-12-2018,134
11-12-2018,151
12-12-2018,178
13-12-2018,84
14-12-2018,86
15-12-2018,89
16-12-2018,80
17-12-2018,72
18-12-2018,103
19-12-2018,108
20-12-2018,111
21-12-2018,113
22-12-2018,109
23-12-2018,204
24-12-2018,179
25-12-2018,177
26-12-2018,80
27-12-2018,129
28-12-2018,73
29-12-2018,110
30-12-2018,106
31-12-2018,104
01-01-2019,131
02-01-2019,160
03-01-2019,147
04-01-2019,126
05-01-2019,142
06-01-2019,159
07-01-2019,85
08-01-2019,98
09-01-2019,95
10-01-2019,94
11-01-2019,92
12-01-2019,98
13-01-2019,136
14-01-2019,65
15-01-2019,71
16-01-2019,98
17-01-2019,130
18-01-2019,140
19-01-2019,109
20-01-2019,157
21-01-2019,152
22-01-2019,75
23-01-2019,78
24-01-2019,97
25-01-2019,59
26-01-2019,70
27-01-2019,66
28-01-2019,68
29-01-2019,72
30-01-2019,92
31-01-2019,95
01-02-2019,88
02-02-2019,75
03-02-2019,78
04-02-2019,108
05-02-2019,129
06-02-2019,127
07-02-2019,69
08-02-2019,94
09-02-2019,63
10-02-2019,57
11-02-2019,82
12-02-2019,80
