Date,AQI
01-12-2017,244
02-12-2017,188
03-12-2017,238
04-12-2017,161
05-12-2017,213
06-12-2017,211
07-12-2017,265
08-12-2017,293
09-12-2017,160
10-12-2017,111
11-12-2017,205
12-12-2017,195
13-12-2017,131
14-12-2017,122
15-12-2017,138
16-12-2017,166
17-12-2017,223
18-12-2017,239
19-12-2017,234
20-12-2017,208
21-12-2017,173
22-12-2017,169
23-12-2017,171
24-12-2017,239
25-12-2017,249
26-12-2017,262
27-12-2017,255
28-12-2017,211
29-12-2017,179
30-12-2017,108
31-12-2017,120
01-01-2018,105
02-01-2018,166
03-01-2018,156
04-01-2018,195
05-01-2018,221
06-01-2018,253
07-01-2018,272
08-01-2018,248
09-01-2018,272
10-01-2018,287
11-01-2018,285
12-01-2018,246
13-01-2018,184
14-01-2018,201
15-01-2018,164
16-01-2018,134
17-01-2018,129
18-01-2018,134
19-01-2018,115
20-01-2018,139
21-01-2018,185
22-01-2018,160
23-01-2018,158
24-01-2018,170
25-01-2018,132
26-01-2018,188
27-01-2018,162
28-01-2018,158
29-01-2018,140
30-01-2018,177
31-01-2018,131
01-02-2018,139
02-02-2018,127
03-02-2018,106
04-02-2018,120
05-02-2018,100
06-02-2018,95
07-02-2018,93
08-02-2018,127
09-02-2018,76
10-02-2018,51
11-02-2018,130
12-02-2018,116
13-02-2018,110
14-02-2018,99
15-02-2018,109
16-02-2018,121
17-02-2018,98
18-02-2018,82
19-02-2018,93
20-02-2018,97
21-02-2018,100
22-02-2018,104
23-02-2018,101
24-02-2018,121
25-02-2018,108
26-02-2018,89
27-02-2018,116
28-02-2018,110
01-03-2018,93
02-03-2018,87
03-03-2018,83
04-03-2018,85
05-03-2018,71
06-03-2018,99
07-03-2018,74
08-03-2018,112
09-03-2018,115
10-03-2018,100
11-03-2018,86
12-03-2018,75
13-03-2018,78
14-03-2018,67
16-03-2018,44
17-03-2018,73
18-03-2018,83
19-03-2018,76
20-03-2018,76
22-03-2018,90
23-03-2018,92
24-03-2018,86
25-03-2018,72
26-03-2018,82
27-03-2018,72
28-03-2018,61
29-03-2018,51
30-03-2018,53
31-03-2018,56
01-04-2018,49
02-04-2018,55
03-04-2018,56
04-04-2018,55
05-04-2018,50
07-04-2018,76
08-04-2018,77
09-04-2018,54
10-04-2018,59
13-04-2018,37
14-04-2018,33
15-04-2018,26
16-04-2018,31
17-04-2018,31
19-04-2018,39
21-04-2018,51
22-04-2018,41
25-04-2018,75
27-04-2018,44
28-04-2018,35
29-04-2018,54
01-05-2018,58
02-05-2018,51
03-05-2018,50
04-05-2018,35
09-05-2018,51
11-05-2018,42
13-05-2018,63
14-05-2018,58
15-05-2018,58
17-05-2018,77
18-05-2018,162
20-05-2018,73
22-05-2018,61
24-05-2018,67
25-05-2018,50
26-05-2018,61
27-05-2018,205
28-05-2018,78
29-05-2018,98
30-05-2018,82
31-05-2018,133
01-06-2018,177
02-06-2018,78
03-06-2018,161
04-06-2018,108
05-06-2018,156
06-06-2018,59
07-06-2018,77
08-06-2018,73
09-06-2018,85
10-06-2018,64
11-06-2018,48
12-06-2018,46
13-06-2018,64
14-06-2018,90
15-06-2018,110
16-06-2018,81
17-06-2018,76
18-06-2018,71
19-06-2018,62
20-06-2018,62
21-06-2018,74
22-06-2018,75
23-06-2018,75
24-06-2018,70
25-06-2018,56
26-06-2018,55
27-06-2018,55
28-06-2018,49
29-06-2018,65
30-06-2018,91
01-07-2018,54
02-07-2018,72
03-07-2018,55
04-07-2018,59
