Date,AQI
23-01-2019,70
24-01-2019,121
26-01-2019,109
27-01-2019,91
28-01-2019,103
29-01-2019,121
30-01-2019,132
31-01-2019,181
01-02-2019,124
02-02-2019,112
03-02-2019,85
04-02-2019,156
05-02-2019,186
06-02-2019,178
07-02-2019,96
08-02-2019,43
09-02-2019,75
10-02-2019,126
11-02-2019,124
12-02-2019,152
13-02-2019,166
14-02-2019,176
15-02-2019,54
16-02-2019,87
17-02-2019,90
18-02-2019,113
19-02-2019,71
20-02-2019,100
21-02-2019,69
22-02-2019,97
23-02-2019,71
24-02-2019,103
25-02-2019,121
26-02-2019,113
28-02-2019,68
01-03-2019,88
02-03-2019,101
03-03-2019,69
04-03-2019,74
05-03-2019,79
06-03-2019,106
07-03-2019,94
08-03-2019,98
09-03-2019,98
10-03-2019,153
11-03-2019,111
12-03-2019,75
13-03-2019,133
15-03-2019,73
16-03-2019,94
17-03-2019,99
18-03-2019,111
19-03-2019,106
20-03-2019,119
21-03-2019,113
22-03-2019,80
23-03-2019,100
24-03-2019,96
25-03-2019,110
26-03-2019,93
27-03-2019,112
28-03-2019,184
29-03-2019,135
30-03-2019,156
31-03-2019,132
01-04-2019,151
02-04-2019,177
03-04-2019,174
04-04-2019,188
05-04-2019,194
06-04-2019,178
07-04-2019,151
08-04-2019,220
09-04-2019,241
10-04-2019,119
12-04-2019,135
13-04-2019,121
14-04-2019,121
15-04-2019,110
16-04-2019,144
17-04-2019,89
18-04-2019,83
19-04-2019,95
20-04-2019,176
21-04-2019,177
22-04-2019,197
23-04-2019,248
24-04-2019,222
25-04-2019,175
26-04-2019,152
27-04-2019,151
28-04-2019,168
29-04-2019,169
30-04-2019,236
01-05-2019,224
02-05-2019,130
03-05-2019,173
04-05-2019,183
05-05-2019,158
06-05-2019,156
07-05-2019,176
08-05-2019,180
09-05-2019,184
10-05-2019,258
11-05-2019,192
12-05-2019,172
13-05-2019,239
14-05-2019,171
15-05-2019,151
16-05-2019,217
17-05-2019,286
18-05-2019,170
19-05-2019,168
20-05-2019,191
21-05-2019,204
22-05-2019,204
23-05-2019,193
24-05-2019,108
25-05-2019,163
26-05-2019,194
27-05-2019,192
28-05-2019,190
29-05-2019,177
30-05-2019,173
31-05-2019,158
01-06-2019,166
02-06-2019,161
03-06-2019,148
04-06-2019,155
05-06-2019,194
06-06-2019,156
07-06-2019,186
08-06-2019,195
09-06-2019,172
10-06-2019,169
11-06-2019,162
12-06-2019,133
13-06-2019,143
14-06-2019,255
15-06-2019,210
16-06-2019,153
17-06-2019,134
18-06-2019,70
19-06-2019,186
20-06-2019,209
21-06-2019,270
22-06-2019,255
23-06-2019,212
24-06-2019,153
25-06-2019,131
26-06-2019,158
27-06-2019,232
28-06-2019,178
29-06-2019,172
30-06-2019,168
01-07-2019,132
02-07-2019,130
03-07-2019,118
04-07-2019,92
05-07-2019,75
06-07-2019,78
07-07-2019,68
08-07-2019,76
09-07-2019,71
10-07-2019,73
11-07-2019,139
12-07-2019,85
13-07-2019,171
14-07-2019,129
17-07-2019,66
18-07-2019,96
19-07-2019,108
20-07-2019,109
21-07-2019,104
22-07-2019,74
23-07-2019,99
24-07-2019,133
25-07-2019,83
26-07-2019,54
27-07-2019,44
28-07-2019,41
29-07-2019,41
30-07-2019,62
31-07-2019,48
01-08-2019,90
02-08-2019,66
03-08-2019,77
04-08-2019,74
05-08-2019,71
06-08-2019,72
07-08-2019,61
08-08-2019,75
09-08-2019,59
10-08-2019,52
11-08-2019,61
12-08-2019,82
13-08-2019,72
14-08-2019,37
15-08-2019,94
16-08-2019,50
17-08-2019,43
18-08-2019,37
19-08-2019,40
20-08-2019,46
21-08-2019,66
22-08-2019,74
23-08-2019,109
24-08-2019,99
25-08-2019,64
26-08-2019,54
27-08-2019,66
28-08-2019,86
29-08-2019,76
30-08-2019,76
31-08-2019,87
01-09-2019,79
02-09-2019,60
04-09-2019,109
05-09-2019,68
06-09-2019,58
07-09-2019,59
08-09-2019,53
09-09-2019,106
10-09-2019,101
11-09-2019,131
12-09-2019,112
13-09-2019,80
14-09-2019,74
15-09-2019,62
16-09-2019,73
17-09-2019,103
18-09-2019,107
19-09-2019,68
20-09-2019,62
21-09-2019,76
22-09-2019,95
23-09-2019,61
24-09-2019,82
25-09-2019,92
26-09-2019,102
27-09-2019,75
28-09-2019,61
29-09-2019,36
30-09-2019,44
01-10-2019,60
02-10-2019,90
03-10-2019,95
04-10-2019,85
05-10-2019,83
06-10-2019,96
07-10-2019,117
08-10-2019,123
09-10-2019,123
10-10-2019,130
11-10-2019,128
12-10-2019,142
13-10-2019,165
14-10-2019,210
15-10-2019,230
16-10-2019,211
17-10-2019,184
18-10-2019,151
19-10-2019,148
20-10-2019,167
21-10-2019,186
22-10-2019,204
23-10-2019,220
24-10-2019,253
25-10-2019,225
26-10-2019,300
27-10-2019,343
28-10-2019,385
29-10-2019,353
30-10-2019,356
31-10-2019,367
01-11-2019,350
02-11-2019,376
03-11-2019,403
04-11-2019,321
05-11-2019,245
06-11-2019,280
07-11-2019,153
08-11-2019,109
09-11-2019,105
10-11-2019,282
11-11-2019,298
12-11-2019,332
13-11-2019,298
14-11-2019,258
15-11-2019,274
16-11-2019,137
17-11-2019,86
18-11-2019,205
19-11-2019,199
20-11-2019,289
21-11-2019,219
22-11-2019,230
23-11-2019,176
24-11-2019,102
25-11-2019,113
26-11-2019,157
27-11-2019,41
28-11-2019,75
29-11-2019,105
30-11-2019,101
01-12-2019,172
02-12-2019,207
03-12-2019,231
04-12-2019,266
05-12-2019,308
06-12-2019,251
07-12-2019,223
08-12-2019,226
09-12-2019,241
10-12-2019,309
11-12-2019,307
12-12-2019,303
13-12-2019,72
14-12-2019,60
15-12-2019,87
16-12-2019,126
17-12-2019,164
18-12-2019,159
19-12-2019,223
20-12-2019,277
21-12-2019,184
22-12-2019,164
23-12-2019,125
24-12-2019,197
25-12-2019,154
26-12-2019,253
27-12-2019,301
28-12-2019,239
29-12-2019,181
30-12-2019,131
31-12-2019,251
01-01-2020,269
02-01-2020,241
03-01-2020,236
04-01-2020,258
05-01-2020,207
06-01-2020,107
07-01-2020,61
08-01-2020,54
09-01-2020,73
10-01-2020,196
11-01-2020,176
12-01-2020,203
13-01-2020,291
14-01-2020,131
15-01-2020,128
16-01-2020,91
17-01-2020,168
18-01-2020,156
19-01-2020,153
20-01-2020,156
21-01-2020,247
22-01-2020,175
23-01-2020,100
24-01-2020,112
25-01-2020,156
26-01-2020,258
27-01-2020,173
28-01-2020,208
29-01-2020,58
30-01-2020,90
31-01-2020,129
01-02-2020,176
02-02-2020,199
03-02-2020,228
04-02-2020,252
05-02-2020,120
06-02-2020,146
07-02-2020,133
08-02-2020,176
09-02-2020,153
10-02-2020,192
11-02-2020,191
12-02-2020,199
13-02-2020,114
14-02-2020,112
15-02-2020,126
16-02-2020,135
17-02-2020,122
18-02-2020,192
19-02-2020,182
20-02-2020,130
21-02-2020,86
22-02-2020,87
23-02-2020,101
24-02-2020,88
25-02-2020,111
26-02-2020,107
27-02-2020,189
28-02-2020,167
29-02-2020,114
01-03-2020,65
02-03-2020,99
03-03-2020,108
04-03-2020,130
05-03-2020,84
06-03-2020,61
07-03-2020,27
08-03-2020,76
09-03-2020,66
10-03-2020,111
11-03-2020,92
12-03-2020,45
13-03-2020,67
14-03-2020,42
15-03-2020,41
16-03-2020,80
17-03-2020,109
18-03-2020,107
19-03-2020,122
20-03-2020,126
21-03-2020,128
22-03-2020,87
23-03-2020,70
24-03-2020,93
25-03-2020,53
26-03-2020,58
27-03-2020,60
28-03-2020,36
29-03-2020,39
30-03-2020,48
31-03-2020,57
01-04-2020,48
02-04-2020,53
03-04-2020,42
04-04-2020,53
05-04-2020,63
07-04-2020,42
08-04-2020,47
09-04-2020,48
10-04-2020,54
11-04-2020,78
12-04-2020,61
13-04-2020,67
14-04-2020,71
15-04-2020,93
16-04-2020,92
17-04-2020,80
18-04-2020,62
19-04-2020,65
20-04-2020,62
21-04-2020,42
23-04-2020,60
24-04-2020,70
25-04-2020,76
26-04-2020,51
27-04-2020,47
28-04-2020,39
29-04-2020,55
30-04-2020,83
01-05-2020,62
02-05-2020,64
03-05-2020,63
04-05-2020,59
05-05-2020,62
06-05-2020,59
07-05-2020,47
28-05-2020,47
29-05-2020,42
30-05-2020,42
31-05-2020,46
01-06-2020,49
02-06-2020,53
03-06-2020,71
04-06-2020,67
06-06-2020,42
07-06-2020,52
