Date,AQI
01-06-2023,112
02-06-2023,108
03-06-2023,108
04-06-2023,106
05-06-2023,76
06-06-2023,110
07-06-2023,102
08-06-2023,111
09-06-2023,84
10-06-2023,86
11-06-2023,70
12-06-2023,70
13-06-2023,72
14-06-2023,90
15-06-2023,87
16-06-2023,98
17-06-2023,101
18-06-2023,124
19-06-2023,132
20-06-2023,100
21-06-2023,96
22-06-2023,86
23-06-2023,85
24-06-2023,56
25-06-2023,50
26-06-2023,58
27-06-2023,41
28-06-2023,38
29-06-2023,44
30-06-2023,39
01-07-2023,38
02-07-2023,38
03-07-2023,40
04-07-2023,51
05-07-2023,36
06-07-2023,39
07-07-2023,30
08-07-2023,28
09-07-2023,38
10-07-2023,45
11-07-2023,50
12-07-2023,35
13-07-2023,38
14-07-2023,50
15-07-2023,50
16-07-2023,35
17-07-2023,34
18-07-2023,36
19-07-2023,28
20-07-2023,28
21-07-2023,30
22-07-2023,27
23-07-2023,18
24-07-2023,42
25-07-2023,40
26-07-2023,38
27-07-2023,42
28-07-2023,32
29-07-2023,38
30-07-2023,48
31-07-2023,38
01-08-2023,43
02-08-2023,40
03-08-2023,40
04-08-2023,46
05-08-2023,46
06-08-2023,34
07-08-2023,53
08-08-2023,64
09-08-2023,78
10-08-2023,78
11-08-2023,59
12-08-2023,67
13-08-2023,56
14-08-2023,58
15-08-2023,58
16-08-2023,50
17-08-2023,71
18-08-2023,64
19-08-2023,57
20-08-2023,51
21-08-2023,56
22-08-2023,55
23-08-2023,41
24-08-2023,48
25-08-2023,37
26-08-2023,48
27-08-2023,43
29-08-2023,126
30-08-2023,112
31-08-2023,120
01-09-2023,98
02-09-2023,116
03-09-2023,113
04-09-2023,76
05-09-2023,104
06-09-2023,78
07-09-2023,56
08-09-2023,32
09-09-2023,30
10-09-2023,43
11-09-2023,52
12-09-2023,70
13-09-2023,60
14-09-2023,63
15-09-2023,49
16-09-2023,30
17-09-2023,40
18-09-2023,40
19-09-2023,60
20-09-2023,52
21-09-2023,68
22-09-2023,26
23-09-2023,52
24-09-2023,48
25-09-2023,52
26-09-2023,46
27-09-2023,56
28-09-2023,85
29-09-2023,74
30-09-2023,54
01-10-2023,80
02-10-2023,110
03-10-2023,96
04-10-2023,126
05-10-2023,118
06-10-2023,112
07-10-2023,110
08-10-2023,106
09-10-2023,110
10-10-2023,116
11-10-2023,112
12-10-2023,106
13-10-2023,138
14-10-2023,143
15-10-2023,142
16-10-2023,146
17-10-2023,148
18-10-2023,114
19-10-2023,175
21-10-2023,108
22-10-2023,112
23-10-2023,100
24-10-2023,94
25-10-2023,98
26-10-2023,122
27-10-2023,123
28-10-2023,152
29-10-2023,140
30-10-2023,150
31-10-2023,188
02-11-2023,168
03-11-2023,194
04-11-2023,168
05-11-2023,114
06-11-2023,122
07-11-2023,138
08-11-2023,146
09-11-2023,144
10-11-2023,134
11-11-2023,154
12-11-2023,146
13-11-2023,145
14-11-2023,147
15-11-2023,134
16-11-2023,176
17-11-2023,178
18-11-2023,146
19-11-2023,138
20-11-2023,122
21-11-2023,120
22-11-2023,146
23-11-2023,141
24-11-2023,138
25-11-2023,159
26-11-2023,223
27-11-2023,212
28-11-2023,204
29-11-2023,126
30-11-2023,128
01-12-2023,92
02-12-2023,101
03-12-2023,101
05-12-2023,116
06-12-2023,52
07-12-2023,34
08-12-2023,36
09-12-2023,52
10-12-2023,62
11-12-2023,80
12-12-2023,94
13-12-2023,112
14-12-2023,108
15-12-2023,105
16-12-2023,104
17-12-2023,137
18-12-2023,92
19-12-2023,91
20-12-2023,109
21-12-2023,126
22-12-2023,166
23-12-2023,152
24-12-2023,182
25-12-2023,242
26-12-2023,314
27-12-2023,298
28-12-2023,278
29-12-2023,236
30-12-2023,188
31-12-2023,200
