Date,AQI
07-03-2017,72
08-03-2017,71
09-03-2017,53
10-03-2017,62
11-03-2017,52
12-03-2017,56
13-03-2017,76
14-03-2017,81
15-03-2017,92
16-03-2017,78
17-03-2017,163
19-03-2017,151
20-03-2017,134
21-03-2017,105
22-03-2017,99
23-03-2017,79
24-03-2017,71
25-03-2017,114
26-03-2017,84
27-03-2017,74
28-03-2017,116
29-03-2017,70
30-03-2017,73
31-03-2017,114
01-04-2017,49
02-04-2017,40
03-04-2017,83
04-04-2017,72
05-04-2017,58
09-04-2017,53
10-04-2017,54
11-04-2017,72
14-04-2017,51
15-04-2017,46
16-04-2017,46
17-04-2017,87
18-04-2017,206
19-04-2017,97
25-04-2017,42
26-04-2017,47
27-04-2017,42
28-04-2017,43
29-04-2017,46
30-04-2017,43
01-05-2017,40
02-05-2017,75
03-05-2017,96
04-05-2017,97
05-05-2017,95
06-05-2017,120
07-05-2017,119
08-05-2017,105
11-05-2017,464
12-05-2017,272
13-05-2017,105
14-05-2017,111
15-05-2017,112
16-05-2017,99
17-05-2017,76
18-05-2017,91
19-05-2017,89
20-05-2017,71
21-05-2017,104
22-05-2017,67
23-05-2017,51
24-05-2017,52
25-05-2017,143
26-05-2017,56
27-05-2017,43
28-05-2017,38
29-05-2017,32
30-05-2017,48
31-05-2017,66
03-06-2017,104
04-06-2017,107
07-06-2017,136
08-06-2017,65
09-06-2017,84
10-06-2017,84
11-06-2017,63
14-06-2017,72
15-06-2017,87
16-06-2017,73
17-06-2017,98
19-06-2017,103
20-06-2017,77
21-06-2017,75
22-06-2017,79
23-06-2017,87
24-06-2017,103
25-06-2017,104
26-06-2017,101
27-06-2017,97
28-06-2017,77
29-06-2017,73
30-06-2017,70
01-07-2017,69
02-07-2017,100
03-07-2017,88
04-07-2017,92
05-07-2017,99
06-07-2017,82
07-07-2017,90
08-07-2017,109
11-07-2017,84
12-07-2017,95
13-07-2017,93
14-07-2017,99
15-07-2017,95
16-07-2017,99
17-07-2017,96
18-07-2017,97
19-07-2017,99
20-07-2017,113
21-07-2017,95
22-07-2017,97
23-07-2017,100
24-07-2017,101
25-07-2017,103
30-07-2017,80
31-07-2017,88
01-08-2017,110
11-08-2017,147
12-08-2017,194
13-08-2017,217
14-08-2017,108
15-08-2017,105
16-08-2017,123
17-08-2017,153
18-08-2017,178
19-08-2017,150
20-08-2017,64
21-08-2017,104
22-08-2017,66
23-08-2017,81
24-08-2017,107
25-08-2017,83
26-08-2017,62
27-08-2017,86
28-08-2017,94
29-08-2017,61
30-08-2017,63
31-08-2017,81
01-09-2017,67
02-09-2017,63
03-09-2017,77
05-09-2017,90
06-09-2017,47
07-09-2017,117
08-09-2017,58
09-09-2017,78
10-09-2017,54
11-09-2017,32
12-09-2017,85
13-09-2017,35
15-09-2017,59
16-09-2017,93
19-09-2017,56
20-09-2017,93
21-09-2017,89
22-09-2017,119
23-09-2017,27
24-09-2017,47
25-09-2017,150
26-09-2017,40
27-09-2017,34
28-09-2017,132
29-09-2017,48
30-09-2017,52
01-10-2017,229
02-10-2017,38
03-10-2017,45
04-10-2017,47
05-10-2017,42
06-10-2017,262
07-10-2017,272
08-10-2017,270
09-10-2017,239
10-10-2017,284
11-10-2017,296
12-10-2017,280
13-10-2017,271
15-10-2017,192
16-10-2017,229
17-10-2017,324
18-10-2017,296
19-10-2017,213
20-10-2017,342
21-10-2017,291
22-10-2017,338
23-10-2017,365
24-10-2017,164
25-10-2017,261
