Date,AQI
27-08-2022,42
28-08-2022,44
29-08-2022,56
31-08-2022,84
01-09-2022,48
05-09-2022,52
06-09-2022,49
07-09-2022,44
08-09-2022,46
09-09-2022,51
10-09-2022,47
11-09-2022,47
12-09-2022,55
13-09-2022,59
14-09-2022,53
16-09-2022,58
17-09-2022,49
18-09-2022,59
19-09-2022,54
20-09-2022,76
21-09-2022,68
22-09-2022,110
23-09-2022,79
24-09-2022,66
25-09-2022,86
26-09-2022,97
27-09-2022,62
28-09-2022,72
29-09-2022,61
30-09-2022,61
01-10-2022,53
02-10-2022,60
03-10-2022,90
04-10-2022,82
05-10-2022,93
06-10-2022,87
07-10-2022,67
08-10-2022,56
09-10-2022,73
10-10-2022,54
11-10-2022,44
12-10-2022,58
13-10-2022,44
14-10-2022,39
15-10-2022,52
16-10-2022,43
17-10-2022,38
18-10-2022,52
19-10-2022,50
20-10-2022,69
21-10-2022,57
22-10-2022,76
23-10-2022,103
24-10-2022,118
25-10-2022,191
26-10-2022,163
27-10-2022,156
28-10-2022,105
29-10-2022,90
30-10-2022,109
31-10-2022,159
01-11-2022,134
02-11-2022,73
03-11-2022,59
04-11-2022,73
05-11-2022,45
06-11-2022,59
07-11-2022,145
08-11-2022,88
09-11-2022,97
10-11-2022,94
11-11-2022,109
12-11-2022,107
13-11-2022,42
14-11-2022,64
15-11-2022,50
16-11-2022,109
17-11-2022,155
18-11-2022,73
22-11-2022,56
23-11-2022,35
24-11-2022,36
25-11-2022,37
26-11-2022,46
27-11-2022,56
28-11-2022,73
29-11-2022,90
30-11-2022,91
01-12-2022,72
02-12-2022,51
03-12-2022,31
04-12-2022,48
05-12-2022,74
06-12-2022,66
07-12-2022,78
08-12-2022,75
09-12-2022,92
10-12-2022,54
11-12-2022,40
12-12-2022,28
13-12-2022,31
14-12-2022,25
16-12-2022,63
17-12-2022,62
18-12-2022,65
19-12-2022,79
20-12-2022,66
21-12-2022,88
22-12-2022,77
23-12-2022,79
24-12-2022,90
25-12-2022,59
26-12-2022,33
27-12-2022,37
28-12-2022,37
29-12-2022,55
30-12-2022,64
31-12-2022,64
01-01-2023,78
02-01-2023,68
03-01-2023,57
04-01-2023,62
05-01-2023,66
06-01-2023,88
07-01-2023,87
08-01-2023,95
09-01-2023,76
10-01-2023,86
13-01-2023,88
14-01-2023,90
15-01-2023,82
16-01-2023,77
17-01-2023,62
18-01-2023,63
19-01-2023,61
20-01-2023,61
22-01-2023,56
23-01-2023,50
24-01-2023,42
25-01-2023,64
26-01-2023,70
27-01-2023,74
28-01-2023,156
29-01-2023,103
30-01-2023,74
31-01-2023,73
01-02-2023,88
02-02-2023,112
03-02-2023,100
04-02-2023,155
05-02-2023,164
06-02-2023,85
07-02-2023,162
08-02-2023,162
09-02-2023,176
10-02-2023,150
11-02-2023,157
12-02-2023,170
13-02-2023,150
14-02-2023,158
15-02-2023,169
16-02-2023,115
18-02-2023,167
19-02-2023,89
20-02-2023,85
21-02-2023,160
22-02-2023,176
23-02-2023,163
24-02-2023,72
25-02-2023,64
26-02-2023,67
27-02-2023,69
28-02-2023,63
01-03-2023,49
02-03-2023,54
03-03-2023,66
04-03-2023,71
05-03-2023,73
06-03-2023,66
07-03-2023,61
08-03-2023,69
09-03-2023,67
10-03-2023,67
11-03-2023,69
12-03-2023,53
13-03-2023,49
14-03-2023,51
16-03-2023,66
17-03-2023,51
18-03-2023,42
19-03-2023,38
20-03-2023,47
21-03-2023,46
22-03-2023,55
23-03-2023,53
24-03-2023,68
25-03-2023,50
26-03-2023,52
27-03-2023,52
28-03-2023,59
29-03-2023,75
30-03-2023,108
31-03-2023,43
01-04-2023,45
02-04-2023,47
03-04-2023,47
04-04-2023,56
05-04-2023,51
06-04-2023,51
07-04-2023,48
08-04-2023,44
09-04-2023,44
10-04-2023,42
11-04-2023,51
12-04-2023,60
14-04-2023,62
15-04-2023,58
16-04-2023,67
17-04-2023,60
18-04-2023,61
19-04-2023,65
20-04-2023,64
21-04-2023,59
22-04-2023,53
23-04-2023,44
24-04-2023,51
25-04-2023,42
26-04-2023,41
27-04-2023,49
28-04-2023,51
30-04-2023,39
01-05-2023,35
02-05-2023,33
03-05-2023,39
04-05-2023,37
05-05-2023,44
06-05-2023,37
07-05-2023,39
08-05-2023,39
09-05-2023,45
10-05-2023,47
11-05-2023,61
12-05-2023,51
13-05-2023,50
14-05-2023,46
15-05-2023,46
17-05-2023,60
18-05-2023,91
19-05-2023,70
20-05-2023,53
21-05-2023,46
22-05-2023,47
26-05-2023,45
27-05-2023,50
28-05-2023,49
29-05-2023,66
30-05-2023,87
03-06-2023,102
04-06-2023,85
05-06-2023,62
06-06-2023,64
07-06-2023,68
08-06-2023,65
09-06-2023,42
10-06-2023,48
11-06-2023,38
12-06-2023,48
13-06-2023,60
14-06-2023,64
15-06-2023,62
16-06-2023,71
17-06-2023,66
18-06-2023,68
19-06-2023,76
20-06-2023,102
21-06-2023,99
22-06-2023,84
23-06-2023,64
24-06-2023,44
25-06-2023,41
26-06-2023,45
27-06-2023,64
28-06-2023,49
29-06-2023,34
30-06-2023,35
01-07-2023,43
02-07-2023,50
03-07-2023,39
04-07-2023,31
05-07-2023,31
06-07-2023,36
07-07-2023,40
08-07-2023,40
09-07-2023,43
10-07-2023,45
11-07-2023,59
12-07-2023,64
13-07-2023,56
15-07-2023,40
16-07-2023,52
17-07-2023,55
18-07-2023,51
21-07-2023,45
22-07-2023,36
23-07-2023,39
24-07-2023,28
25-07-2023,26
26-07-2023,37
27-07-2023,23
28-07-2023,43
29-07-2023,50
30-07-2023,54
31-07-2023,53
01-08-2023,56
02-08-2023,60
03-08-2023,57
04-08-2023,55
05-08-2023,56
06-08-2023,62
07-08-2023,67
08-08-2023,63
09-08-2023,72
10-08-2023,69
11-08-2023,68
12-08-2023,80
