Date,AQI
26-10-2023,163
27-10-2023,228
28-10-2023,187
30-10-2023,161
31-10-2023,200
02-11-2023,137
03-11-2023,86
04-11-2023,86
05-11-2023,250
06-11-2023,242
07-11-2023,196
08-11-2023,173
09-11-2023,208
10-11-2023,266
11-11-2023,265
12-11-2023,210
13-11-2023,355
14-11-2023,353
15-11-2023,285
16-11-2023,236
17-11-2023,152
18-11-2023,120
19-11-2023,124
20-11-2023,147
21-11-2023,232
22-11-2023,275
23-11-2023,257
24-11-2023,335
25-11-2023,333
26-11-2023,302
27-11-2023,308
28-11-2023,333
29-11-2023,336
30-11-2023,326
01-12-2023,257
02-12-2023,227
03-12-2023,261
05-12-2023,201
06-12-2023,145
07-12-2023,59
08-12-2023,137
09-12-2023,116
10-12-2023,142
11-12-2023,150
12-12-2023,221
13-12-2023,264
14-12-2023,292
15-12-2023,315
18-12-2023,235
19-12-2023,258
20-12-2023,241
21-12-2023,222
22-12-2023,272
23-12-2023,353
24-12-2023,267
25-12-2023,206
26-12-2023,292
27-12-2023,335
28-12-2023,335
29-12-2023,370
30-12-2023,369
31-12-2023,355
