Date,AQI
05-02-2019,207
06-02-2019,185
07-02-2019,94
08-02-2019,175
09-02-2019,230
10-02-2019,133
11-02-2019,133
12-02-2019,184
13-02-2019,203
14-02-2019,102
15-02-2019,190
16-02-2019,135
17-02-2019,126
18-02-2019,214
20-02-2019,200
21-02-2019,183
22-02-2019,160
23-02-2019,116
24-02-2019,117
25-02-2019,151
26-02-2019,121
27-02-2019,110
28-02-2019,123
01-03-2019,121
02-03-2019,127
03-03-2019,106
04-03-2019,86
05-03-2019,115
06-03-2019,129
07-03-2019,137
08-03-2019,139
09-03-2019,115
10-03-2019,141
11-03-2019,103
12-03-2019,122
13-03-2019,124
14-03-2019,101
15-03-2019,171
16-03-2019,134
17-03-2019,126
18-03-2019,170
19-03-2019,143
20-03-2019,114
21-03-2019,95
22-03-2019,89
23-03-2019,134
24-03-2019,184
25-03-2019,206
26-03-2019,148
27-03-2019,184
28-03-2019,115
29-03-2019,119
30-03-2019,115
02-04-2019,113
03-04-2019,103
04-04-2019,111
05-04-2019,100
06-04-2019,83
07-04-2019,79
09-04-2019,84
10-04-2019,81
11-04-2019,91
12-04-2019,106
13-04-2019,106
14-04-2019,96
15-04-2019,78
16-04-2019,292
17-04-2019,137
18-04-2019,54
19-04-2019,121
20-04-2019,111
21-04-2019,79
22-04-2019,86
23-04-2019,93
24-04-2019,88
25-04-2019,96
27-04-2019,123
28-04-2019,148
29-04-2019,118
30-04-2019,109
01-05-2019,111
02-05-2019,138
03-05-2019,103
04-05-2019,97
05-05-2019,92
06-05-2019,80
07-05-2019,90
08-05-2019,78
09-05-2019,61
10-05-2019,66
11-05-2019,85
12-05-2019,82
13-05-2019,90
14-05-2019,93
15-05-2019,88
16-05-2019,78
17-05-2019,90
18-05-2019,110
19-05-2019,97
20-05-2019,82
21-05-2019,92
22-05-2019,82
23-05-2019,86
24-05-2019,105
25-05-2019,93
26-05-2019,93
27-05-2019,105
28-05-2019,103
29-05-2019,97
30-05-2019,90
31-05-2019,77
01-06-2019,71
02-06-2019,72
03-06-2019,70
04-06-2019,66
05-06-2019,76
06-06-2019,79
08-06-2019,81
09-06-2019,76
10-06-2019,60
12-06-2019,86
14-06-2019,71
15-06-2019,60
16-06-2019,69
17-06-2019,69
18-06-2019,68
19-06-2019,54
20-06-2019,88
21-06-2019,83
22-06-2019,90
23-06-2019,89
24-06-2019,92
25-06-2019,83
26-06-2019,85
27-06-2019,84
29-06-2019,72
30-06-2019,73
01-07-2019,67
02-07-2019,71
03-07-2019,73
04-07-2019,69
05-07-2019,71
06-07-2019,67
09-07-2019,68
10-07-2019,70
11-07-2019,77
12-07-2019,64
13-07-2019,62
14-07-2019,59
15-07-2019,65
16-07-2019,72
17-07-2019,71
18-07-2019,69
19-07-2019,77
20-07-2019,75
21-07-2019,74
22-07-2019,77
25-07-2019,61
26-07-2019,73
28-07-2019,61
29-07-2019,61
30-07-2019,61
31-07-2019,59
01-08-2019,56
02-08-2019,61
03-08-2019,64
04-08-2019,61
05-08-2019,61
06-08-2019,62
07-08-2019,71
08-08-2019,71
09-08-2019,62
10-08-2019,62
11-08-2019,66
12-08-2019,77
13-08-2019,82
14-08-2019,76
15-08-2019,67
16-08-2019,61
17-08-2019,65
18-08-2019,66
19-08-2019,77
20-08-2019,72
21-08-2019,75
23-08-2019,70
29-08-2019,69
30-08-2019,75
31-08-2019,71
01-09-2019,77
02-09-2019,65
03-09-2019,73
04-09-2019,63
05-09-2019,86
06-09-2019,73
07-09-2019,74
08-09-2019,70
09-09-2019,75
10-09-2019,81
11-09-2019,82
12-09-2019,78
14-09-2019,70
15-09-2019,70
16-09-2019,70
17-09-2019,75
18-09-2019,88
19-09-2019,82
20-09-2019,73
21-09-2019,86
22-09-2019,82
23-09-2019,124
24-09-2019,92
25-09-2019,88
26-09-2019,87
27-09-2019,85
28-09-2019,73
29-09-2019,59
30-09-2019,66
01-10-2019,83
02-10-2019,85
03-10-2019,89
04-10-2019,107
05-10-2019,154
15-10-2019,147
16-10-2019,143
17-10-2019,191
18-10-2019,194
19-10-2019,127
20-10-2019,88
21-10-2019,95
22-10-2019,84
23-10-2019,80
24-10-2019,114
25-10-2019,113
26-10-2019,139
27-10-2019,75
28-10-2019,70
29-10-2019,66
05-11-2019,102
06-11-2019,100
07-11-2019,124
08-11-2019,81
09-11-2019,93
10-11-2019,113
11-11-2019,189
12-11-2019,182
14-11-2019,135
15-11-2019,188
16-11-2019,182
17-11-2019,217
18-11-2019,231
19-11-2019,197
20-11-2019,222
21-11-2019,193
22-11-2019,166
23-11-2019,220
24-11-2019,180
25-11-2019,228
26-11-2019,238
28-11-2019,225
29-11-2019,232
30-11-2019,197
01-12-2019,198
02-12-2019,224
03-12-2019,224
04-12-2019,236
06-12-2019,164
07-12-2019,112
08-12-2019,208
09-12-2019,271
11-12-2019,274
12-12-2019,266
13-12-2019,201
15-12-2019,92
16-12-2019,92
17-12-2019,96
18-12-2019,117
22-12-2019,239
23-12-2019,194
24-12-2019,241
25-12-2019,207
26-12-2019,195
27-12-2019,144
28-12-2019,130
29-12-2019,135
30-12-2019,159
31-12-2019,189
07-01-2020,166
08-01-2020,172
09-01-2020,105
10-01-2020,109
11-01-2020,133
12-01-2020,148
13-01-2020,224
14-01-2020,95
15-01-2020,69
16-01-2020,64
17-01-2020,90
18-01-2020,191
19-01-2020,128
20-01-2020,107
21-01-2020,182
22-01-2020,174
23-01-2020,114
24-01-2020,117
25-01-2020,127
26-01-2020,145
27-01-2020,131
28-01-2020,133
29-01-2020,110
01-02-2020,102
02-02-2020,116
04-02-2020,132
05-02-2020,114
06-02-2020,101
07-02-2020,108
08-02-2020,105
09-02-2020,119
10-02-2020,130
11-02-2020,167
12-02-2020,157
13-02-2020,157
14-02-2020,151
15-02-2020,107
16-02-2020,162
17-02-2020,123
18-02-2020,117
19-02-2020,175
20-02-2020,181
21-02-2020,179
22-02-2020,192
23-02-2020,128
24-02-2020,148
25-02-2020,140
26-02-2020,136
28-02-2020,208
29-02-2020,240
01-03-2020,182
02-03-2020,188
03-03-2020,160
04-03-2020,112
05-03-2020,105
06-03-2020,110
07-03-2020,117
08-03-2020,135
09-03-2020,115
10-03-2020,108
11-03-2020,70
12-03-2020,68
13-03-2020,84
14-03-2020,182
15-03-2020,166
16-03-2020,145
17-03-2020,151
18-03-2020,202
19-03-2020,198
20-03-2020,99
21-03-2020,81
22-03-2020,77
23-03-2020,95
24-03-2020,112
25-03-2020,105
26-03-2020,76
28-03-2020,59
29-03-2020,67
30-03-2020,100
31-03-2020,74
01-04-2020,98
02-04-2020,88
03-04-2020,110
04-04-2020,92
05-04-2020,96
06-04-2020,75
07-04-2020,79
08-04-2020,101
09-04-2020,102
10-04-2020,101
11-04-2020,112
12-04-2020,134
13-04-2020,105
14-04-2020,103
15-04-2020,103
16-04-2020,90
17-04-2020,64
18-04-2020,72
19-04-2020,98
20-04-2020,80
21-04-2020,75
22-04-2020,69
23-04-2020,83
24-04-2020,67
25-04-2020,72
26-04-2020,71
27-04-2020,59
28-04-2020,73
29-04-2020,106
30-04-2020,87
01-05-2020,76
02-05-2020,60
03-05-2020,59
10-05-2020,69
11-05-2020,63
12-05-2020,68
13-05-2020,78
14-05-2020,77
15-05-2020,96
16-05-2020,110
17-05-2020,141
18-05-2020,115
19-05-2020,94
20-05-2020,60
21-05-2020,66
22-05-2020,63
23-05-2020,62
24-05-2020,65
25-05-2020,73
26-05-2020,73
27-05-2020,69
28-05-2020,64
29-05-2020,53
30-05-2020,48
31-05-2020,59
01-06-2020,57
02-06-2020,60
03-06-2020,91
04-06-2020,63
05-06-2020,48
06-06-2020,49
07-06-2020,48
08-06-2020,42
09-06-2020,36
10-06-2020,43
11-06-2020,54
12-06-2020,64
13-06-2020,54
14-06-2020,61
15-06-2020,165
16-06-2020,61
17-06-2020,57
30-06-2020,44
01-07-2020,50
02-07-2020,42
03-07-2020,52
08-07-2020,52
09-07-2020,52
10-07-2020,51
11-07-2020,48
12-07-2020,63
13-07-2020,38
15-07-2020,47
16-07-2020,65
17-07-2020,57
18-07-2020,44
19-07-2020,52
20-07-2020,46
21-07-2020,57
22-07-2020,56
26-07-2020,42
27-07-2020,52
28-07-2020,42
29-07-2020,54
30-07-2020,48
31-07-2020,43
01-08-2020,36
02-08-2020,47
03-08-2020,44
04-08-2020,42
05-08-2020,48
06-08-2020,63
07-08-2020,45
08-08-2020,39
09-08-2020,40
10-08-2020,50
11-08-2020,43
12-08-2020,40
13-08-2020,41
14-08-2020,38
15-08-2020,40
18-08-2020,35
19-08-2020,58
20-08-2020,45
21-08-2020,47
22-08-2020,44
23-08-2020,39
24-08-2020,40
25-08-2020,67
26-08-2020,45
27-08-2020,42
31-08-2020,47
02-09-2020,91
06-09-2020,180
07-09-2020,152
08-09-2020,119
09-09-2020,123
10-09-2020,143
11-09-2020,87
12-09-2020,97
15-09-2020,85
16-09-2020,96
17-09-2020,95
18-09-2020,60
19-09-2020,86
20-09-2020,73
21-09-2020,60
22-09-2020,62
24-09-2020,95
25-09-2020,67
26-09-2020,64
27-09-2020,69
28-09-2020,81
29-09-2020,99
30-09-2020,115
01-10-2020,99
02-10-2020,120
03-10-2020,114
04-10-2020,124
05-10-2020,120
11-10-2020,264
12-10-2020,249
13-10-2020,228
14-10-2020,199
15-10-2020,186
16-10-2020,79
17-10-2020,91
18-10-2020,90
19-10-2020,110
20-10-2020,114
21-10-2020,124
22-10-2020,131
23-10-2020,155
24-10-2020,192
25-10-2020,129
27-10-2020,147
28-10-2020,156
29-10-2020,154
30-10-2020,133
31-10-2020,142
01-11-2020,308
02-11-2020,177
03-11-2020,182
04-11-2020,170
05-11-2020,185
06-11-2020,144
07-11-2020,223
08-11-2020,197
10-11-2020,240
11-11-2020,246
12-11-2020,315
13-11-2020,270
14-11-2020,136
19-11-2020,117
20-11-2020,167
21-11-2020,127
22-11-2020,180
23-11-2020,207
24-11-2020,218
25-11-2020,227
26-11-2020,262
27-11-2020,249
28-11-2020,150
05-12-2020,147
06-12-2020,170
07-12-2020,149
08-12-2020,175
09-12-2020,184
10-12-2020,162
11-12-2020,94
12-12-2020,83
16-12-2020,142
17-12-2020,137
18-12-2020,148
19-12-2020,171
20-12-2020,159
21-12-2020,169
22-12-2020,151
23-12-2020,171
24-12-2020,217
25-12-2020,284
26-12-2020,302
27-12-2020,323
28-12-2020,204
29-12-2020,172
30-12-2020,151
31-12-2020,204
02-01-2021,272
03-01-2021,233
04-01-2021,267
05-01-2021,299
06-01-2021,312
07-01-2021,310
08-01-2021,292
09-01-2021,250
10-01-2021,244
11-01-2021,200
12-01-2021,224
13-01-2021,197
14-01-2021,177
15-01-2021,232
16-01-2021,269
17-01-2021,268
18-01-2021,310
19-01-2021,226
20-01-2021,258
21-01-2021,297
22-01-2021,285
25-01-2021,223
26-01-2021,198
28-01-2021,171
29-01-2021,153
30-01-2021,194
31-01-2021,201
01-02-2021,226
02-02-2021,198
03-02-2021,299
04-02-2021,211
05-02-2021,166
06-02-2021,138
07-02-2021,164
08-02-2021,184
09-02-2021,195
10-02-2021,258
11-02-2021,183
12-02-2021,236
13-02-2021,225
14-02-2021,284
15-02-2021,243
16-02-2021,197
17-02-2021,167
18-02-2021,226
19-02-2021,133
20-02-2021,187
21-02-2021,151
22-02-2021,145
23-02-2021,187
24-02-2021,211
25-02-2021,209
26-02-2021,188
27-02-2021,147
28-02-2021,182
01-03-2021,160
02-03-2021,142
03-03-2021,198
04-03-2021,164
05-03-2021,190
06-03-2021,213
10-03-2021,206
11-03-2021,206
12-03-2021,138
13-03-2021,210
14-03-2021,157
15-03-2021,137
16-03-2021,183
17-03-2021,220
18-03-2021,212
19-03-2021,156
20-03-2021,197
21-03-2021,229
22-03-2021,207
23-03-2021,177
24-03-2021,181
25-03-2021,204
26-03-2021,185
27-03-2021,213
28-03-2021,212
29-03-2021,167
30-03-2021,240
31-03-2021,196
01-04-2021,209
03-04-2021,119
04-04-2021,97
05-04-2021,94
06-04-2021,104
07-04-2021,113
08-04-2021,121
09-04-2021,120
10-04-2021,138
11-04-2021,130
12-04-2021,123
13-04-2021,131
14-04-2021,127
15-04-2021,123
16-04-2021,104
17-04-2021,85
18-04-2021,116
19-04-2021,111
20-04-2021,91
21-04-2021,84
22-04-2021,101
23-04-2021,104
24-04-2021,95
25-04-2021,113
26-04-2021,146
27-04-2021,135
28-04-2021,107
29-04-2021,94
30-04-2021,92
01-05-2021,91
02-05-2021,104
03-05-2021,98
04-05-2021,96
05-05-2021,88
06-05-2021,84
07-05-2021,87
08-05-2021,86
09-05-2021,105
10-05-2021,80
11-05-2021,56
16-05-2021,127
21-05-2021,148
25-05-2021,99
26-05-2021,146
27-05-2021,206
28-05-2021,194
29-05-2021,128
30-05-2021,197
31-05-2021,133
01-06-2021,188
02-06-2021,181
03-06-2021,126
05-06-2021,94
06-06-2021,92
07-06-2021,88
08-06-2021,71
09-06-2021,197
10-06-2021,108
11-06-2021,66
12-06-2021,50
18-06-2021,88
19-06-2021,82
20-06-2021,103
21-06-2021,119
23-06-2021,86
24-06-2021,81
25-06-2021,81
26-06-2021,76
27-06-2021,77
28-06-2021,78
29-06-2021,93
30-06-2021,69
01-07-2021,54
02-07-2021,71
09-07-2021,92
10-07-2021,98
16-07-2021,85
17-07-2021,86
18-07-2021,90
19-07-2021,87
20-07-2021,82
21-07-2021,54
24-07-2021,59
25-07-2021,60
03-08-2021,52
04-08-2021,75
05-08-2021,72
06-08-2021,84
07-08-2021,79
08-08-2021,93
09-08-2021,92
10-08-2021,87
11-08-2021,76
12-08-2021,79
13-08-2021,75
14-08-2021,69
15-08-2021,68
16-08-2021,74
17-08-2021,77
27-08-2021,73
28-08-2021,86
29-08-2021,100
30-08-2021,96
31-08-2021,85
01-09-2021,68
02-09-2021,51
03-09-2021,54
04-09-2021,64
05-09-2021,66
06-09-2021,79
07-09-2021,81
09-09-2021,47
10-09-2021,55
11-09-2021,50
12-09-2021,57
13-09-2021,59
14-09-2021,63
15-09-2021,53
16-09-2021,80
17-09-2021,70
18-09-2021,66
19-09-2021,66
20-09-2021,60
21-09-2021,58
22-09-2021,62
23-09-2021,72
24-09-2021,74
25-09-2021,84
26-09-2021,75
27-09-2021,124
28-09-2021,106
30-09-2021,65
01-10-2021,76
02-10-2021,123
03-10-2021,99
05-10-2021,154
07-10-2021,120
08-10-2021,162
09-10-2021,88
12-10-2021,191
13-10-2021,173
14-10-2021,267
15-10-2021,242
16-10-2021,233
17-10-2021,252
18-10-2021,208
19-10-2021,199
20-10-2021,163
21-10-2021,256
22-10-2021,243
23-10-2021,194
24-10-2021,104
25-10-2021,122
26-10-2021,257
27-10-2021,270
28-10-2021,244
29-10-2021,256
30-10-2021,250
31-10-2021,283
01-11-2021,285
02-11-2021,266
03-11-2021,246
07-11-2021,232
08-11-2021,262
09-11-2021,285
10-11-2021,318
11-11-2021,307
12-11-2021,317
13-11-2021,285
14-11-2021,318
15-11-2021,301
16-11-2021,317
