Date,AQI
17-12-2021,255
18-12-2021,239
19-12-2021,208
20-12-2021,291
21-12-2021,332
22-12-2021,253
24-12-2021,260
25-12-2021,251
26-12-2021,274
27-12-2021,263
28-12-2021,230
29-12-2021,98
30-12-2021,87
31-12-2021,145
01-01-2022,142
02-01-2022,137
03-01-2022,170
04-01-2022,172
05-01-2022,265
06-01-2022,235
07-01-2022,297
08-01-2022,183
09-01-2022,213
10-01-2022,165
11-01-2022,239
12-01-2022,285
13-01-2022,158
14-01-2022,194
15-01-2022,268
16-01-2022,176
17-01-2022,211
18-01-2022,172
19-01-2022,190
20-01-2022,199
21-01-2022,289
22-01-2022,270
25-01-2022,235
26-01-2022,222
27-01-2022,122
28-01-2022,226
29-01-2022,266
30-01-2022,280
02-02-2022,279
03-02-2022,191
04-02-2022,110
06-02-2022,124
07-02-2022,222
08-02-2022,264
09-02-2022,230
10-02-2022,217
11-02-2022,219
12-02-2022,207
13-02-2022,260
14-02-2022,256
16-02-2022,241
17-02-2022,274
18-02-2022,235
19-02-2022,243
20-02-2022,189
21-02-2022,186
22-02-2022,154
23-02-2022,198
25-02-2022,110
26-02-2022,101
27-02-2022,216
28-02-2022,187
01-03-2022,151
02-03-2022,190
03-03-2022,181
04-03-2022,203
05-03-2022,187
06-03-2022,227
07-03-2022,337
08-03-2022,187
09-03-2022,200
10-03-2022,220
11-03-2022,217
12-03-2022,166
13-03-2022,221
14-03-2022,215
15-03-2022,175
16-03-2022,226
17-03-2022,348
18-03-2022,257
19-03-2022,207
20-03-2022,219
21-03-2022,176
22-03-2022,89
23-03-2022,106
25-03-2022,203
26-03-2022,179
28-03-2022,160
29-03-2022,93
30-03-2022,125
31-03-2022,101
02-04-2022,71
05-04-2022,112
06-04-2022,150
07-04-2022,78
08-04-2022,73
09-04-2022,102
10-04-2022,92
12-04-2022,79
14-04-2022,120
15-04-2022,235
16-04-2022,228
17-04-2022,165
18-04-2022,122
19-04-2022,72
22-04-2022,151
23-04-2022,96
27-04-2022,108
28-04-2022,92
29-04-2022,91
08-05-2022,163
09-05-2022,209
10-05-2022,86
11-05-2022,72
12-05-2022,171
13-05-2022,161
16-05-2022,145
17-05-2022,104
18-05-2022,149
19-05-2022,191
20-05-2022,93
21-05-2022,81
22-05-2022,70
26-05-2022,97
27-05-2022,202
28-05-2022,143
29-05-2022,115
30-05-2022,166
31-05-2022,223
02-06-2022,156
03-06-2022,160
08-06-2022,172
11-06-2022,92
16-06-2022,71
17-06-2022,78
18-06-2022,67
19-06-2022,90
20-06-2022,77
22-06-2022,105
23-06-2022,128
24-06-2022,87
25-06-2022,49
26-06-2022,56
27-06-2022,60
28-06-2022,102
29-06-2022,48
30-06-2022,57
02-07-2022,59
03-07-2022,63
04-07-2022,57
05-07-2022,78
06-07-2022,72
07-07-2022,48
08-07-2022,72
09-07-2022,56
11-07-2022,68
12-07-2022,68
13-07-2022,54
14-07-2022,68
15-07-2022,56
17-07-2022,64
18-07-2022,51
19-07-2022,59
20-07-2022,53
21-07-2022,52
23-07-2022,54
26-07-2022,46
28-07-2022,116
29-07-2022,57
30-07-2022,71
05-08-2022,90
06-08-2022,54
07-08-2022,73
08-08-2022,53
11-08-2022,69
12-08-2022,69
13-08-2022,124
14-08-2022,51
17-08-2022,101
18-08-2022,119
19-08-2022,63
20-08-2022,58
21-08-2022,62
22-08-2022,96
23-08-2022,160
25-08-2022,105
26-08-2022,85
28-08-2022,77
30-08-2022,93
02-09-2022,68
07-09-2022,90
08-09-2022,72
09-09-2022,72
10-09-2022,55
11-09-2022,60
17-09-2022,68
18-09-2022,89
19-09-2022,109
20-09-2022,78
22-09-2022,84
23-09-2022,83
24-09-2022,76
25-09-2022,101
26-09-2022,78
27-09-2022,132
28-09-2022,175
30-09-2022,129
02-10-2022,134
03-10-2022,106
05-10-2022,96
07-10-2022,102
08-10-2022,99
09-10-2022,271
10-10-2022,87
11-10-2022,90
12-10-2022,83
13-10-2022,169
14-10-2022,136
15-10-2022,150
16-10-2022,154
17-10-2022,153
18-10-2022,153
19-10-2022,221
20-10-2022,222
21-10-2022,217
22-10-2022,191
23-10-2022,159
24-10-2022,169
25-10-2022,62
26-10-2022,129
27-10-2022,258
28-10-2022,267
29-10-2022,202
30-10-2022,211
31-10-2022,204
01-11-2022,184
02-11-2022,160
03-11-2022,216
04-11-2022,170
06-11-2022,185
07-11-2022,200
08-11-2022,195
09-11-2022,211
10-11-2022,237
11-11-2022,271
12-11-2022,316
13-11-2022,340
14-11-2022,297
15-11-2022,256
16-11-2022,290
17-11-2022,273
18-11-2022,270
19-11-2022,245
20-11-2022,225
21-11-2022,291
22-11-2022,358
23-11-2022,289
24-11-2022,285
25-11-2022,276
26-11-2022,254
29-11-2022,200
02-12-2022,357
03-12-2022,270
04-12-2022,281
05-12-2022,259
06-12-2022,260
07-12-2022,275
08-12-2022,300
09-12-2022,266
10-12-2022,247
11-12-2022,299
12-12-2022,324
13-12-2022,335
14-12-2022,373
15-12-2022,360
16-12-2022,378
17-12-2022,361
18-12-2022,305
19-12-2022,246
20-12-2022,309
21-12-2022,344
22-12-2022,338
23-12-2022,260
24-12-2022,336
25-12-2022,306
26-12-2022,286
27-12-2022,316
28-12-2022,354
29-12-2022,348
30-12-2022,369
31-12-2022,346
02-01-2023,333
03-01-2023,239
04-01-2023,214
05-01-2023,228
06-01-2023,255
07-01-2023,267
08-01-2023,249
09-01-2023,290
10-01-2023,343
