Date,AQI
21-12-2022,157
22-12-2022,146
23-12-2022,148
24-12-2022,143
25-12-2022,78
26-12-2022,29
27-12-2022,37
28-12-2022,38
29-12-2022,36
30-12-2022,41
31-12-2022,43
01-01-2023,46
02-01-2023,57
03-01-2023,120
04-01-2023,73
05-01-2023,86
06-01-2023,87
07-01-2023,74
08-01-2023,176
09-01-2023,163
10-01-2023,71
12-01-2023,103
13-01-2023,79
14-01-2023,56
15-01-2023,64
16-01-2023,48
17-01-2023,110
18-01-2023,44
20-01-2023,68
22-01-2023,94
23-01-2023,87
24-01-2023,49
25-01-2023,54
26-01-2023,102
27-01-2023,115
28-01-2023,58
29-01-2023,118
30-01-2023,93
31-01-2023,72
01-02-2023,164
02-02-2023,67
03-02-2023,93
04-02-2023,73
05-02-2023,87
06-02-2023,72
07-02-2023,75
08-02-2023,145
09-02-2023,54
10-02-2023,57
11-02-2023,63
12-02-2023,117
13-02-2023,147
14-02-2023,91
15-02-2023,108
16-02-2023,102
17-02-2023,88
18-02-2023,53
19-02-2023,46
20-02-2023,50
21-02-2023,60
22-02-2023,71
23-02-2023,73
24-02-2023,126
25-02-2023,60
26-02-2023,67
27-02-2023,146
28-02-2023,71
01-03-2023,120
02-03-2023,71
03-03-2023,90
04-03-2023,77
05-03-2023,78
06-03-2023,69
07-03-2023,69
08-03-2023,71
09-03-2023,77
10-03-2023,183
11-03-2023,72
12-03-2023,69
13-03-2023,68
14-03-2023,72
15-03-2023,75
16-03-2023,55
17-03-2023,56
18-03-2023,56
19-03-2023,60
20-03-2023,62
21-03-2023,64
22-03-2023,61
23-03-2023,62
28-03-2023,64
29-03-2023,56
30-03-2023,58
31-03-2023,61
01-04-2023,62
02-04-2023,64
03-04-2023,65
05-04-2023,62
06-04-2023,58
07-04-2023,57
08-04-2023,56
09-04-2023,58
10-04-2023,109
11-04-2023,48
12-04-2023,54
13-04-2023,59
14-04-2023,58
15-04-2023,68
16-04-2023,62
17-04-2023,64
18-04-2023,63
19-04-2023,52
20-04-2023,55
21-04-2023,52
22-04-2023,47
23-04-2023,47
24-04-2023,45
25-04-2023,33
26-04-2023,37
27-04-2023,49
28-04-2023,42
29-04-2023,30
30-04-2023,32
01-05-2023,30
02-05-2023,34
03-05-2023,49
06-05-2023,62
09-05-2023,43
11-05-2023,48
13-05-2023,49
14-05-2023,63
16-05-2023,56
17-05-2023,67
18-05-2023,83
19-05-2023,59
20-05-2023,47
21-05-2023,45
22-05-2023,47
23-05-2023,45
25-05-2023,41
26-05-2023,51
27-05-2023,41
28-05-2023,47
29-05-2023,50
30-05-2023,48
31-05-2023,47
01-06-2023,59
02-06-2023,50
03-06-2023,50
04-06-2023,61
06-06-2023,56
07-06-2023,35
08-06-2023,39
09-06-2023,37
10-06-2023,37
11-06-2023,34
12-06-2023,32
15-06-2023,35
16-06-2023,51
17-06-2023,40
18-06-2023,48
20-06-2023,55
21-06-2023,153
22-06-2023,45
23-06-2023,41
24-06-2023,44
25-06-2023,45
26-06-2023,34
27-06-2023,34
28-06-2023,49
29-06-2023,36
30-06-2023,34
01-07-2023,35
02-07-2023,37
03-07-2023,35
04-07-2023,31
05-07-2023,33
06-07-2023,31
07-07-2023,35
08-07-2023,29
09-07-2023,30
10-07-2023,32
11-07-2023,26
12-07-2023,52
13-07-2023,36
14-07-2023,28
18-07-2023,42
19-07-2023,31
20-07-2023,38
21-07-2023,52
22-07-2023,44
25-07-2023,20
26-07-2023,23
27-07-2023,24
28-07-2023,28
29-07-2023,35
30-07-2023,41
31-07-2023,39
01-08-2023,145
02-08-2023,132
07-08-2023,37
08-08-2023,56
09-08-2023,41
02-09-2023,28
03-09-2023,40
05-09-2023,42
06-09-2023,27
07-09-2023,24
09-09-2023,38
10-09-2023,31
11-09-2023,22
12-09-2023,25
13-09-2023,26
14-09-2023,32
15-09-2023,37
16-09-2023,41
17-09-2023,39
18-09-2023,28
19-09-2023,27
20-09-2023,29
21-09-2023,31
22-09-2023,31
23-09-2023,28
24-09-2023,30
25-09-2023,36
26-09-2023,30
27-09-2023,38
28-09-2023,38
01-10-2023,32
02-10-2023,23
03-10-2023,34
04-10-2023,40
05-10-2023,39
06-10-2023,50
10-10-2023,27
11-10-2023,31
12-10-2023,34
13-10-2023,49
14-10-2023,38
15-10-2023,22
16-10-2023,27
17-10-2023,32
18-10-2023,59
19-10-2023,78
20-10-2023,80
21-10-2023,59
22-10-2023,67
23-10-2023,71
24-10-2023,61
25-10-2023,47
26-10-2023,64
27-10-2023,64
28-10-2023,50
29-10-2023,46
30-10-2023,11
31-10-2023,47
01-11-2023,50
02-11-2023,25
03-11-2023,24
04-11-2023,12
05-11-2023,21
06-11-2023,19
07-11-2023,14
08-11-2023,17
09-11-2023,29
10-11-2023,55
11-11-2023,62
12-11-2023,74
13-11-2023,107
14-11-2023,165
15-11-2023,52
17-11-2023,57
18-11-2023,34
19-11-2023,27
20-11-2023,30
21-11-2023,32
22-11-2023,18
23-11-2023,16
24-11-2023,21
25-11-2023,11
26-11-2023,19
27-11-2023,20
28-11-2023,18
29-11-2023,21
30-11-2023,15
01-12-2023,12
02-12-2023,28
03-12-2023,10
05-12-2023,63
06-12-2023,40
07-12-2023,29
08-12-2023,27
09-12-2023,18
10-12-2023,17
11-12-2023,21
12-12-2023,26
13-12-2023,46
14-12-2023,56
15-12-2023,73
16-12-2023,48
17-12-2023,48
18-12-2023,46
19-12-2023,72
20-12-2023,78
21-12-2023,132
