Date,AQI
17-12-2021,334
18-12-2021,324
19-12-2021,310
20-12-2021,370
21-12-2021,420
22-12-2021,414
23-12-2021,389
24-12-2021,376
25-12-2021,335
26-12-2021,353
27-12-2021,307
28-12-2021,238
29-12-2021,104
30-12-2021,106
31-12-2021,84
01-01-2022,148
04-01-2022,279
05-01-2022,305
06-01-2022,302
07-01-2022,262
08-01-2022,155
09-01-2022,151
10-01-2022,132
11-01-2022,154
12-01-2022,145
13-01-2022,130
14-01-2022,179
15-01-2022,191
16-01-2022,186
18-01-2022,263
19-01-2022,282
20-01-2022,294
21-01-2022,326
22-01-2022,319
23-01-2022,271
24-01-2022,128
25-01-2022,205
26-01-2022,186
27-01-2022,143
28-01-2022,275
29-01-2022,236
01-02-2022,225
02-02-2022,289
03-02-2022,262
04-02-2022,113
05-02-2022,51
06-02-2022,103
07-02-2022,202
08-02-2022,197
09-02-2022,240
10-02-2022,246
11-02-2022,111
12-02-2022,178
13-02-2022,130
14-02-2022,159
15-02-2022,203
16-02-2022,188
17-02-2022,177
18-02-2022,242
19-02-2022,135
20-02-2022,99
21-02-2022,105
22-02-2022,138
23-02-2022,163
24-02-2022,145
25-02-2022,207
26-02-2022,206
27-02-2022,151
28-02-2022,127
03-03-2022,185
04-03-2022,171
05-03-2022,187
06-03-2022,168
07-03-2022,186
08-03-2022,171
09-03-2022,177
10-03-2022,170
11-03-2022,176
12-03-2022,170
14-03-2022,114
15-03-2022,108
17-03-2022,253
18-03-2022,265
19-03-2022,193
20-03-2022,159
21-03-2022,210
22-03-2022,222
23-03-2022,251
24-03-2022,210
25-03-2022,194
26-03-2022,233
27-03-2022,165
28-03-2022,244
29-03-2022,255
30-03-2022,191
31-03-2022,183
01-04-2022,210
03-04-2022,148
04-04-2022,300
05-04-2022,330
06-04-2022,265
07-04-2022,206
08-04-2022,190
09-04-2022,204
10-04-2022,161
11-04-2022,122
12-04-2022,142
13-04-2022,164
14-04-2022,199
15-04-2022,228
16-04-2022,231
18-04-2022,245
19-04-2022,193
20-04-2022,159
21-04-2022,141
23-04-2022,256
24-04-2022,269
25-04-2022,303
26-04-2022,273
27-04-2022,241
28-04-2022,186
29-04-2022,160
30-04-2022,224
01-05-2022,136
03-05-2022,132
04-05-2022,93
05-05-2022,127
06-05-2022,121
07-05-2022,126
08-05-2022,124
09-05-2022,128
10-05-2022,106
11-05-2022,102
13-05-2022,144
14-05-2022,120
15-05-2022,118
16-05-2022,128
18-05-2022,120
19-05-2022,162
20-05-2022,166
21-05-2022,118
22-05-2022,106
24-05-2022,133
25-05-2022,89
26-05-2022,128
27-05-2022,139
28-05-2022,134
29-05-2022,120
30-05-2022,125
31-05-2022,151
01-06-2022,177
06-06-2022,145
07-06-2022,130
08-06-2022,151
09-06-2022,145
10-06-2022,122
11-06-2022,139
12-06-2022,135
13-06-2022,141
14-06-2022,155
15-06-2022,202
16-06-2022,146
17-06-2022,109
23-06-2022,107
24-06-2022,80
25-06-2022,97
26-06-2022,73
27-06-2022,92
28-06-2022,115
29-06-2022,46
30-06-2022,40
03-07-2022,86
04-07-2022,90
05-07-2022,109
06-07-2022,103
07-07-2022,67
08-07-2022,102
09-07-2022,85
10-07-2022,78
11-07-2022,71
12-07-2022,93
14-07-2022,93
16-07-2022,302
18-07-2022,300
19-07-2022,310
23-07-2022,70
24-07-2022,79
25-07-2022,97
26-07-2022,97
28-07-2022,83
31-07-2022,42
01-08-2022,40
03-08-2022,62
06-08-2022,59
07-08-2022,44
08-08-2022,37
09-08-2022,97
10-08-2022,60
11-08-2022,48
12-08-2022,55
13-08-2022,59
14-08-2022,46
15-08-2022,45
16-08-2022,49
18-08-2022,63
19-08-2022,48
21-08-2022,83
22-08-2022,74
23-08-2022,87
24-08-2022,82
25-08-2022,71
26-08-2022,72
28-08-2022,73
29-08-2022,68
30-08-2022,95
31-08-2022,70
01-09-2022,69
03-09-2022,75
04-09-2022,67
06-09-2022,70
07-09-2022,71
09-09-2022,74
10-09-2022,71
11-09-2022,82
12-09-2022,74
13-09-2022,71
14-09-2022,77
17-09-2022,73
18-09-2022,80
19-09-2022,63
20-09-2022,69
21-09-2022,73
22-09-2022,74
23-09-2022,90
24-09-2022,78
25-09-2022,73
27-09-2022,71
29-09-2022,84
30-09-2022,67
01-10-2022,98
04-10-2022,85
05-10-2022,81
06-10-2022,82
07-10-2022,82
09-10-2022,81
10-10-2022,93
11-10-2022,87
12-10-2022,97
13-10-2022,95
14-10-2022,113
15-10-2022,111
16-10-2022,134
17-10-2022,154
18-10-2022,143
19-10-2022,154
20-10-2022,141
21-10-2022,151
22-10-2022,152
23-10-2022,162
24-10-2022,160
25-10-2022,164
26-10-2022,158
27-10-2022,163
28-10-2022,175
29-10-2022,179
30-10-2022,163
31-10-2022,177
01-11-2022,186
02-11-2022,158
04-11-2022,209
05-11-2022,232
06-11-2022,254
07-11-2022,173
08-11-2022,187
09-11-2022,170
10-11-2022,167
11-11-2022,191
12-11-2022,242
13-11-2022,186
14-11-2022,199
15-11-2022,275
16-11-2022,248
17-11-2022,226
18-11-2022,203
19-11-2022,236
20-11-2022,209
21-11-2022,227
22-11-2022,240
23-11-2022,242
24-11-2022,234
25-11-2022,273
26-11-2022,267
27-11-2022,262
28-11-2022,327
29-11-2022,337
30-11-2022,366
01-12-2022,348
02-12-2022,330
06-12-2022,341
07-12-2022,351
08-12-2022,344
10-12-2022,358
11-12-2022,336
12-12-2022,348
13-12-2022,341
14-12-2022,288
15-12-2022,242
16-12-2022,246
17-12-2022,347
18-12-2022,398
19-12-2022,383
20-12-2022,395
22-12-2022,324
23-12-2022,308
24-12-2022,352
25-12-2022,329
26-12-2022,317
28-12-2022,297
29-12-2022,383
30-12-2022,397
01-01-2023,386
02-01-2023,344
03-01-2023,252
04-01-2023,265
09-01-2023,356
10-01-2023,368
11-01-2023,341
12-01-2023,298
13-01-2023,354
14-01-2023,380
15-01-2023,327
16-01-2023,298
17-01-2023,282
18-01-2023,336
19-01-2023,366
20-01-2023,362
21-01-2023,333
22-01-2023,323
23-01-2023,296
24-01-2023,310
28-01-2023,243
29-01-2023,218
30-01-2023,269
31-01-2023,186
01-02-2023,129
02-02-2023,144
03-02-2023,219
04-02-2023,202
05-02-2023,199
06-02-2023,182
07-02-2023,179
08-02-2023,232
10-02-2023,266
11-02-2023,274
12-02-2023,228
13-02-2023,94
14-02-2023,150
15-02-2023,296
16-02-2023,331
18-02-2023,326
19-02-2023,326
20-02-2023,318
21-02-2023,306
22-02-2023,299
23-02-2023,184
24-02-2023,180
25-02-2023,240
26-02-2023,262
27-02-2023,244
28-02-2023,255
02-03-2023,232
03-03-2023,165
04-03-2023,210
05-03-2023,158
06-03-2023,157
07-03-2023,242
08-03-2023,235
09-03-2023,221
10-03-2023,136
11-03-2023,207
12-03-2023,243
13-03-2023,241
14-03-2023,259
15-03-2023,241
16-03-2023,165
17-03-2023,168
19-03-2023,144
20-03-2023,135
21-03-2023,128
22-03-2023,123
23-03-2023,125
24-03-2023,130
25-03-2023,224
26-03-2023,199
27-03-2023,144
28-03-2023,177
29-03-2023,135
30-03-2023,175
31-03-2023,204
01-04-2023,116
02-04-2023,190
03-04-2023,125
04-04-2023,132
05-04-2023,146
08-04-2023,144
09-04-2023,139
10-04-2023,145
11-04-2023,184
12-04-2023,173
13-04-2023,193
14-04-2023,174
15-04-2023,176
16-04-2023,206
17-04-2023,199
18-04-2023,189
19-04-2023,224
20-04-2023,198
21-04-2023,180
22-04-2023,91
23-04-2023,92
24-04-2023,115
25-04-2023,98
26-04-2023,142
27-04-2023,181
28-04-2023,126
29-04-2023,147
30-04-2023,148
03-05-2023,140
04-05-2023,84
06-05-2023,98
09-05-2023,146
10-05-2023,132
11-05-2023,192
12-05-2023,167
13-05-2023,166
14-05-2023,171
15-05-2023,157
16-05-2023,168
17-05-2023,169
18-05-2023,148
19-05-2023,142
20-05-2023,173
21-05-2023,171
22-05-2023,148
23-05-2023,128
24-05-2023,106
25-05-2023,119
26-05-2023,105
27-05-2023,60
28-05-2023,128
29-05-2023,131
30-05-2023,149
31-05-2023,133
02-06-2023,130
03-06-2023,127
04-06-2023,124
05-06-2023,160
07-06-2023,138
09-06-2023,128
10-06-2023,139
11-06-2023,132
12-06-2023,136
13-06-2023,154
14-06-2023,238
15-06-2023,228
16-06-2023,196
17-06-2023,150
18-06-2023,133
19-06-2023,125
20-06-2023,120
22-06-2023,88
23-06-2023,114
24-06-2023,147
25-06-2023,107
26-06-2023,95
27-06-2023,92
02-07-2023,98
03-07-2023,155
06-07-2023,124
07-07-2023,78
09-07-2023,91
10-07-2023,132
11-07-2023,136
12-07-2023,147
13-07-2023,223
14-07-2023,233
15-07-2023,242
16-07-2023,138
17-07-2023,72
18-07-2023,87
19-07-2023,112
20-07-2023,109
21-07-2023,105
23-07-2023,55
24-07-2023,73
25-07-2023,86
26-07-2023,90
27-07-2023,83
28-07-2023,92
29-07-2023,91
30-07-2023,93
31-07-2023,77
01-08-2023,154
02-08-2023,83
03-08-2023,64
04-08-2023,77
05-08-2023,85
07-08-2023,90
09-08-2023,99
10-08-2023,111
11-08-2023,108
12-08-2023,116
13-08-2023,113
14-08-2023,112
15-08-2023,104
16-08-2023,102
17-08-2023,127
18-08-2023,78
19-08-2023,78
20-08-2023,91
21-08-2023,117
23-08-2023,94
24-08-2023,86
25-08-2023,88
26-08-2023,91
27-08-2023,119
28-08-2023,153
29-08-2023,137
30-08-2023,73
02-09-2023,121
03-09-2023,83
04-09-2023,71
06-09-2023,67
07-09-2023,52
09-09-2023,47
10-09-2023,59
11-09-2023,90
12-09-2023,125
14-09-2023,83
15-09-2023,49
16-09-2023,64
17-09-2023,85
18-09-2023,51
19-09-2023,104
20-09-2023,89
21-09-2023,51
22-09-2023,58
23-09-2023,28
24-09-2023,46
26-09-2023,118
27-09-2023,161
30-09-2023,91
02-10-2023,50
03-10-2023,78
04-10-2023,42
05-10-2023,84
06-10-2023,81
07-10-2023,77
10-10-2023,97
11-10-2023,96
12-10-2023,99
13-10-2023,117
14-10-2023,159
15-10-2023,127
16-10-2023,139
17-10-2023,95
18-10-2023,95
19-10-2023,111
20-10-2023,133
21-10-2023,120
22-10-2023,191
23-10-2023,161
