Date,AQI
04-02-2018,346
05-02-2018,266
06-02-2018,244
07-02-2018,222
08-02-2018,194
09-02-2018,221
10-02-2018,209
11-02-2018,181
12-02-2018,262
13-02-2018,143
14-02-2018,112
15-02-2018,109
16-02-2018,114
17-02-2018,140
18-02-2018,151
19-02-2018,233
20-02-2018,165
21-02-2018,167
22-02-2018,241
23-02-2018,287
24-02-2018,222
25-02-2018,233
26-02-2018,161
27-02-2018,151
28-02-2018,142
01-03-2018,197
02-03-2018,162
03-03-2018,139
04-03-2018,134
05-03-2018,173
06-03-2018,123
07-03-2018,108
08-03-2018,137
09-03-2018,170
10-03-2018,127
11-03-2018,132
12-03-2018,197
13-03-2018,192
14-03-2018,166
15-03-2018,217
16-03-2018,145
17-03-2018,107
18-03-2018,167
19-03-2018,154
20-03-2018,355
21-03-2018,209
22-03-2018,167
23-03-2018,177
24-03-2018,172
25-03-2018,142
26-03-2018,113
27-03-2018,181
28-03-2018,213
05-04-2018,62
06-04-2018,74
07-04-2018,89
08-04-2018,62
09-04-2018,66
10-04-2018,52
11-04-2018,82
12-04-2018,81
13-04-2018,76
14-04-2018,118
15-04-2018,151
16-04-2018,177
17-04-2018,166
18-04-2018,97
19-04-2018,94
20-04-2018,146
21-04-2018,82
22-04-2018,106
23-04-2018,154
24-04-2018,176
25-04-2018,201
26-04-2018,149
27-04-2018,85
28-04-2018,72
29-04-2018,85
30-04-2018,60
02-05-2018,105
03-05-2018,66
04-05-2018,86
05-05-2018,81
06-05-2018,83
07-05-2018,105
08-05-2018,137
09-05-2018,121
12-05-2018,93
13-05-2018,84
14-05-2018,76
15-05-2018,86
16-05-2018,65
17-05-2018,73
18-05-2018,100
19-05-2018,110
20-05-2018,111
21-05-2018,115
22-05-2018,103
23-05-2018,78
24-05-2018,59
25-05-2018,58
26-05-2018,73
27-05-2018,55
28-05-2018,57
29-05-2018,65
30-05-2018,74
31-05-2018,93
01-06-2018,79
02-06-2018,54
04-06-2018,88
05-06-2018,72
06-06-2018,69
07-06-2018,56
08-06-2018,61
12-06-2018,69
13-06-2018,73
14-06-2018,105
16-06-2018,136
17-06-2018,107
18-06-2018,102
19-06-2018,91
20-06-2018,87
30-06-2018,65
04-07-2018,62
05-07-2018,72
06-07-2018,60
07-07-2018,74
08-07-2018,47
09-07-2018,53
10-07-2018,53
11-07-2018,67
15-07-2018,48
16-07-2018,50
17-07-2018,51
18-07-2018,51
19-07-2018,53
20-07-2018,69
21-07-2018,45
22-07-2018,49
24-07-2018,59
25-07-2018,66
26-07-2018,65
27-07-2018,47
02-08-2018,55
03-08-2018,58
04-08-2018,77
05-08-2018,72
06-08-2018,60
07-08-2018,50
08-08-2018,47
09-08-2018,53
10-08-2018,53
11-08-2018,51
12-08-2018,47
14-08-2018,55
17-08-2018,49
19-08-2018,79
20-08-2018,51
22-08-2018,51
23-08-2018,68
24-08-2018,63
28-08-2018,52
29-08-2018,77
30-08-2018,70
31-08-2018,64
02-09-2018,48
05-09-2018,72
06-09-2018,38
07-09-2018,29
08-09-2018,69
09-09-2018,56
11-09-2018,68
12-09-2018,78
13-09-2018,58
14-09-2018,78
15-09-2018,68
16-09-2018,89
17-09-2018,100
18-09-2018,100
19-09-2018,88
20-09-2018,67
21-09-2018,46
22-09-2018,37
23-09-2018,33
24-09-2018,45
25-09-2018,122
26-09-2018,92
27-09-2018,106
28-09-2018,93
30-09-2018,119
01-10-2018,110
02-10-2018,129
03-10-2018,135
04-10-2018,139
05-10-2018,146
06-10-2018,135
07-10-2018,161
08-10-2018,219
09-10-2018,228
10-10-2018,132
11-10-2018,32
12-10-2018,34
13-10-2018,34
14-10-2018,62
17-10-2018,219
18-10-2018,167
21-10-2018,186
22-10-2018,210
23-10-2018,162
24-10-2018,138
25-10-2018,195
26-10-2018,166
27-10-2018,145
28-10-2018,166
29-10-2018,102
30-10-2018,68
31-10-2018,91
01-11-2018,112
02-11-2018,107
03-11-2018,163
04-11-2018,171
05-11-2018,192
06-11-2018,219
07-11-2018,198
08-11-2018,271
09-11-2018,230
10-11-2018,228
11-11-2018,191
12-11-2018,193
13-11-2018,281
14-11-2018,306
15-11-2018,239
16-11-2018,159
17-11-2018,229
18-11-2018,232
19-11-2018,200
20-11-2018,259
21-11-2018,264
22-11-2018,222
23-11-2018,193
24-11-2018,227
25-11-2018,186
26-11-2018,236
27-11-2018,127
28-11-2018,118
29-11-2018,154
30-11-2018,138
01-12-2018,179
02-12-2018,189
03-12-2018,206
04-12-2018,250
05-12-2018,228
06-12-2018,238
07-12-2018,261
08-12-2018,213
09-12-2018,252
10-12-2018,211
11-12-2018,250
12-12-2018,259
13-12-2018,230
14-12-2018,211
15-12-2018,170
16-12-2018,98
17-12-2018,138
18-12-2018,130
19-12-2018,63
20-12-2018,237
21-12-2018,291
22-12-2018,290
23-12-2018,259
