Date,AQI
06-05-2022,141
07-05-2022,159
08-05-2022,150
09-05-2022,147
10-05-2022,94
12-05-2022,173
13-05-2022,182
14-05-2022,190
15-05-2022,181
18-05-2022,195
19-05-2022,230
20-05-2022,265
21-05-2022,183
22-05-2022,149
23-05-2022,119
24-05-2022,122
25-05-2022,129
26-05-2022,119
27-05-2022,146
28-05-2022,156
29-05-2022,148
30-05-2022,145
04-06-2022,239
05-06-2022,200
06-06-2022,189
07-06-2022,178
08-06-2022,199
09-06-2022,263
10-06-2022,183
11-06-2022,212
12-06-2022,197
13-06-2022,205
14-06-2022,144
15-06-2022,167
16-06-2022,78
17-06-2022,97
22-06-2022,101
23-06-2022,87
24-06-2022,121
25-06-2022,115
26-06-2022,130
27-06-2022,88
28-06-2022,97
29-06-2022,102
30-06-2022,97
01-07-2022,277
02-07-2022,114
03-07-2022,75
07-07-2022,76
08-07-2022,98
09-07-2022,91
10-07-2022,86
11-07-2022,77
12-07-2022,98
14-07-2022,98
17-07-2022,84
18-07-2022,73
19-07-2022,72
20-07-2022,80
21-07-2022,131
22-07-2022,203
23-07-2022,92
24-07-2022,71
25-07-2022,78
26-07-2022,80
27-07-2022,61
28-07-2022,84
29-07-2022,83
30-07-2022,99
31-07-2022,73
01-08-2022,75
02-08-2022,120
03-08-2022,123
04-08-2022,157
05-08-2022,142
06-08-2022,108
07-08-2022,93
08-08-2022,139
09-08-2022,56
10-08-2022,48
11-08-2022,57
12-08-2022,52
14-08-2022,104
16-08-2022,41
17-08-2022,74
19-08-2022,90
20-08-2022,57
22-08-2022,67
23-08-2022,110
24-08-2022,91
26-08-2022,87
01-09-2022,135
02-09-2022,88
03-09-2022,118
05-09-2022,89
06-09-2022,88
07-09-2022,149
08-09-2022,360
09-09-2022,113
10-09-2022,144
11-09-2022,75
13-09-2022,58
15-09-2022,105
16-09-2022,80
19-09-2022,170
21-09-2022,94
22-09-2022,123
23-09-2022,178
24-09-2022,109
25-09-2022,108
26-09-2022,194
27-09-2022,110
01-10-2022,104
02-10-2022,186
06-10-2022,62
07-10-2022,56
08-10-2022,58
11-10-2022,58
15-10-2022,109
16-10-2022,119
18-10-2022,123
19-10-2022,153
20-10-2022,167
21-10-2022,157
22-10-2022,153
23-10-2022,144
24-10-2022,120
04-11-2022,203
05-11-2022,200
06-11-2022,214
07-11-2022,169
08-11-2022,176
10-11-2022,176
12-11-2022,237
13-11-2022,193
14-11-2022,159
15-11-2022,229
16-11-2022,206
17-11-2022,178
18-11-2022,183
19-11-2022,240
20-11-2022,215
21-11-2022,251
22-11-2022,285
23-11-2022,241
24-11-2022,230
25-11-2022,236
26-11-2022,250
27-11-2022,290
28-11-2022,297
29-11-2022,295
30-11-2022,325
01-12-2022,350
02-12-2022,358
03-12-2022,357
04-12-2022,342
05-12-2022,345
06-12-2022,338
07-12-2022,317
08-12-2022,304
09-12-2022,296
10-12-2022,352
11-12-2022,357
12-12-2022,313
13-12-2022,194
14-12-2022,140
15-12-2022,170
16-12-2022,160
17-12-2022,283
18-12-2022,348
19-12-2022,363
20-12-2022,354
21-12-2022,322
22-12-2022,348
23-12-2022,237
24-12-2022,302
25-12-2022,315
26-12-2022,342
27-12-2022,333
28-12-2022,282
29-12-2022,276
30-12-2022,372
31-12-2022,402
01-01-2023,406
02-01-2023,368
03-01-2023,335
04-01-2023,320
05-01-2023,331
06-01-2023,329
07-01-2023,345
08-01-2023,338
09-01-2023,391
11-01-2023,365
12-01-2023,373
13-01-2023,354
14-01-2023,352
15-01-2023,280
16-01-2023,280
17-01-2023,315
18-01-2023,320
19-01-2023,357
20-01-2023,362
21-01-2023,371
22-01-2023,361
23-01-2023,323
24-01-2023,323
25-01-2023,316
26-01-2023,319
27-01-2023,156
28-01-2023,209
29-01-2023,227
30-01-2023,305
31-01-2023,236
01-02-2023,108
02-02-2023,141
03-02-2023,202
04-02-2023,145
05-02-2023,140
06-02-2023,145
07-02-2023,167
08-02-2023,179
09-02-2023,161
11-02-2023,224
12-02-2023,162
13-02-2023,118
14-02-2023,142
15-02-2023,157
16-02-2023,255
17-02-2023,274
18-02-2023,303
19-02-2023,222
20-02-2023,222
21-02-2023,211
22-02-2023,180
23-02-2023,161
24-02-2023,184
25-02-2023,171
26-02-2023,202
27-02-2023,166
28-02-2023,190
01-03-2023,189
02-03-2023,212
03-03-2023,154
04-03-2023,156
05-03-2023,136
06-03-2023,129
07-03-2023,168
08-03-2023,111
09-03-2023,108
10-03-2023,83
12-03-2023,135
13-03-2023,152
14-03-2023,158
15-03-2023,173
16-03-2023,115
17-03-2023,121
18-03-2023,162
19-03-2023,125
20-03-2023,72
21-03-2023,98
22-03-2023,74
23-03-2023,129
24-03-2023,131
25-03-2023,154
26-03-2023,158
28-03-2023,204
29-03-2023,162
30-03-2023,158
31-03-2023,112
02-04-2023,95
03-04-2023,94
05-04-2023,142
06-04-2023,136
07-04-2023,80
08-04-2023,151
12-04-2023,143
13-04-2023,133
14-04-2023,150
15-04-2023,202
16-04-2023,184
17-04-2023,151
18-04-2023,159
19-04-2023,134
21-04-2023,127
23-04-2023,71
24-04-2023,105
26-04-2023,133
27-04-2023,127
28-04-2023,107
29-04-2023,124
30-04-2023,98
01-05-2023,76
02-05-2023,61
03-05-2023,80
04-05-2023,102
05-05-2023,88
07-05-2023,131
08-05-2023,141
09-05-2023,139
10-05-2023,128
11-05-2023,148
12-05-2023,130
13-05-2023,139
14-05-2023,142
15-05-2023,204
16-05-2023,177
17-05-2023,218
19-05-2023,149
20-05-2023,171
21-05-2023,190
22-05-2023,168
23-05-2023,128
24-05-2023,98
25-05-2023,113
26-05-2023,92
30-05-2023,124
01-06-2023,121
02-06-2023,134
04-06-2023,161
05-06-2023,128
06-06-2023,115
07-06-2023,122
08-06-2023,140
09-06-2023,141
10-06-2023,183
11-06-2023,166
12-06-2023,162
13-06-2023,210
16-06-2023,117
17-06-2023,114
18-06-2023,123
21-06-2023,99
24-06-2023,66
25-06-2023,103
30-06-2023,69
07-07-2023,113
08-07-2023,130
13-07-2023,101
14-07-2023,40
15-07-2023,36
17-07-2023,44
19-07-2023,44
20-07-2023,59
21-07-2023,50
22-07-2023,38
23-07-2023,35
24-07-2023,45
25-07-2023,43
26-07-2023,49
27-07-2023,39
28-07-2023,50
29-07-2023,50
30-07-2023,62
04-08-2023,72
05-08-2023,65
06-08-2023,39
10-08-2023,66
11-08-2023,77
12-08-2023,83
13-08-2023,66
15-08-2023,54
16-08-2023,50
17-08-2023,58
19-08-2023,51
26-08-2023,65
27-08-2023,103
28-08-2023,119
29-08-2023,103
30-08-2023,64
31-08-2023,81
03-09-2023,79
04-09-2023,46
05-09-2023,76
06-09-2023,46
12-09-2023,44
13-09-2023,44
14-09-2023,36
19-09-2023,47
21-09-2023,43
24-09-2023,28
25-09-2023,41
26-09-2023,77
27-09-2023,70
28-09-2023,44
29-09-2023,47
01-10-2023,81
06-10-2023,74
07-10-2023,79
08-10-2023,62
14-10-2023,105
15-10-2023,106
18-10-2023,86
19-10-2023,71
20-10-2023,83
21-10-2023,90
22-10-2023,110
24-10-2023,100
25-10-2023,81
26-10-2023,96
27-10-2023,106
29-10-2023,96
30-10-2023,94
31-10-2023,100
01-11-2023,110
03-11-2023,103
04-11-2023,124
05-11-2023,100
06-11-2023,116
07-11-2023,133
09-11-2023,177
11-11-2023,127
15-11-2023,196
16-11-2023,145
17-11-2023,133
21-11-2023,135
23-11-2023,219
26-11-2023,177
27-11-2023,177
28-11-2023,192
30-11-2023,150
02-12-2023,78
04-12-2023,147
05-12-2023,178
06-12-2023,198
07-12-2023,71
08-12-2023,66
12-12-2023,127
14-12-2023,214
19-12-2023,77
20-12-2023,83
21-12-2023,104
24-12-2023,93
25-12-2023,81
26-12-2023,96
27-12-2023,124
31-12-2023,113
