Date,AQI
07-09-2016,63
08-09-2016,66
09-09-2016,55
10-09-2016,74
13-09-2016,88
14-09-2016,90
15-09-2016,150
16-09-2016,53
17-09-2016,44
18-09-2016,48
19-09-2016,57
20-09-2016,55
21-09-2016,71
22-09-2016,72
23-09-2016,102
24-09-2016,59
25-09-2016,81
26-09-2016,80
27-09-2016,110
28-09-2016,97
29-09-2016,84
30-09-2016,85
01-10-2016,88
02-10-2016,51
03-10-2016,53
04-10-2016,69
05-10-2016,43
06-10-2016,66
10-10-2016,121
11-10-2016,106
13-10-2016,117
14-10-2016,147
16-10-2016,160
17-10-2016,123
18-10-2016,157
19-10-2016,148
20-10-2016,154
21-10-2016,177
22-10-2016,137
23-10-2016,133
24-10-2016,139
25-10-2016,156
26-10-2016,105
30-10-2016,173
31-10-2016,143
01-11-2016,120
03-11-2016,269
04-11-2016,94
07-11-2016,226
08-11-2016,126
15-11-2016,171
17-11-2016,306
18-11-2016,177
19-11-2016,219
20-11-2016,216
21-11-2016,219
22-11-2016,250
23-11-2016,253
24-11-2016,269
25-11-2016,298
26-11-2016,272
27-11-2016,328
28-11-2016,339
29-11-2016,237
30-11-2016,218
01-12-2016,253
06-12-2016,169
07-12-2016,185
08-12-2016,206
09-12-2016,211
10-12-2016,223
11-12-2016,168
12-12-2016,137
13-12-2016,137
14-12-2016,187
15-12-2016,120
16-12-2016,159
17-12-2016,198
18-12-2016,105
19-12-2016,147
20-12-2016,129
21-12-2016,178
22-12-2016,243
23-12-2016,232
24-12-2016,245
25-12-2016,221
26-12-2016,195
27-12-2016,155
28-12-2016,238
29-12-2016,271
30-12-2016,246
03-01-2017,194
04-01-2017,182
05-01-2017,225
06-01-2017,234
07-01-2017,239
08-01-2017,237
09-01-2017,202
10-01-2017,185
11-01-2017,146
12-01-2017,157
13-01-2017,129
14-01-2017,120
15-01-2017,128
16-01-2017,155
17-01-2017,213
20-01-2017,123
21-01-2017,113
22-01-2017,148
23-01-2017,151
24-01-2017,159
25-01-2017,141
26-01-2017,162
27-01-2017,115
28-01-2017,128
29-01-2017,153
30-01-2017,168
01-02-2017,175
02-02-2017,242
03-02-2017,152
04-02-2017,158
05-02-2017,190
06-02-2017,158
07-02-2017,152
08-02-2017,164
09-02-2017,179
10-02-2017,160
11-02-2017,170
12-02-2017,162
13-02-2017,98
