Date,AQI
12-03-2022,170
13-03-2022,188
14-03-2022,140
15-03-2022,179
16-03-2022,177
17-03-2022,172
18-03-2022,272
20-03-2022,110
21-03-2022,123
22-03-2022,148
23-03-2022,169
24-03-2022,148
25-03-2022,139
26-03-2022,162
27-03-2022,188
28-03-2022,142
29-03-2022,172
30-03-2022,142
31-03-2022,154
01-04-2022,182
02-04-2022,130
03-04-2022,111
04-04-2022,154
05-04-2022,147
06-04-2022,165
07-04-2022,172
08-04-2022,189
09-04-2022,160
10-04-2022,127
11-04-2022,166
12-04-2022,169
13-04-2022,192
14-04-2022,194
15-04-2022,126
17-04-2022,93
18-04-2022,113
19-04-2022,158
20-04-2022,155
21-04-2022,227
22-04-2022,123
23-04-2022,166
24-04-2022,168
25-04-2022,152
26-04-2022,181
27-04-2022,176
28-04-2022,184
29-04-2022,195
30-04-2022,192
01-05-2022,163
02-05-2022,149
03-05-2022,174
04-05-2022,146
05-05-2022,126
06-05-2022,188
07-05-2022,112
08-05-2022,137
09-05-2022,160
10-05-2022,103
11-05-2022,156
12-05-2022,127
13-05-2022,116
15-05-2022,187
16-05-2022,174
17-05-2022,141
18-05-2022,160
19-05-2022,146
20-05-2022,178
22-05-2022,200
23-05-2022,93
24-05-2022,75
25-05-2022,43
26-05-2022,95
27-05-2022,124
28-05-2022,167
29-05-2022,136
30-05-2022,171
31-05-2022,176
01-06-2022,180
02-06-2022,162
03-06-2022,130
04-06-2022,115
05-06-2022,132
06-06-2022,149
07-06-2022,177
08-06-2022,200
09-06-2022,221
10-06-2022,167
11-06-2022,182
12-06-2022,175
13-06-2022,187
14-06-2022,198
15-06-2022,245
16-06-2022,114
17-06-2022,96
18-06-2022,136
19-06-2022,143
20-06-2022,97
21-06-2022,81
23-06-2022,138
24-06-2022,152
28-06-2022,123
29-06-2022,114
30-06-2022,115
02-07-2022,219
03-07-2022,147
04-07-2022,110
05-07-2022,100
06-07-2022,155
07-07-2022,69
08-07-2022,78
11-07-2022,69
12-07-2022,97
14-07-2022,97
15-07-2022,59
16-07-2022,79
17-07-2022,54
18-07-2022,79
19-07-2022,86
20-07-2022,90
21-07-2022,62
22-07-2022,101
23-07-2022,84
25-07-2022,51
26-07-2022,53
27-07-2022,60
28-07-2022,95
29-07-2022,80
31-07-2022,65
01-08-2022,80
02-08-2022,192
03-08-2022,149
04-08-2022,99
05-08-2022,68
06-08-2022,94
07-08-2022,97
08-08-2022,100
09-08-2022,157
10-08-2022,91
11-08-2022,80
12-08-2022,72
13-08-2022,70
14-08-2022,72
17-08-2022,62
18-08-2022,79
19-08-2022,112
20-08-2022,88
21-08-2022,96
22-08-2022,78
23-08-2022,82
24-08-2022,75
25-08-2022,102
26-08-2022,131
27-08-2022,109
28-08-2022,87
29-08-2022,82
30-08-2022,106
31-08-2022,202
01-09-2022,153
02-09-2022,131
03-09-2022,115
04-09-2022,100
05-09-2022,103
06-09-2022,110
07-09-2022,114
08-09-2022,187
09-09-2022,177
10-09-2022,143
11-09-2022,97
12-09-2022,150
13-09-2022,86
14-09-2022,121
15-09-2022,124
16-09-2022,76
17-09-2022,131
19-09-2022,121
20-09-2022,71
21-09-2022,119
22-09-2022,90
23-09-2022,86
24-09-2022,96
25-09-2022,57
26-09-2022,74
27-09-2022,129
28-09-2022,98
29-09-2022,65
30-09-2022,161
01-10-2022,190
02-10-2022,176
03-10-2022,169
04-10-2022,182
05-10-2022,229
06-10-2022,195
07-10-2022,106
08-10-2022,112
09-10-2022,113
10-10-2022,88
12-10-2022,89
13-10-2022,185
14-10-2022,170
15-10-2022,206
16-10-2022,190
17-10-2022,212
18-10-2022,228
19-10-2022,234
20-10-2022,210
21-10-2022,300
22-10-2022,197
23-10-2022,186
24-10-2022,164
25-10-2022,206
26-10-2022,180
27-10-2022,164
28-10-2022,205
29-10-2022,204
30-10-2022,243
31-10-2022,141
01-11-2022,278
02-11-2022,157
03-11-2022,223
04-11-2022,159
05-11-2022,170
06-11-2022,193
07-11-2022,211
08-11-2022,178
09-11-2022,357
10-11-2022,193
11-11-2022,238
12-11-2022,127
13-11-2022,102
14-11-2022,132
15-11-2022,102
16-11-2022,124
17-11-2022,205
18-11-2022,185
19-11-2022,129
20-11-2022,220
21-11-2022,194
22-11-2022,195
23-11-2022,179
24-11-2022,233
25-11-2022,266
26-11-2022,269
27-11-2022,197
28-11-2022,278
29-11-2022,182
30-11-2022,188
01-12-2022,186
02-12-2022,234
03-12-2022,261
04-12-2022,251
07-12-2022,186
08-12-2022,250
09-12-2022,218
10-12-2022,221
11-12-2022,219
12-12-2022,187
13-12-2022,136
14-12-2022,168
15-12-2022,251
16-12-2022,256
17-12-2022,339
18-12-2022,298
19-12-2022,232
20-12-2022,335
21-12-2022,335
22-12-2022,343
23-12-2022,342
24-12-2022,318
25-12-2022,330
26-12-2022,321
27-12-2022,334
28-12-2022,289
29-12-2022,341
30-12-2022,397
31-12-2022,344
01-01-2023,311
02-01-2023,366
03-01-2023,383
04-01-2023,267
05-01-2023,240
06-01-2023,317
07-01-2023,330
08-01-2023,402
09-01-2023,398
10-01-2023,309
11-01-2023,268
12-01-2023,387
13-01-2023,134
14-01-2023,291
15-01-2023,287
16-01-2023,268
17-01-2023,289
18-01-2023,257
19-01-2023,337
20-01-2023,359
21-01-2023,163
22-01-2023,198
23-01-2023,156
24-01-2023,151
31-01-2023,138
01-02-2023,108
02-02-2023,188
03-02-2023,216
04-02-2023,227
05-02-2023,199
06-02-2023,131
07-02-2023,106
08-02-2023,121
09-02-2023,148
10-02-2023,148
11-02-2023,140
12-02-2023,143
13-02-2023,99
14-02-2023,199
15-02-2023,162
16-02-2023,224
17-02-2023,242
18-02-2023,255
19-02-2023,284
20-02-2023,252
21-02-2023,218
22-02-2023,105
23-02-2023,146
24-02-2023,125
25-02-2023,175
26-02-2023,190
27-02-2023,154
28-02-2023,122
01-03-2023,82
02-03-2023,87
03-03-2023,104
04-03-2023,121
05-03-2023,122
06-03-2023,118
07-03-2023,134
08-03-2023,106
09-03-2023,166
10-03-2023,168
11-03-2023,188
12-03-2023,190
13-03-2023,178
14-03-2023,98
15-03-2023,164
16-03-2023,113
17-03-2023,96
18-03-2023,79
19-03-2023,94
20-03-2023,94
21-03-2023,128
22-03-2023,166
23-03-2023,105
24-03-2023,110
25-03-2023,78
26-03-2023,96
27-03-2023,110
28-03-2023,154
29-03-2023,210
30-03-2023,114
31-03-2023,91
01-04-2023,74
02-04-2023,89
03-04-2023,83
04-04-2023,81
05-04-2023,97
06-04-2023,128
07-04-2023,119
08-04-2023,158
09-04-2023,171
10-04-2023,155
11-04-2023,125
12-04-2023,135
13-04-2023,189
14-04-2023,178
15-04-2023,124
16-04-2023,163
17-04-2023,134
18-04-2023,127
19-04-2023,98
20-04-2023,81
21-04-2023,156
22-04-2023,120
23-04-2023,122
24-04-2023,211
25-04-2023,268
26-04-2023,289
27-04-2023,132
28-04-2023,249
29-04-2023,279
30-04-2023,214
01-05-2023,95
02-05-2023,83
03-05-2023,59
04-05-2023,110
05-05-2023,150
07-05-2023,100
08-05-2023,168
09-05-2023,212
10-05-2023,197
11-05-2023,272
12-05-2023,285
13-05-2023,301
14-05-2023,131
15-05-2023,167
16-05-2023,176
17-05-2023,210
18-05-2023,172
19-05-2023,196
20-05-2023,200
21-05-2023,244
22-05-2023,239
23-05-2023,262
26-05-2023,111
27-05-2023,167
28-05-2023,212
29-05-2023,145
30-05-2023,161
31-05-2023,71
