Date,AQI
17-06-2023,47
18-06-2023,66
19-06-2023,88
20-06-2023,104
21-06-2023,141
22-06-2023,93
23-06-2023,89
24-06-2023,44
26-06-2023,45
27-06-2023,37
28-06-2023,56
29-06-2023,56
30-06-2023,39
01-07-2023,44
02-07-2023,49
03-07-2023,50
04-07-2023,60
05-07-2023,59
06-07-2023,56
07-07-2023,36
08-07-2023,48
09-07-2023,147
10-07-2023,98
11-07-2023,104
12-07-2023,53
13-07-2023,46
14-07-2023,32
16-07-2023,33
17-07-2023,24
18-07-2023,41
21-07-2023,33
22-07-2023,64
23-07-2023,70
24-07-2023,70
25-07-2023,69
29-07-2023,27
30-07-2023,37
31-07-2023,43
01-08-2023,31
02-08-2023,40
03-08-2023,31
04-08-2023,38
05-08-2023,34
06-08-2023,43
07-08-2023,40
08-08-2023,48
09-08-2023,46
10-08-2023,53
11-08-2023,54
12-08-2023,46
13-08-2023,38
14-08-2023,40
15-08-2023,45
16-08-2023,38
17-08-2023,40
18-08-2023,26
20-08-2023,31
21-08-2023,36
22-08-2023,39
23-08-2023,34
24-08-2023,33
25-08-2023,36
26-08-2023,32
27-08-2023,34
29-08-2023,69
30-08-2023,93
31-08-2023,119
01-09-2023,94
02-09-2023,81
03-09-2023,66
04-09-2023,94
05-09-2023,116
06-09-2023,115
07-09-2023,80
08-09-2023,40
09-09-2023,45
10-09-2023,47
11-09-2023,68
12-09-2023,68
13-09-2023,80
14-09-2023,59
15-09-2023,65
16-09-2023,49
17-09-2023,41
18-09-2023,43
19-09-2023,42
20-09-2023,49
21-09-2023,42
22-09-2023,40
23-09-2023,48
24-09-2023,55
25-09-2023,59
26-09-2023,75
27-09-2023,61
28-09-2023,62
29-09-2023,70
30-09-2023,66
01-10-2023,70
02-10-2023,83
03-10-2023,128
04-10-2023,122
05-10-2023,134
06-10-2023,128
07-10-2023,132
08-10-2023,135
09-10-2023,172
10-10-2023,188
11-10-2023,181
12-10-2023,135
13-10-2023,144
14-10-2023,142
15-10-2023,151
16-10-2023,180
17-10-2023,219
18-10-2023,146
19-10-2023,160
21-10-2023,196
22-10-2023,170
23-10-2023,184
24-10-2023,176
25-10-2023,152
26-10-2023,174
27-10-2023,194
28-10-2023,190
29-10-2023,225
30-10-2023,233
31-10-2023,239
02-11-2023,208
03-11-2023,241
04-11-2023,251
05-11-2023,271
06-11-2023,243
07-11-2023,220
08-11-2023,262
09-11-2023,149
11-11-2023,95
12-11-2023,223
13-11-2023,229
14-11-2023,205
15-11-2023,183
16-11-2023,179
17-11-2023,226
18-11-2023,219
19-11-2023,301
20-11-2023,165
21-11-2023,168
22-11-2023,227
23-11-2023,187
24-11-2023,194
25-11-2023,169
26-11-2023,146
27-11-2023,60
28-11-2023,83
29-11-2023,303
30-11-2023,127
01-12-2023,236
02-12-2023,141
03-12-2023,178
05-12-2023,153
06-12-2023,151
07-12-2023,154
08-12-2023,220
09-12-2023,152
10-12-2023,204
12-12-2023,206
13-12-2023,174
14-12-2023,256
15-12-2023,195
16-12-2023,130
17-12-2023,130
19-12-2023,178
20-12-2023,159
21-12-2023,210
22-12-2023,217
23-12-2023,179
24-12-2023,227
25-12-2023,209
26-12-2023,241
27-12-2023,240
28-12-2023,251
29-12-2023,239
30-12-2023,210
