Date,AQI
11-02-2020,70
12-02-2020,72
13-02-2020,70
14-02-2020,99
15-02-2020,124
16-02-2020,117
17-02-2020,98
18-02-2020,108
19-02-2020,122
22-02-2020,68
23-02-2020,61
24-02-2020,70
25-02-2020,103
26-02-2020,83
27-02-2020,75
28-02-2020,68
29-02-2020,70
01-03-2020,72
02-03-2020,64
03-03-2020,93
04-03-2020,69
05-03-2020,74
19-03-2020,64
20-03-2020,84
21-03-2020,61
22-03-2020,84
23-03-2020,100
24-03-2020,83
25-03-2020,68
26-03-2020,64
27-03-2020,104
28-03-2020,58
29-03-2020,63
30-03-2020,62
31-03-2020,72
01-04-2020,86
02-04-2020,88
03-04-2020,43
15-04-2020,78
16-04-2020,108
17-04-2020,57
18-04-2020,58
19-04-2020,69
20-04-2020,69
21-04-2020,53
22-04-2020,50
23-04-2020,62
24-04-2020,49
25-04-2020,42
26-04-2020,46
27-04-2020,61
28-04-2020,51
29-04-2020,56
30-04-2020,51
01-05-2020,52
02-05-2020,62
03-05-2020,57
04-05-2020,53
05-05-2020,44
06-05-2020,55
07-05-2020,52
08-05-2020,53
09-05-2020,54
10-05-2020,58
11-05-2020,51
13-05-2020,57
14-05-2020,53
15-05-2020,48
16-05-2020,61
17-05-2020,56
18-05-2020,83
19-05-2020,71
20-05-2020,47
21-05-2020,45
22-05-2020,49
23-05-2020,52
24-05-2020,75
25-05-2020,54
26-05-2020,54
27-05-2020,58
28-05-2020,61
29-05-2020,44
30-05-2020,38
31-05-2020,40
01-06-2020,53
02-06-2020,151
03-06-2020,40
04-06-2020,52
05-06-2020,56
06-06-2020,57
07-06-2020,53
08-06-2020,61
10-06-2020,126
11-06-2020,124
12-06-2020,34
13-06-2020,40
14-06-2020,48
15-06-2020,53
16-06-2020,48
17-06-2020,35
18-06-2020,43
19-06-2020,64
20-06-2020,104
21-06-2020,93
22-06-2020,104
23-06-2020,78
24-06-2020,68
25-06-2020,41
26-06-2020,26
27-06-2020,61
28-06-2020,74
29-06-2020,76
30-06-2020,56
01-07-2020,33
02-07-2020,31
03-07-2020,36
04-07-2020,36
05-07-2020,48
06-07-2020,64
07-07-2020,67
09-07-2020,53
10-07-2020,42
11-07-2020,44
14-07-2020,33
15-07-2020,31
16-07-2020,20
17-07-2020,38
18-07-2020,44
19-07-2020,41
20-07-2020,47
21-07-2020,42
22-07-2020,33
23-07-2020,45
24-07-2020,49
25-07-2020,124
26-07-2020,29
27-07-2020,29
28-07-2020,37
29-07-2020,59
30-07-2020,57
01-08-2020,27
02-08-2020,25
03-08-2020,37
04-08-2020,31
05-08-2020,26
08-08-2020,39
09-08-2020,75
10-08-2020,84
11-08-2020,27
12-08-2020,43
13-08-2020,52
14-08-2020,88
15-08-2020,50
16-08-2020,37
17-08-2020,26
18-08-2020,51
19-08-2020,38
20-08-2020,43
21-08-2020,33
22-08-2020,34
23-08-2020,48
24-08-2020,32
25-08-2020,60
26-08-2020,69
27-08-2020,56
28-08-2020,43
29-08-2020,64
30-08-2020,31
31-08-2020,34
01-09-2020,47
02-09-2020,58
11-10-2020,71
12-10-2020,51
16-10-2020,63
17-10-2020,127
18-10-2020,118
19-10-2020,128
22-10-2020,91
23-10-2020,174
24-10-2020,121
25-10-2020,112
26-10-2020,109
27-10-2020,136
28-10-2020,120
29-10-2020,149
30-10-2020,163
31-10-2020,195
01-11-2020,242
02-11-2020,197
03-11-2020,216
04-11-2020,170
05-11-2020,141
06-11-2020,86
07-11-2020,111
08-11-2020,74
09-11-2020,115
10-11-2020,80
11-11-2020,98
12-11-2020,88
13-11-2020,97
14-11-2020,47
15-11-2020,60
16-11-2020,41
17-11-2020,38
18-11-2020,28
19-11-2020,36
20-11-2020,37
21-11-2020,43
22-11-2020,58
23-11-2020,73
24-11-2020,69
25-11-2020,73
26-11-2020,55
27-11-2020,56
28-11-2020,59
29-11-2020,65
30-11-2020,52
01-12-2020,50
11-12-2020,79
12-12-2020,74
13-12-2020,49
14-12-2020,52
15-12-2020,46
16-12-2020,145
17-12-2020,46
18-12-2020,115
19-12-2020,62
20-12-2020,71
21-12-2020,66
22-12-2020,66
23-12-2020,59
24-12-2020,60
25-12-2020,92
26-12-2020,67
27-12-2020,82
29-12-2020,80
30-12-2020,64
31-12-2020,37
01-01-2021,34
03-01-2021,39
04-01-2021,30
05-01-2021,24
06-01-2021,31
07-01-2021,17
08-01-2021,30
09-01-2021,34
10-01-2021,31
11-01-2021,38
12-01-2021,43
13-01-2021,55
14-01-2021,56
15-01-2021,64
21-01-2021,62
23-01-2021,66
24-01-2021,67
26-01-2021,25
27-01-2021,30
28-01-2021,28
29-01-2021,33
30-01-2021,32
31-01-2021,43
01-02-2021,37
02-02-2021,39
03-02-2021,34
04-02-2021,33
05-02-2021,31
06-02-2021,34
07-02-2021,36
09-02-2021,43
10-02-2021,44
11-02-2021,37
12-02-2021,38
13-02-2021,45
14-02-2021,50
15-02-2021,54
16-02-2021,58
17-02-2021,53
18-02-2021,46
19-02-2021,31
21-02-2021,38
23-02-2021,29
24-02-2021,48
25-02-2021,52
26-02-2021,75
27-02-2021,43
28-02-2021,43
01-03-2021,36
02-03-2021,40
03-03-2021,38
04-03-2021,41
05-03-2021,43
06-03-2021,50
07-03-2021,47
08-03-2021,39
10-03-2021,37
11-03-2021,31
12-03-2021,27
15-03-2021,42
16-03-2021,40
17-03-2021,40
18-03-2021,57
19-03-2021,49
20-03-2021,59
21-03-2021,40
22-03-2021,43
23-03-2021,57
28-03-2021,59
29-03-2021,46
30-03-2021,36
01-04-2021,58
02-04-2021,50
03-04-2021,58
04-04-2021,50
05-04-2021,61
06-04-2021,103
07-04-2021,47
08-04-2021,45
09-04-2021,54
10-04-2021,61
11-04-2021,83
12-04-2021,57
13-04-2021,50
14-04-2021,45
15-04-2021,56
16-04-2021,60
17-04-2021,73
18-04-2021,88
19-04-2021,60
20-04-2021,55
21-04-2021,49
22-04-2021,59
23-04-2021,58
24-04-2021,47
25-04-2021,55
26-04-2021,53
27-04-2021,46
28-04-2021,45
29-04-2021,50
30-04-2021,45
01-05-2021,52
02-05-2021,57
03-05-2021,52
04-05-2021,44
05-05-2021,43
06-05-2021,45
07-05-2021,45
08-05-2021,45
09-05-2021,45
12-05-2021,50
21-05-2021,42
22-05-2021,41
23-05-2021,48
24-05-2021,41
25-05-2021,71
26-05-2021,45
05-06-2021,25
06-06-2021,25
07-06-2021,25
08-06-2021,25
09-06-2021,25
10-06-2021,25
11-06-2021,25
12-06-2021,25
13-06-2021,25
14-06-2021,25
15-06-2021,25
16-06-2021,25
17-06-2021,25
18-06-2021,30
19-06-2021,26
20-06-2021,30
21-06-2021,50
22-06-2021,54
23-06-2021,41
24-06-2021,34
25-06-2021,27
26-06-2021,26
27-06-2021,28
28-06-2021,34
29-06-2021,26
30-06-2021,26
01-07-2021,25
02-07-2021,25
03-07-2021,25
04-07-2021,25
05-07-2021,25
06-07-2021,30
07-07-2021,25
08-07-2021,25
09-07-2021,25
10-07-2021,25
11-07-2021,25
12-07-2021,25
13-07-2021,30
14-07-2021,28
15-07-2021,25
16-07-2021,25
17-07-2021,26
18-07-2021,25
19-07-2021,25
20-07-2021,26
21-07-2021,25
22-07-2021,28
23-07-2021,27
24-07-2021,25
25-07-2021,25
28-07-2021,25
29-07-2021,27
30-07-2021,25
31-07-2021,27
01-08-2021,26
02-08-2021,37
03-08-2021,26
04-08-2021,25
05-08-2021,26
06-08-2021,28
07-08-2021,29
08-08-2021,40
09-08-2021,38
10-08-2021,41
11-08-2021,40
12-08-2021,36
13-08-2021,34
14-08-2021,35
15-08-2021,36
16-08-2021,37
17-08-2021,36
18-08-2021,62
19-08-2021,25
20-08-2021,26
21-08-2021,25
22-08-2021,25
24-08-2021,25
25-08-2021,25
26-08-2021,25
27-08-2021,25
28-08-2021,32
29-08-2021,38
30-08-2021,43
31-08-2021,46
01-09-2021,39
02-09-2021,30
03-09-2021,36
04-09-2021,36
05-09-2021,31
06-09-2021,28
07-09-2021,26
08-09-2021,25
09-09-2021,27
10-09-2021,29
13-09-2021,25
14-09-2021,34
15-09-2021,42
16-09-2021,46
17-09-2021,46
18-09-2021,43
19-09-2021,44
20-09-2021,41
21-09-2021,36
22-09-2021,28
23-09-2021,32
24-09-2021,39
25-09-2021,41
26-09-2021,37
27-09-2021,36
28-09-2021,26
29-09-2021,25
30-09-2021,25
01-10-2021,43
02-10-2021,53
03-10-2021,54
04-10-2021,45
05-10-2021,39
06-10-2021,56
07-10-2021,34
08-10-2021,29
09-10-2021,31
10-10-2021,29
12-10-2021,57
13-10-2021,95
14-10-2021,101
15-10-2021,72
16-10-2021,62
17-10-2021,54
18-10-2021,54
19-10-2021,40
20-10-2021,50
21-10-2021,59
22-10-2021,57
23-10-2021,59
24-10-2021,38
25-10-2021,56
26-10-2021,71
27-10-2021,66
28-10-2021,76
29-10-2021,52
30-10-2021,48
31-10-2021,35
01-11-2021,44
02-11-2021,38
03-11-2021,30
04-11-2021,33
05-11-2021,49
06-11-2021,49
07-11-2021,59
08-11-2021,71
09-11-2021,38
10-11-2021,46
11-11-2021,45
12-11-2021,55
15-11-2021,23
16-11-2021,23
17-11-2021,22
18-11-2021,41
19-11-2021,49
20-11-2021,39
21-11-2021,26
22-11-2021,45
23-11-2021,50
24-11-2021,44
25-11-2021,56
26-11-2021,73
27-11-2021,71
28-11-2021,67
29-11-2021,56
30-11-2021,47
01-12-2021,47
02-12-2021,47
03-12-2021,61
04-12-2021,42
05-12-2021,51
06-12-2021,63
07-12-2021,59
08-12-2021,61
09-12-2021,42
