Date,AQI
02-08-2018,278
03-08-2018,290
04-08-2018,284
05-08-2018,261
06-08-2018,166
07-08-2018,410
08-08-2018,54
09-08-2018,52
10-08-2018,92
11-08-2018,120
12-08-2018,73
13-08-2018,101
14-08-2018,95
15-08-2018,139
16-08-2018,78
17-08-2018,73
18-08-2018,65
19-08-2018,64
20-08-2018,150
21-08-2018,63
22-08-2018,71
23-08-2018,51
24-08-2018,67
25-08-2018,82
26-08-2018,76
27-08-2018,60
28-08-2018,63
29-08-2018,57
30-08-2018,63
31-08-2018,128
01-09-2018,85
02-09-2018,85
03-09-2018,62
04-09-2018,67
05-09-2018,86
06-09-2018,113
07-09-2018,61
08-09-2018,57
09-09-2018,46
10-09-2018,67
11-09-2018,79
12-09-2018,79
13-09-2018,84
14-09-2018,95
15-09-2018,114
16-09-2018,111
17-09-2018,136
18-09-2018,146
19-09-2018,156
20-09-2018,174
21-09-2018,140
22-09-2018,54
23-09-2018,53
24-09-2018,57
25-09-2018,54
26-09-2018,56
27-09-2018,128
28-09-2018,170
29-09-2018,179
30-09-2018,193
04-10-2018,231
05-10-2018,258
06-10-2018,192
07-10-2018,167
08-10-2018,268
09-10-2018,245
10-10-2018,242
11-10-2018,209
12-10-2018,106
13-10-2018,293
14-10-2018,231
15-10-2018,272
16-10-2018,313
17-10-2018,324
18-10-2018,298
19-10-2018,270
20-10-2018,336
21-10-2018,279
22-10-2018,278
23-10-2018,289
24-10-2018,322
25-10-2018,325
26-10-2018,335
27-10-2018,362
28-10-2018,398
29-10-2018,377
30-10-2018,401
31-10-2018,370
01-11-2018,385
02-11-2018,353
03-11-2018,344
04-11-2018,136
05-11-2018,449
06-11-2018,348
07-11-2018,304
08-11-2018,389
09-11-2018,406
10-11-2018,371
11-11-2018,440
12-11-2018,434
13-11-2018,435
14-11-2018,324
16-11-2018,280
17-11-2018,316
18-11-2018,343
19-11-2018,389
20-11-2018,398
21-11-2018,371
22-11-2018,335
23-11-2018,343
24-11-2018,211
25-11-2018,312
26-11-2018,348
27-11-2018,376
28-11-2018,363
29-11-2018,359
30-11-2018,348
01-12-2018,290
02-12-2018,340
03-12-2018,371
04-12-2018,377
05-12-2018,341
06-12-2018,367
07-12-2018,340
08-12-2018,326
09-12-2018,361
10-12-2018,400
11-12-2018,410
12-12-2018,389
13-12-2018,170
14-12-2018,235
15-12-2018,233
16-12-2018,317
