Date,AQI
07-01-2019,311
08-01-2019,348
09-01-2019,304
11-01-2019,329
12-01-2019,437
13-01-2019,392
14-01-2019,253
17-01-2019,476
18-01-2019,332
19-01-2019,367
20-01-2019,401
21-01-2019,289
22-01-2019,78
23-01-2019,97
24-01-2019,253
25-01-2019,97
26-01-2019,142
27-01-2019,146
28-01-2019,120
29-01-2019,134
30-01-2019,192
31-01-2019,289
01-02-2019,190
02-02-2019,194
03-02-2019,184
04-02-2019,191
05-02-2019,297
06-02-2019,254
07-02-2019,100
08-02-2019,89
09-02-2019,94
10-02-2019,178
11-02-2019,225
12-02-2019,247
13-02-2019,287
14-02-2019,272
15-02-2019,154
16-02-2019,135
17-02-2019,88
18-02-2019,184
19-02-2019,99
20-02-2019,230
21-02-2019,99
22-02-2019,92
23-02-2019,57
24-02-2019,105
26-02-2019,90
27-02-2019,83
28-02-2019,132
01-03-2019,143
02-03-2019,199
03-03-2019,88
04-03-2019,158
05-03-2019,63
06-03-2019,111
07-03-2019,163
08-03-2019,134
09-03-2019,117
10-03-2019,86
11-03-2019,146
12-03-2019,95
13-03-2019,118
14-03-2019,227
15-03-2019,94
16-03-2019,89
17-03-2019,145
18-03-2019,155
19-03-2019,179
20-03-2019,149
21-03-2019,168
22-03-2019,70
23-03-2019,77
24-03-2019,85
25-03-2019,81
26-03-2019,91
27-03-2019,120
28-03-2019,187
29-03-2019,181
30-03-2019,180
31-03-2019,118
01-04-2019,105
02-04-2019,120
03-04-2019,144
04-04-2019,201
05-04-2019,227
06-04-2019,201
07-04-2019,232
08-04-2019,218
09-04-2019,185
10-04-2019,215
11-04-2019,119
12-04-2019,133
13-04-2019,114
14-04-2019,92
15-04-2019,116
16-04-2019,123
17-04-2019,53
18-04-2019,48
19-04-2019,88
20-04-2019,128
21-04-2019,169
22-04-2019,188
23-04-2019,164
24-04-2019,169
25-04-2019,172
26-04-2019,161
27-04-2019,157
28-04-2019,170
29-04-2019,169
30-04-2019,204
01-05-2019,175
02-05-2019,168
04-05-2019,184
05-05-2019,240
07-05-2019,305
08-05-2019,304
09-05-2019,265
10-05-2019,212
12-05-2019,261
13-05-2019,289
14-05-2019,95
15-05-2019,160
16-05-2019,137
17-05-2019,192
18-05-2019,58
19-05-2019,96
20-05-2019,146
21-05-2019,117
22-05-2019,116
23-05-2019,158
24-05-2019,82
25-05-2019,75
26-05-2019,85
27-05-2019,102
28-05-2019,104
29-05-2019,112
30-05-2019,136
31-05-2019,198
01-06-2019,157
02-06-2019,270
03-06-2019,248
04-06-2019,244
05-06-2019,138
06-06-2019,132
07-06-2019,113
08-06-2019,119
09-06-2019,142
10-06-2019,150
11-06-2019,260
12-06-2019,174
13-06-2019,130
14-06-2019,107
15-06-2019,149
16-06-2019,109
17-06-2019,80
18-06-2019,50
19-06-2019,104
20-06-2019,83
21-06-2019,125
22-06-2019,101
23-06-2019,86
24-06-2019,73
25-06-2019,84
26-06-2019,87
27-06-2019,109
28-06-2019,157
29-06-2019,156
30-06-2019,171
01-07-2019,119
02-07-2019,136
03-07-2019,101
04-07-2019,63
06-07-2019,82
07-07-2019,59
08-07-2019,73
09-07-2019,63
10-07-2019,98
11-07-2019,219
12-07-2019,217
13-07-2019,149
14-07-2019,164
15-07-2019,122
16-07-2019,81
17-07-2019,80
18-07-2019,33
19-07-2019,82
20-07-2019,80
21-07-2019,72
22-07-2019,76
23-07-2019,103
24-07-2019,97
25-07-2019,33
26-07-2019,32
27-07-2019,31
28-07-2019,34
