Date,AQI
24-10-2023,38
25-10-2023,68
26-10-2023,103
28-10-2023,146
29-10-2023,151
30-10-2023,131
31-10-2023,179
02-11-2023,141
03-11-2023,108
04-11-2023,60
05-11-2023,73
06-11-2023,174
07-11-2023,182
08-11-2023,155
09-11-2023,183
10-11-2023,201
11-11-2023,226
12-11-2023,292
13-11-2023,357
14-11-2023,232
15-11-2023,175
16-11-2023,116
17-11-2023,81
18-11-2023,93
19-11-2023,98
20-11-2023,116
21-11-2023,150
22-11-2023,209
23-11-2023,317
24-11-2023,307
25-11-2023,297
26-11-2023,257
27-11-2023,189
28-11-2023,169
29-11-2023,183
30-11-2023,214
01-12-2023,184
02-12-2023,223
03-12-2023,293
05-12-2023,188
06-12-2023,77
07-12-2023,85
08-12-2023,65
09-12-2023,88
10-12-2023,89
11-12-2023,144
12-12-2023,159
13-12-2023,180
14-12-2023,188
15-12-2023,222
16-12-2023,233
17-12-2023,239
18-12-2023,236
19-12-2023,278
20-12-2023,261
21-12-2023,222
22-12-2023,218
23-12-2023,256
24-12-2023,231
25-12-2023,176
26-12-2023,222
27-12-2023,263
28-12-2023,314
29-12-2023,326
30-12-2023,293
31-12-2023,304
