Date,AQI
29-01-2019,217
30-01-2019,255
31-01-2019,172
01-02-2019,116
02-02-2019,211
03-02-2019,231
05-02-2019,293
07-02-2019,72
08-02-2019,113
10-02-2019,244
11-02-2019,225
12-02-2019,267
13-02-2019,300
14-02-2019,212
15-02-2019,108
16-02-2019,126
17-02-2019,122
18-02-2019,140
19-02-2019,88
20-02-2019,126
21-02-2019,78
22-02-2019,136
23-02-2019,133
24-02-2019,289
25-02-2019,253
26-02-2019,115
27-02-2019,86
28-02-2019,236
01-03-2019,250
02-03-2019,228
03-03-2019,86
04-03-2019,183
05-03-2019,173
06-03-2019,328
07-03-2019,315
08-03-2019,299
09-03-2019,188
10-03-2019,256
11-03-2019,168
12-03-2019,160
13-03-2019,228
14-03-2019,376
19-03-2019,273
20-03-2019,196
21-03-2019,149
22-03-2019,161
24-03-2019,210
25-03-2019,162
26-03-2019,212
27-03-2019,277
28-03-2019,272
29-03-2019,296
30-03-2019,284
31-03-2019,217
01-04-2019,210
02-04-2019,224
03-04-2019,241
04-04-2019,227
05-04-2019,293
06-04-2019,287
07-04-2019,348
08-04-2019,291
09-04-2019,194
10-04-2019,260
11-04-2019,250
12-04-2019,268
13-04-2019,258
14-04-2019,172
15-04-2019,222
16-04-2019,271
18-04-2019,73
19-04-2019,236
20-04-2019,243
21-04-2019,243
22-04-2019,282
23-04-2019,329
25-04-2019,266
26-04-2019,221
27-04-2019,334
28-04-2019,352
29-04-2019,282
30-04-2019,293
01-05-2019,328
02-05-2019,260
04-05-2019,240
05-05-2019,295
06-05-2019,302
07-05-2019,414
08-05-2019,426
09-05-2019,417
10-05-2019,317
11-05-2019,327
12-05-2019,371
13-05-2019,308
14-05-2019,185
16-05-2019,196
17-05-2019,252
18-05-2019,99
19-05-2019,157
20-05-2019,227
21-05-2019,260
23-05-2019,251
24-05-2019,200
25-05-2019,159
26-05-2019,171
27-05-2019,192
28-05-2019,202
29-05-2019,257
30-05-2019,301
31-05-2019,338
01-06-2019,260
02-06-2019,202
03-06-2019,259
04-06-2019,159
05-06-2019,165
06-06-2019,244
07-06-2019,196
08-06-2019,210
09-06-2019,293
10-06-2019,280
12-06-2019,285
13-06-2019,204
14-06-2019,184
15-06-2019,322
16-06-2019,257
17-06-2019,144
18-06-2019,140
19-06-2019,212
20-06-2019,142
21-06-2019,214
22-06-2019,254
23-06-2019,124
24-06-2019,92
25-06-2019,95
26-06-2019,253
27-06-2019,302
28-06-2019,296
29-06-2019,311
30-06-2019,319
01-07-2019,430
02-07-2019,254
03-07-2019,202
04-07-2019,193
05-07-2019,273
06-07-2019,223
07-07-2019,116
08-07-2019,251
09-07-2019,233
10-07-2019,279
11-07-2019,392
13-07-2019,353
14-07-2019,279
15-07-2019,196
17-07-2019,122
18-07-2019,165
19-07-2019,109
20-07-2019,106
21-07-2019,103
22-07-2019,105
23-07-2019,108
24-07-2019,126
25-07-2019,99
26-07-2019,94
27-07-2019,124
28-07-2019,56
29-07-2019,49
30-07-2019,57
31-07-2019,62
01-08-2019,63
02-08-2019,65
03-08-2019,74
04-08-2019,70
05-08-2019,74
06-08-2019,82
07-08-2019,82
08-08-2019,63
09-08-2019,55
10-08-2019,48
11-08-2019,57
12-08-2019,61
13-08-2019,96
14-08-2019,62
15-08-2019,132
16-08-2019,44
17-08-2019,46
18-08-2019,51
19-08-2019,76
20-08-2019,99
21-08-2019,152
22-08-2019,146
23-08-2019,106
24-08-2019,140
25-08-2019,67
26-08-2019,57
27-08-2019,73
28-08-2019,84
29-08-2019,88
30-08-2019,103
31-08-2019,95
01-09-2019,90
02-09-2019,87
04-09-2019,109
05-09-2019,152
06-09-2019,182
07-09-2019,111
09-09-2019,85
10-09-2019,128
11-09-2019,106
12-09-2019,91
13-09-2019,57
14-09-2019,57
15-09-2019,42
16-09-2019,69
17-09-2019,115
18-09-2019,119
19-09-2019,124
20-09-2019,60
21-09-2019,74
22-09-2019,67
23-09-2019,56
24-09-2019,59
25-09-2019,51
26-09-2019,45
27-09-2019,51
28-09-2019,49
29-09-2019,41
30-09-2019,35
01-10-2019,58
02-10-2019,44
03-10-2019,103
04-10-2019,119
05-10-2019,143
06-10-2019,140
07-10-2019,145
08-10-2019,147
09-10-2019,129
11-10-2019,181
12-10-2019,168
13-10-2019,189
14-10-2019,182
15-10-2019,182
16-10-2019,143
17-10-2019,124
18-10-2019,250
19-10-2019,198
20-10-2019,271
21-10-2019,223
22-10-2019,219
23-10-2019,340
24-10-2019,305
25-10-2019,194
26-10-2019,214
27-10-2019,219
28-10-2019,240
29-10-2019,309
30-10-2019,467
31-10-2019,414
01-11-2019,438
02-11-2019,395
03-11-2019,416
04-11-2019,366
05-11-2019,314
06-11-2019,287
07-11-2019,170
08-11-2019,214
09-11-2019,176
10-11-2019,184
11-11-2019,231
12-11-2019,316
13-11-2019,327
14-11-2019,332
15-11-2019,369
16-11-2019,319
17-11-2019,198
18-11-2019,169
19-11-2019,228
20-11-2019,205
21-11-2019,218
22-11-2019,317
23-11-2019,281
24-11-2019,231
25-11-2019,166
26-11-2019,228
27-11-2019,133
28-11-2019,140
29-11-2019,103
30-11-2019,179
01-12-2019,196
02-12-2019,194
03-12-2019,247
04-12-2019,302
05-12-2019,372
06-12-2019,396
07-12-2019,331
08-12-2019,371
09-12-2019,376
10-12-2019,356
11-12-2019,349
12-12-2019,294
14-12-2019,130
15-12-2019,252
16-12-2019,218
17-12-2019,173
18-12-2019,268
19-12-2019,302
20-12-2019,400
21-12-2019,443
22-12-2019,291
23-12-2019,207
24-12-2019,338
25-12-2019,403
26-12-2019,340
27-12-2019,351
28-12-2019,387
29-12-2019,399
30-12-2019,407
31-12-2019,246
01-01-2020,397
02-01-2020,384
03-01-2020,306
04-01-2020,330
06-01-2020,349
07-01-2020,208
08-01-2020,311
09-01-2020,229
10-01-2020,261
11-01-2020,321
12-01-2020,421
13-01-2020,364
14-01-2020,269
15-01-2020,241
16-01-2020,271
17-01-2020,175
18-01-2020,287
22-01-2020,354
23-01-2020,324
24-01-2020,249
25-01-2020,330
26-01-2020,273
27-01-2020,268
28-01-2020,112
29-01-2020,136
30-01-2020,292
31-01-2020,288
01-02-2020,236
02-02-2020,235
03-02-2020,273
04-02-2020,257
05-02-2020,327
06-02-2020,200
07-02-2020,252
08-02-2020,295
09-02-2020,271
10-02-2020,259
11-02-2020,396
12-02-2020,362
13-02-2020,250
14-02-2020,234
15-02-2020,193
16-02-2020,270
17-02-2020,288
18-02-2020,223
20-02-2020,150
25-02-2020,135
26-02-2020,153
27-02-2020,97
28-02-2020,90
29-02-2020,79
02-03-2020,210
03-03-2020,255
04-03-2020,126
07-03-2020,33
08-03-2020,83
09-03-2020,140
10-03-2020,121
11-03-2020,72
12-03-2020,86
13-03-2020,138
14-03-2020,64
15-03-2020,90
16-03-2020,107
17-03-2020,146
18-03-2020,149
19-03-2020,149
20-03-2020,93
21-03-2020,56
22-03-2020,47
24-03-2020,58
25-03-2020,51
02-04-2020,78
03-04-2020,82
04-04-2020,71
05-04-2020,70
06-04-2020,75
07-04-2020,63
08-04-2020,61
09-04-2020,59
10-04-2020,65
11-04-2020,79
12-04-2020,67
13-04-2020,81
14-04-2020,93
16-04-2020,170
17-04-2020,74
18-04-2020,65
19-04-2020,69
20-04-2020,75
21-04-2020,74
22-04-2020,80
23-04-2020,90
25-04-2020,83
27-04-2020,66
28-04-2020,67
30-04-2020,125
01-05-2020,193
02-05-2020,123
03-05-2020,94
04-05-2020,75
05-05-2020,79
06-05-2020,76
07-05-2020,78
08-05-2020,76
09-05-2020,85
10-05-2020,90
11-05-2020,80
12-05-2020,80
13-05-2020,84
14-05-2020,80
15-05-2020,87
16-05-2020,135
18-05-2020,110
19-05-2020,117
20-05-2020,101
21-05-2020,98
22-05-2020,104
23-05-2020,123
24-05-2020,123
25-05-2020,85
26-05-2020,90
27-05-2020,100
28-05-2020,127
29-05-2020,78
30-05-2020,65
31-05-2020,61
01-06-2020,64
02-06-2020,90
03-06-2020,88
04-06-2020,110
05-06-2020,79
06-06-2020,73
07-06-2020,103
08-06-2020,89
09-06-2020,120
10-06-2020,131
11-06-2020,103
12-06-2020,110
13-06-2020,113
14-06-2020,111
15-06-2020,97
16-06-2020,151
17-06-2020,117
18-06-2020,110
19-06-2020,122
20-06-2020,112
21-06-2020,112
22-06-2020,172
23-06-2020,123
24-06-2020,154
25-06-2020,126
26-06-2020,240
27-06-2020,217
28-06-2020,271
29-06-2020,265
30-06-2020,197
01-07-2020,123
02-07-2020,180
03-07-2020,227
04-07-2020,156
05-07-2020,91
06-07-2020,114
07-07-2020,85
09-07-2020,161
10-07-2020,167
11-07-2020,159
12-07-2020,154
13-07-2020,130
14-07-2020,164
15-07-2020,156
16-07-2020,124
17-07-2020,174
18-07-2020,135
19-07-2020,128
20-07-2020,129
22-07-2020,116
23-07-2020,146
24-07-2020,145
25-07-2020,122
26-07-2020,124
27-07-2020,147
28-07-2020,150
29-07-2020,153
30-07-2020,143
31-07-2020,131
01-08-2020,126
02-08-2020,152
03-08-2020,140
04-08-2020,128
05-08-2020,131
06-08-2020,126
07-08-2020,112
08-08-2020,126
09-08-2020,132
10-08-2020,131
11-08-2020,165
12-08-2020,178
13-08-2020,128
14-08-2020,124
15-08-2020,170
16-08-2020,172
17-08-2020,154
18-08-2020,150
19-08-2020,140
20-08-2020,65
21-08-2020,84
22-08-2020,63
23-08-2020,71
24-08-2020,80
25-08-2020,54
27-08-2020,91
28-08-2020,62
31-08-2020,81
01-09-2020,69
02-09-2020,65
03-09-2020,60
04-09-2020,58
06-09-2020,97
07-09-2020,83
08-09-2020,69
09-09-2020,155
10-09-2020,213
11-09-2020,236
12-09-2020,163
13-09-2020,205
14-09-2020,128
15-09-2020,116
16-09-2020,171
17-09-2020,127
18-09-2020,135
