Date,AQI
15-03-2023,115
16-03-2023,111
17-03-2023,110
18-03-2023,104
19-03-2023,91
22-03-2023,98
23-03-2023,114
24-03-2023,94
28-03-2023,175
29-03-2023,170
30-03-2023,158
31-03-2023,103
01-04-2023,117
02-04-2023,120
03-04-2023,124
04-04-2023,133
05-04-2023,142
06-04-2023,156
07-04-2023,154
08-04-2023,128
09-04-2023,123
10-04-2023,155
11-04-2023,166
12-04-2023,149
13-04-2023,128
14-04-2023,206
15-04-2023,151
16-04-2023,119
17-04-2023,117
18-04-2023,132
19-04-2023,129
20-04-2023,141
21-04-2023,127
22-04-2023,127
23-04-2023,101
24-04-2023,120
25-04-2023,192
26-04-2023,197
27-04-2023,124
29-04-2023,65
30-04-2023,88
01-05-2023,82
02-05-2023,82
03-05-2023,88
04-05-2023,115
05-05-2023,166
06-05-2023,91
07-05-2023,81
08-05-2023,110
09-05-2023,106
10-05-2023,116
11-05-2023,182
12-05-2023,128
13-05-2023,116
14-05-2023,102
15-05-2023,106
16-05-2023,102
17-05-2023,116
18-05-2023,98
19-05-2023,103
20-05-2023,113
21-05-2023,112
22-05-2023,100
23-05-2023,104
24-05-2023,106
26-05-2023,117
27-05-2023,97
28-05-2023,97
29-05-2023,103
30-05-2023,108
03-06-2023,179
04-06-2023,80
05-06-2023,96
06-06-2023,120
07-06-2023,103
08-06-2023,88
09-06-2023,98
10-06-2023,74
11-06-2023,65
12-06-2023,80
13-06-2023,108
14-06-2023,164
15-06-2023,117
16-06-2023,155
17-06-2023,121
18-06-2023,153
20-06-2023,307
21-06-2023,138
22-06-2023,107
23-06-2023,121
24-06-2023,96
25-06-2023,76
26-06-2023,155
27-06-2023,58
29-06-2023,93
30-06-2023,55
01-07-2023,48
02-07-2023,44
03-07-2023,66
04-07-2023,93
05-07-2023,87
06-07-2023,70
07-07-2023,57
08-07-2023,57
09-07-2023,51
10-07-2023,47
11-07-2023,61
12-07-2023,173
13-07-2023,141
14-07-2023,111
15-07-2023,98
16-07-2023,82
17-07-2023,91
18-07-2023,100
19-07-2023,75
20-07-2023,76
21-07-2023,88
22-07-2023,165
23-07-2023,27
24-07-2023,34
25-07-2023,33
26-07-2023,56
27-07-2023,75
28-07-2023,54
29-07-2023,71
30-07-2023,36
31-07-2023,43
01-08-2023,55
02-08-2023,56
03-08-2023,75
04-08-2023,91
05-08-2023,75
06-08-2023,82
07-08-2023,89
08-08-2023,166
09-08-2023,98
10-08-2023,78
11-08-2023,72
12-08-2023,80
13-08-2023,47
14-08-2023,89
15-08-2023,103
16-08-2023,92
17-08-2023,102
18-08-2023,128
19-08-2023,138
20-08-2023,88
21-08-2023,50
22-08-2023,88
23-08-2023,90
24-08-2023,59
25-08-2023,65
26-08-2023,92
27-08-2023,101
28-08-2023,125
29-08-2023,97
30-08-2023,106
31-08-2023,105
01-09-2023,117
02-09-2023,119
03-09-2023,112
04-09-2023,111
05-09-2023,99
06-09-2023,87
07-09-2023,58
08-09-2023,55
09-09-2023,54
10-09-2023,67
11-09-2023,81
12-09-2023,82
13-09-2023,71
14-09-2023,78
15-09-2023,59
16-09-2023,67
18-09-2023,42
19-09-2023,60
20-09-2023,60
21-09-2023,68
22-09-2023,79
23-09-2023,94
24-09-2023,70
25-09-2023,87
26-09-2023,153
27-09-2023,62
28-09-2023,70
29-09-2023,79
30-09-2023,188
01-10-2023,171
02-10-2023,124
03-10-2023,139
04-10-2023,93
05-10-2023,79
06-10-2023,78
07-10-2023,120
08-10-2023,140
09-10-2023,153
10-10-2023,142
11-10-2023,91
12-10-2023,96
13-10-2023,83
14-10-2023,85
15-10-2023,105
16-10-2023,109
17-10-2023,99
18-10-2023,116
20-10-2023,109
21-10-2023,99
22-10-2023,103
23-10-2023,99
24-10-2023,92
25-10-2023,86
26-10-2023,94
27-10-2023,77
28-10-2023,84
29-10-2023,96
30-10-2023,98
31-10-2023,150
01-11-2023,99
02-11-2023,97
03-11-2023,115
04-11-2023,111
05-11-2023,135
06-11-2023,137
07-11-2023,180
08-11-2023,173
09-11-2023,175
10-11-2023,208
11-11-2023,204
12-11-2023,90
13-11-2023,142
14-11-2023,124
15-11-2023,155
16-11-2023,171
17-11-2023,187
18-11-2023,225
19-11-2023,233
21-11-2023,256
22-11-2023,237
23-11-2023,114
24-11-2023,135
25-11-2023,134
26-11-2023,131
27-11-2023,65
28-11-2023,116
29-11-2023,92
30-11-2023,184
01-12-2023,209
02-12-2023,124
03-12-2023,182
04-12-2023,246
05-12-2023,138
06-12-2023,194
07-12-2023,267
08-12-2023,262
09-12-2023,121
10-12-2023,121
11-12-2023,110
12-12-2023,93
13-12-2023,109
14-12-2023,95
15-12-2023,100
16-12-2023,135
17-12-2023,141
18-12-2023,102
19-12-2023,102
20-12-2023,94
21-12-2023,87
22-12-2023,102
23-12-2023,122
24-12-2023,212
25-12-2023,294
26-12-2023,326
27-12-2023,298
30-12-2023,199
31-12-2023,278
