Date,AQI
20-06-2023,89
21-06-2023,85
22-06-2023,80
23-06-2023,99
24-06-2023,107
25-06-2023,82
27-06-2023,77
28-06-2023,77
29-06-2023,90
30-06-2023,85
01-07-2023,60
02-07-2023,56
03-07-2023,62
04-07-2023,87
05-07-2023,103
07-07-2023,66
08-07-2023,54
09-07-2023,58
10-07-2023,70
11-07-2023,119
12-07-2023,159
13-07-2023,128
14-07-2023,117
15-07-2023,160
16-07-2023,173
17-07-2023,129
18-07-2023,202
19-07-2023,257
20-07-2023,233
21-07-2023,146
22-07-2023,90
23-07-2023,42
24-07-2023,71
25-07-2023,64
26-07-2023,94
27-07-2023,81
28-07-2023,37
29-07-2023,69
30-07-2023,49
31-07-2023,72
01-08-2023,136
02-08-2023,104
03-08-2023,86
04-08-2023,109
05-08-2023,107
06-08-2023,102
07-08-2023,91
08-08-2023,96
09-08-2023,94
10-08-2023,97
11-08-2023,91
12-08-2023,95
13-08-2023,91
14-08-2023,85
15-08-2023,113
16-08-2023,118
17-08-2023,86
18-08-2023,161
19-08-2023,152
20-08-2023,111
21-08-2023,66
22-08-2023,66
23-08-2023,144
24-08-2023,79
25-08-2023,86
26-08-2023,149
27-08-2023,117
29-08-2023,110
30-08-2023,106
31-08-2023,113
01-09-2023,102
02-09-2023,120
03-09-2023,106
04-09-2023,84
05-09-2023,97
06-09-2023,51
07-09-2023,44
09-09-2023,77
10-09-2023,51
11-09-2023,77
13-09-2023,56
14-09-2023,68
15-09-2023,70
16-09-2023,63
17-09-2023,36
18-09-2023,41
19-09-2023,35
20-09-2023,59
21-09-2023,64
22-09-2023,68
23-09-2023,52
24-09-2023,62
25-09-2023,68
26-09-2023,78
27-09-2023,80
28-09-2023,93
29-09-2023,105
30-09-2023,185
01-10-2023,188
02-10-2023,166
03-10-2023,202
04-10-2023,185
05-10-2023,141
06-10-2023,117
07-10-2023,100
08-10-2023,185
09-10-2023,113
10-10-2023,113
11-10-2023,94
12-10-2023,98
13-10-2023,137
14-10-2023,133
15-10-2023,119
16-10-2023,110
17-10-2023,120
18-10-2023,94
19-10-2023,98
21-10-2023,134
22-10-2023,137
23-10-2023,159
24-10-2023,162
25-10-2023,133
26-10-2023,135
27-10-2023,128
28-10-2023,131
30-10-2023,171
31-10-2023,172
01-11-2023,165
02-11-2023,200
03-11-2023,208
04-11-2023,130
05-11-2023,160
06-11-2023,160
07-11-2023,152
08-11-2023,150
09-11-2023,178
10-11-2023,161
11-11-2023,223
12-11-2023,159
13-11-2023,193
14-11-2023,154
15-11-2023,158
16-11-2023,232
17-11-2023,225
18-11-2023,219
19-11-2023,256
20-11-2023,257
21-11-2023,296
22-11-2023,267
23-11-2023,177
24-11-2023,193
25-11-2023,203
26-11-2023,191
27-11-2023,151
28-11-2023,70
29-11-2023,187
30-11-2023,199
01-12-2023,165
02-12-2023,182
03-12-2023,266
04-12-2023,152
05-12-2023,61
06-12-2023,145
07-12-2023,198
08-12-2023,198
09-12-2023,179
10-12-2023,134
11-12-2023,120
12-12-2023,131
13-12-2023,133
14-12-2023,103
15-12-2023,103
16-12-2023,96
17-12-2023,148
18-12-2023,102
19-12-2023,89
20-12-2023,107
21-12-2023,122
22-12-2023,112
23-12-2023,224
24-12-2023,322
25-12-2023,289
26-12-2023,254
27-12-2023,240
28-12-2023,133
29-12-2023,221
30-12-2023,185
31-12-2023,166
