Date,AQI
03-11-2023,122
04-11-2023,89
05-11-2023,93
06-11-2023,140
07-11-2023,139
08-11-2023,143
09-11-2023,167
10-11-2023,195
11-11-2023,153
12-11-2023,150
13-11-2023,285
14-11-2023,214
15-11-2023,164
16-11-2023,184
17-11-2023,118
18-11-2023,96
19-11-2023,109
20-11-2023,164
21-11-2023,138
22-11-2023,129
23-11-2023,177
24-11-2023,203
25-11-2023,213
26-11-2023,223
27-11-2023,175
28-11-2023,164
29-11-2023,159
30-11-2023,149
01-12-2023,225
02-12-2023,261
03-12-2023,225
05-12-2023,125
06-12-2023,47
07-12-2023,54
08-12-2023,56
09-12-2023,111
10-12-2023,97
11-12-2023,95
12-12-2023,125
13-12-2023,141
15-12-2023,123
16-12-2023,127
17-12-2023,161
18-12-2023,172
19-12-2023,182
20-12-2023,158
21-12-2023,186
22-12-2023,173
23-12-2023,207
24-12-2023,192
25-12-2023,139
26-12-2023,170
27-12-2023,190
28-12-2023,240
29-12-2023,255
30-12-2023,247
31-12-2023,286
