Date,AQI
03-06-2022,208
04-06-2022,153
05-06-2022,158
06-06-2022,180
07-06-2022,181
08-06-2022,242
09-06-2022,185
10-06-2022,100
11-06-2022,96
12-06-2022,74
13-06-2022,120
15-06-2022,146
17-06-2022,118
18-06-2022,104
19-06-2022,90
20-06-2022,149
21-06-2022,113
22-06-2022,103
23-06-2022,165
25-06-2022,160
26-06-2022,89
27-06-2022,92
28-06-2022,91
29-06-2022,94
01-07-2022,29
02-07-2022,73
03-07-2022,50
04-07-2022,106
05-07-2022,65
06-07-2022,59
08-07-2022,69
09-07-2022,40
10-07-2022,33
11-07-2022,57
12-07-2022,63
14-07-2022,63
15-07-2022,51
16-07-2022,45
17-07-2022,44
18-07-2022,54
19-07-2022,55
20-07-2022,44
22-07-2022,33
23-07-2022,34
24-07-2022,20
25-07-2022,24
26-07-2022,30
27-07-2022,37
28-07-2022,42
29-07-2022,45
30-07-2022,40
31-07-2022,31
01-08-2022,61
02-08-2022,64
03-08-2022,39
04-08-2022,28
05-08-2022,32
06-08-2022,50
07-08-2022,36
08-08-2022,43
09-08-2022,44
10-08-2022,42
11-08-2022,40
12-08-2022,45
13-08-2022,50
14-08-2022,59
15-08-2022,31
16-08-2022,54
17-08-2022,50
18-08-2022,48
19-08-2022,56
20-08-2022,36
21-08-2022,54
22-08-2022,54
23-08-2022,64
25-08-2022,48
26-08-2022,84
27-08-2022,103
28-08-2022,105
29-08-2022,92
30-08-2022,86
31-08-2022,108
01-09-2022,126
02-09-2022,74
03-09-2022,84
04-09-2022,92
05-09-2022,84
06-09-2022,98
07-09-2022,124
08-09-2022,110
09-09-2022,77
10-09-2022,64
11-09-2022,50
12-09-2022,54
13-09-2022,55
14-09-2022,51
15-09-2022,35
16-09-2022,34
18-09-2022,50
19-09-2022,55
20-09-2022,66
21-09-2022,66
22-09-2022,66
23-09-2022,64
24-09-2022,52
25-09-2022,54
26-09-2022,46
27-09-2022,86
28-09-2022,104
29-09-2022,128
30-09-2022,176
01-10-2022,162
02-10-2022,194
03-10-2022,142
04-10-2022,116
05-10-2022,44
06-10-2022,29
07-10-2022,34
08-10-2022,32
09-10-2022,18
10-10-2022,22
11-10-2022,33
12-10-2022,54
13-10-2022,85
14-10-2022,122
15-10-2022,158
16-10-2022,125
17-10-2022,162
18-10-2022,182
19-10-2022,152
20-10-2022,186
21-10-2022,118
22-10-2022,166
23-10-2022,194
24-10-2022,186
25-10-2022,266
26-10-2022,238
27-10-2022,155
28-10-2022,116
29-10-2022,222
30-10-2022,142
31-10-2022,158
01-11-2022,164
02-11-2022,128
03-11-2022,219
04-11-2022,112
05-11-2022,102
06-11-2022,140
07-11-2022,178
08-11-2022,113
09-11-2022,184
10-11-2022,199
11-11-2022,190
12-11-2022,88
13-11-2022,88
14-11-2022,104
15-11-2022,104
16-11-2022,96
17-11-2022,84
18-11-2022,119
19-11-2022,152
20-11-2022,165
21-11-2022,132
22-11-2022,170
23-11-2022,124
24-11-2022,133
25-11-2022,196
26-11-2022,132
27-11-2022,143
28-11-2022,162
29-11-2022,140
30-11-2022,152
01-12-2022,165
02-12-2022,174
03-12-2022,181
04-12-2022,186
05-12-2022,208
