Date,AQI
27-11-2022,143
28-11-2022,199
29-11-2022,218
30-11-2022,175
01-12-2022,154
02-12-2022,241
03-12-2022,288
04-12-2022,302
05-12-2022,306
06-12-2022,274
07-12-2022,275
08-12-2022,228
09-12-2022,186
10-12-2022,262
11-12-2022,257
12-12-2022,259
13-12-2022,199
14-12-2022,143
15-12-2022,155
16-12-2022,158
17-12-2022,174
18-12-2022,193
19-12-2022,226
20-12-2022,206
21-12-2022,252
22-12-2022,295
23-12-2022,180
24-12-2022,179
25-12-2022,197
26-12-2022,108
27-12-2022,129
28-12-2022,253
30-12-2022,179
31-12-2022,144
01-01-2023,246
02-01-2023,310
03-01-2023,319
04-01-2023,321
05-01-2023,299
06-01-2023,261
07-01-2023,132
08-01-2023,120
09-01-2023,115
10-01-2023,162
12-01-2023,219
13-01-2023,261
14-01-2023,245
15-01-2023,246
16-01-2023,257
17-01-2023,264
18-01-2023,281
19-01-2023,272
20-01-2023,309
22-01-2023,275
23-01-2023,200
24-01-2023,217
25-01-2023,190
26-01-2023,211
27-01-2023,171
28-01-2023,152
29-01-2023,164
30-01-2023,133
31-01-2023,116
01-02-2023,130
02-02-2023,177
03-02-2023,111
04-02-2023,117
05-02-2023,173
06-02-2023,119
07-02-2023,103
08-02-2023,155
09-02-2023,178
10-02-2023,198
11-02-2023,131
12-02-2023,117
13-02-2023,153
14-02-2023,157
15-02-2023,186
16-02-2023,143
17-02-2023,145
18-02-2023,188
19-02-2023,162
20-02-2023,109
21-02-2023,140
22-02-2023,301
24-02-2023,222
25-02-2023,178
26-02-2023,176
27-02-2023,171
28-02-2023,150
01-03-2023,131
02-03-2023,117
04-03-2023,168
05-03-2023,212
06-03-2023,175
07-03-2023,231
08-03-2023,208
09-03-2023,188
10-03-2023,230
11-03-2023,138
12-03-2023,195
13-03-2023,145
14-03-2023,181
15-03-2023,178
17-03-2023,108
18-03-2023,133
19-03-2023,42
20-03-2023,46
21-03-2023,55
22-03-2023,92
23-03-2023,136
24-03-2023,118
25-03-2023,159
26-03-2023,78
27-03-2023,73
28-03-2023,101
29-03-2023,71
30-03-2023,59
31-03-2023,66
01-04-2023,51
02-04-2023,70
03-04-2023,70
05-04-2023,172
06-04-2023,193
07-04-2023,130
08-04-2023,102
09-04-2023,182
10-04-2023,161
11-04-2023,167
12-04-2023,167
13-04-2023,122
14-04-2023,126
15-04-2023,128
16-04-2023,191
17-04-2023,138
18-04-2023,128
19-04-2023,112
20-04-2023,145
21-04-2023,119
22-04-2023,100
23-04-2023,66
24-04-2023,56
25-04-2023,58
26-04-2023,56
27-04-2023,63
28-04-2023,45
29-04-2023,88
30-04-2023,79
01-05-2023,53
02-05-2023,62
03-05-2023,47
04-05-2023,52
05-05-2023,95
07-05-2023,113
08-05-2023,96
09-05-2023,164
10-05-2023,135
11-05-2023,122
12-05-2023,71
13-05-2023,176
15-05-2023,120
16-05-2023,86
17-05-2023,190
18-05-2023,98
19-05-2023,104
20-05-2023,152
21-05-2023,109
22-05-2023,219
23-05-2023,157
24-05-2023,201
25-05-2023,113
26-05-2023,66
27-05-2023,66
28-05-2023,157
29-05-2023,84
30-05-2023,86
31-05-2023,107
01-06-2023,107
02-06-2023,113
03-06-2023,98
04-06-2023,76
05-06-2023,87
06-06-2023,102
07-06-2023,225
08-06-2023,127
09-06-2023,198
10-06-2023,77
11-06-2023,80
12-06-2023,98
13-06-2023,73
14-06-2023,89
15-06-2023,93
17-06-2023,112
18-06-2023,97
19-06-2023,81
20-06-2023,87
21-06-2023,94
22-06-2023,81
23-06-2023,63
24-06-2023,57
25-06-2023,49
26-06-2023,53
27-06-2023,42
28-06-2023,59
29-06-2023,62
30-06-2023,71
01-07-2023,72
02-07-2023,65
03-07-2023,113
04-07-2023,59
05-07-2023,52
06-07-2023,36
07-07-2023,60
08-07-2023,47
09-07-2023,62
10-07-2023,61
11-07-2023,72
12-07-2023,62
13-07-2023,48
14-07-2023,130
15-07-2023,61
16-07-2023,45
17-07-2023,61
18-07-2023,44
19-07-2023,36
20-07-2023,35
21-07-2023,24
22-07-2023,24
23-07-2023,30
24-07-2023,38
25-07-2023,39
26-07-2023,32
27-07-2023,36
28-07-2023,47
29-07-2023,37
30-07-2023,45
31-07-2023,60
01-08-2023,41
02-08-2023,38
03-08-2023,37
04-08-2023,56
05-08-2023,64
06-08-2023,62
07-08-2023,64
08-08-2023,80
10-08-2023,108
11-08-2023,111
12-08-2023,87
13-08-2023,88
14-08-2023,55
19-08-2023,42
20-08-2023,59
21-08-2023,54
22-08-2023,64
23-08-2023,63
24-08-2023,48
25-08-2023,53
26-08-2023,63
29-08-2023,202
01-09-2023,115
02-09-2023,71
03-09-2023,69
04-09-2023,59
05-09-2023,31
06-09-2023,28
07-09-2023,31
08-09-2023,33
09-09-2023,50
10-09-2023,49
11-09-2023,50
12-09-2023,45
13-09-2023,40
14-09-2023,42
15-09-2023,29
16-09-2023,51
17-09-2023,59
18-09-2023,62
19-09-2023,55
20-09-2023,32
21-09-2023,39
22-09-2023,46
23-09-2023,47
24-09-2023,53
26-09-2023,44
27-09-2023,48
28-09-2023,56
29-09-2023,86
01-10-2023,41
02-10-2023,46
03-10-2023,50
04-10-2023,43
05-10-2023,69
06-10-2023,66
09-10-2023,84
10-10-2023,117
11-10-2023,121
13-10-2023,126
14-10-2023,129
15-10-2023,119
16-10-2023,136
17-10-2023,135
18-10-2023,173
19-10-2023,219
20-10-2023,111
21-10-2023,126
22-10-2023,135
23-10-2023,139
25-10-2023,83
26-10-2023,119
27-10-2023,133
28-10-2023,173
29-10-2023,130
30-10-2023,150
31-10-2023,181
01-11-2023,123
02-11-2023,124
03-11-2023,127
04-11-2023,62
05-11-2023,77
06-11-2023,208
07-11-2023,205
08-11-2023,205
09-11-2023,209
10-11-2023,235
11-11-2023,187
12-11-2023,220
13-11-2023,308
14-11-2023,211
15-11-2023,163
16-11-2023,99
17-11-2023,80
18-11-2023,77
19-11-2023,82
20-11-2023,71
21-11-2023,118
22-11-2023,184
23-11-2023,287
24-11-2023,260
25-11-2023,254
26-11-2023,239
27-11-2023,149
28-11-2023,144
29-11-2023,144
30-11-2023,161
01-12-2023,147
02-12-2023,188
03-12-2023,280
04-12-2023,242
05-12-2023,169
06-12-2023,65
07-12-2023,51
08-12-2023,31
13-12-2023,143
14-12-2023,191
15-12-2023,193
16-12-2023,183
17-12-2023,188
18-12-2023,172
19-12-2023,265
21-12-2023,174
22-12-2023,189
23-12-2023,241
24-12-2023,183
25-12-2023,144
26-12-2023,148
27-12-2023,185
29-12-2023,286
30-12-2023,261
31-12-2023,261
