Date,AQI
13-03-2023,147
14-03-2023,192
15-03-2023,179
16-03-2023,139
17-03-2023,172
18-03-2023,96
19-03-2023,88
20-03-2023,77
21-03-2023,84
22-03-2023,69
23-03-2023,64
24-03-2023,85
25-03-2023,129
26-03-2023,130
27-03-2023,115
28-03-2023,114
29-03-2023,103
30-03-2023,87
31-03-2023,82
01-04-2023,93
02-04-2023,78
03-04-2023,82
04-04-2023,89
05-04-2023,97
06-04-2023,97
07-04-2023,121
08-04-2023,117
09-04-2023,99
10-04-2023,130
11-04-2023,85
12-04-2023,118
13-04-2023,100
14-04-2023,111
15-04-2023,87
16-04-2023,104
17-04-2023,115
18-04-2023,119
19-04-2023,197
20-04-2023,150
21-04-2023,107
22-04-2023,99
23-04-2023,169
24-04-2023,113
25-04-2023,161
26-04-2023,166
27-04-2023,113
28-04-2023,64
29-04-2023,64
30-04-2023,60
01-05-2023,73
02-05-2023,74
03-05-2023,153
04-05-2023,99
05-05-2023,119
06-05-2023,108
07-05-2023,75
08-05-2023,118
09-05-2023,102
10-05-2023,104
11-05-2023,112
12-05-2023,133
13-05-2023,92
14-05-2023,87
15-05-2023,92
16-05-2023,85
17-05-2023,81
18-05-2023,78
19-05-2023,87
20-05-2023,107
21-05-2023,84
22-05-2023,197
23-05-2023,75
24-05-2023,92
25-05-2023,188
26-05-2023,164
27-05-2023,188
28-05-2023,116
29-05-2023,87
30-05-2023,110
31-05-2023,77
01-06-2023,65
02-06-2023,79
03-06-2023,103
04-06-2023,101
06-06-2023,117
08-06-2023,81
09-06-2023,99
10-06-2023,91
11-06-2023,82
12-06-2023,81
13-06-2023,101
14-06-2023,119
15-06-2023,121
16-06-2023,53
17-06-2023,40
18-06-2023,92
19-06-2023,115
20-06-2023,103
21-06-2023,63
22-06-2023,83
23-06-2023,91
24-06-2023,84
25-06-2023,81
26-06-2023,74
27-06-2023,60
28-06-2023,53
30-06-2023,43
01-07-2023,63
02-07-2023,61
03-07-2023,61
04-07-2023,67
05-07-2023,71
06-07-2023,58
07-07-2023,104
08-07-2023,138
09-07-2023,95
10-07-2023,92
11-07-2023,150
12-07-2023,120
13-07-2023,127
14-07-2023,108
15-07-2023,100
16-07-2023,98
17-07-2023,106
18-07-2023,111
19-07-2023,126
20-07-2023,67
21-07-2023,53
22-07-2023,53
23-07-2023,42
24-07-2023,37
25-07-2023,33
26-07-2023,32
27-07-2023,45
28-07-2023,50
29-07-2023,45
30-07-2023,49
31-07-2023,51
01-08-2023,74
02-08-2023,72
03-08-2023,78
04-08-2023,71
05-08-2023,77
06-08-2023,86
07-08-2023,86
08-08-2023,69
10-08-2023,83
11-08-2023,82
12-08-2023,80
13-08-2023,78
14-08-2023,85
15-08-2023,88
16-08-2023,110
17-08-2023,133
18-08-2023,136
19-08-2023,115
20-08-2023,121
21-08-2023,110
23-08-2023,77
24-08-2023,77
25-08-2023,117
26-08-2023,115
27-08-2023,138
28-08-2023,116
29-08-2023,101
30-08-2023,88
31-08-2023,87
01-09-2023,96
02-09-2023,94
03-09-2023,81
04-09-2023,80
05-09-2023,73
06-09-2023,75
07-09-2023,80
09-09-2023,104
10-09-2023,84
11-09-2023,77
12-09-2023,83
13-09-2023,69
14-09-2023,69
15-09-2023,66
16-09-2023,63
17-09-2023,55
18-09-2023,41
21-09-2023,52
22-09-2023,60
24-09-2023,60
25-09-2023,109
26-09-2023,221
27-09-2023,147
29-09-2023,92
30-09-2023,131
01-10-2023,139
02-10-2023,120
03-10-2023,103
04-10-2023,84
05-10-2023,76
06-10-2023,66
07-10-2023,67
08-10-2023,65
09-10-2023,72
10-10-2023,78
11-10-2023,82
12-10-2023,93
13-10-2023,92
14-10-2023,96
18-10-2023,74
19-10-2023,87
20-10-2023,75
21-10-2023,138
22-10-2023,73
23-10-2023,110
24-10-2023,105
25-10-2023,130
26-10-2023,87
27-10-2023,106
28-10-2023,124
29-10-2023,93
30-10-2023,107
31-10-2023,139
01-11-2023,157
02-11-2023,111
03-11-2023,187
04-11-2023,161
05-11-2023,146
06-11-2023,149
07-11-2023,149
08-11-2023,171
09-11-2023,178
10-11-2023,113
11-11-2023,114
12-11-2023,95
13-11-2023,163
14-11-2023,119
15-11-2023,169
16-11-2023,269
17-11-2023,229
18-11-2023,299
19-11-2023,224
20-11-2023,163
21-11-2023,248
22-11-2023,188
23-11-2023,152
24-11-2023,125
25-11-2023,125
26-11-2023,99
27-11-2023,78
28-11-2023,159
29-11-2023,344
30-11-2023,201
01-12-2023,175
02-12-2023,236
03-12-2023,95
04-12-2023,75
05-12-2023,82
06-12-2023,100
07-12-2023,98
08-12-2023,99
09-12-2023,103
10-12-2023,105
11-12-2023,107
12-12-2023,79
13-12-2023,111
14-12-2023,93
15-12-2023,100
16-12-2023,101
17-12-2023,94
18-12-2023,93
19-12-2023,86
20-12-2023,85
21-12-2023,93
22-12-2023,113
23-12-2023,119
24-12-2023,152
25-12-2023,227
26-12-2023,189
27-12-2023,147
28-12-2023,83
29-12-2023,82
30-12-2023,106
31-12-2023,151
