Date,AQI
08-06-2018,155
09-06-2018,198
10-06-2018,205
11-06-2018,234
12-06-2018,144
13-06-2018,101
14-06-2018,104
15-06-2018,221
16-06-2018,405
18-06-2018,168
19-06-2018,105
20-06-2018,147
21-06-2018,199
23-06-2018,107
24-06-2018,113
25-06-2018,109
26-06-2018,105
27-06-2018,105
28-06-2018,95
29-06-2018,75
30-06-2018,78
01-07-2018,130
02-07-2018,128
03-07-2018,88
04-07-2018,55
05-07-2018,151
06-07-2018,62
07-07-2018,66
09-07-2018,77
10-07-2018,73
11-07-2018,78
12-07-2018,91
13-07-2018,90
14-07-2018,81
15-07-2018,93
16-07-2018,91
17-07-2018,74
18-07-2018,68
19-07-2018,75
20-07-2018,73
21-07-2018,66
22-07-2018,66
23-07-2018,72
24-07-2018,82
25-07-2018,81
26-07-2018,77
27-07-2018,74
28-07-2018,166
29-07-2018,68
30-07-2018,68
31-07-2018,71
01-08-2018,83
02-08-2018,68
03-08-2018,67
04-08-2018,68
05-08-2018,68
06-08-2018,72
07-08-2018,84
08-08-2018,84
09-08-2018,80
10-08-2018,59
11-08-2018,59
12-08-2018,60
13-08-2018,60
14-08-2018,62
15-08-2018,68
16-08-2018,67
17-08-2018,82
20-08-2018,85
21-08-2018,72
22-08-2018,68
23-08-2018,67
24-08-2018,68
25-08-2018,68
26-08-2018,62
27-08-2018,75
28-08-2018,78
30-08-2018,84
31-08-2018,87
01-09-2018,93
02-09-2018,144
03-09-2018,66
04-09-2018,72
05-09-2018,95
06-09-2018,98
07-09-2018,111
08-09-2018,76
09-09-2018,80
10-09-2018,76
11-09-2018,81
12-09-2018,78
13-09-2018,100
14-09-2018,77
15-09-2018,76
16-09-2018,80
17-09-2018,115
18-09-2018,97
19-09-2018,91
20-09-2018,88
21-09-2018,96
22-09-2018,98
24-09-2018,97
25-09-2018,98
26-09-2018,97
27-09-2018,97
28-09-2018,97
29-09-2018,87
30-09-2018,85
01-10-2018,85
02-10-2018,85
03-10-2018,90
04-10-2018,101
05-10-2018,87
06-10-2018,86
07-10-2018,85
08-10-2018,86
09-10-2018,86
10-10-2018,87
11-10-2018,107
12-10-2018,108
13-10-2018,108
14-10-2018,102
15-10-2018,100
16-10-2018,94
19-10-2018,114
20-10-2018,113
21-10-2018,113
22-10-2018,113
23-10-2018,113
25-10-2018,114
26-10-2018,113
27-10-2018,113
28-10-2018,113
29-10-2018,115
30-10-2018,265
31-10-2018,97
01-11-2018,201
02-11-2018,253
03-11-2018,113
04-11-2018,79
05-11-2018,143
06-11-2018,125
07-11-2018,125
08-11-2018,192
09-11-2018,140
10-11-2018,123
11-11-2018,127
12-11-2018,207
13-11-2018,99
14-11-2018,126
15-11-2018,257
16-11-2018,174
17-11-2018,78
19-11-2018,130
20-11-2018,94
22-11-2018,154
23-11-2018,114
24-11-2018,105
25-11-2018,145
26-11-2018,97
27-11-2018,157
28-11-2018,93
29-11-2018,109
30-11-2018,102
01-12-2018,119
02-12-2018,105
03-12-2018,115
04-12-2018,125
05-12-2018,101
06-12-2018,122
07-12-2018,89
08-12-2018,134
10-12-2018,120
11-12-2018,97
12-12-2018,88
13-12-2018,69
14-12-2018,84
15-12-2018,108
16-12-2018,95
17-12-2018,100
18-12-2018,91
19-12-2018,121
20-12-2018,93
21-12-2018,121
22-12-2018,101
24-12-2018,110
25-12-2018,114
26-12-2018,122
27-12-2018,113
28-12-2018,92
29-12-2018,105
30-12-2018,141
31-12-2018,102
01-01-2019,96
02-01-2019,135
03-01-2019,107
04-01-2019,94
05-01-2019,132
06-01-2019,80
07-01-2019,63
08-01-2019,84
09-01-2019,84
10-01-2019,108
11-01-2019,118
12-01-2019,115
13-01-2019,74
14-01-2019,58
15-01-2019,77
16-01-2019,106
18-01-2019,79
19-01-2019,105
20-01-2019,108
21-01-2019,72
23-01-2019,65
24-01-2019,60
25-01-2019,71
26-01-2019,84
28-01-2019,90
29-01-2019,89
30-01-2019,112
31-01-2019,113
01-02-2019,67
02-02-2019,88
04-02-2019,90
05-02-2019,110
06-02-2019,127
07-02-2019,82
08-02-2019,85
09-02-2019,71
10-02-2019,91
11-02-2019,144
12-02-2019,104
13-02-2019,106
14-02-2019,146
15-02-2019,68
16-02-2019,86
18-02-2019,103
19-02-2019,66
20-02-2019,100
21-02-2019,67
22-02-2019,87
23-02-2019,78
24-02-2019,91
25-02-2019,120
26-02-2019,107
27-02-2019,84
28-02-2019,124
01-03-2019,101
02-03-2019,116
03-03-2019,88
04-03-2019,79
05-03-2019,79
06-03-2019,109
07-03-2019,189
08-03-2019,68
09-03-2019,92
10-03-2019,88
11-03-2019,120
12-03-2019,78
13-03-2019,117
14-03-2019,131
15-03-2019,84
16-03-2019,95
17-03-2019,90
18-03-2019,107
19-03-2019,136
20-03-2019,93
21-03-2019,68
23-03-2019,110
25-03-2019,122
26-03-2019,119
27-03-2019,99
28-03-2019,114
29-03-2019,95
30-03-2019,129
01-04-2019,87
02-04-2019,137
03-04-2019,90
05-04-2019,129
06-04-2019,120
07-04-2019,107
08-04-2019,190
09-04-2019,118
10-04-2019,107
11-04-2019,90
12-04-2019,106
13-04-2019,186
14-04-2019,59
15-04-2019,165
16-04-2019,123
17-04-2019,93
18-04-2019,82
19-04-2019,78
20-04-2019,137
21-04-2019,152
22-04-2019,144
23-04-2019,76
24-04-2019,136
25-04-2019,93
26-04-2019,89
27-04-2019,102
29-04-2019,118
30-04-2019,137
01-05-2019,83
02-05-2019,128
03-05-2019,86
04-05-2019,100
05-05-2019,108
06-05-2019,108
07-05-2019,89
08-05-2019,117
09-05-2019,184
10-05-2019,82
11-05-2019,96
12-05-2019,154
13-05-2019,88
14-05-2019,73
15-05-2019,79
16-05-2019,75
17-05-2019,100
18-05-2019,47
20-05-2019,138
21-05-2019,103
22-05-2019,97
23-05-2019,163
31-05-2019,111
04-06-2019,121
05-06-2019,92
06-06-2019,70
07-06-2019,78
08-06-2019,94
09-06-2019,104
10-06-2019,125
12-06-2019,29
13-06-2019,89
14-06-2019,74
15-06-2019,120
16-06-2019,61
17-06-2019,57
18-06-2019,98
19-06-2019,54
20-06-2019,101
21-06-2019,74
22-06-2019,98
23-06-2019,124
24-06-2019,96
25-06-2019,65
26-06-2019,45
27-06-2019,155
28-06-2019,93
29-06-2019,109
30-06-2019,125
01-07-2019,118
02-07-2019,91
04-07-2019,107
05-07-2019,155
06-07-2019,77
07-07-2019,75
08-07-2019,115
09-07-2019,73
10-07-2019,109
11-07-2019,258
12-07-2019,97
13-07-2019,74
14-07-2019,67
15-07-2019,62
16-07-2019,72
17-07-2019,95
18-07-2019,68
19-07-2019,77
20-07-2019,56
21-07-2019,65
22-07-2019,84
23-07-2019,78
24-07-2019,60
25-07-2019,66
26-07-2019,70
27-07-2019,60
28-07-2019,97
29-07-2019,62
30-07-2019,89
31-07-2019,86
01-08-2019,79
02-08-2019,54
03-08-2019,30
04-08-2019,29
05-08-2019,29
06-08-2019,30
07-08-2019,31
08-08-2019,57
14-08-2019,30
15-08-2019,30
16-08-2019,30
17-08-2019,30
18-08-2019,31
19-08-2019,30
20-08-2019,30
21-08-2019,30
22-08-2019,30
23-08-2019,30
25-08-2019,30
26-08-2019,30
27-08-2019,30
29-08-2019,30
30-08-2019,29
31-08-2019,29
01-09-2019,31
02-09-2019,35
03-09-2019,29
04-09-2019,101
05-09-2019,99
06-09-2019,92
