Date,AQI
05-04-2022,197
07-04-2022,177
08-04-2022,119
11-04-2022,78
02-05-2022,71
10-05-2022,49
15-05-2022,82
21-05-2022,54
26-05-2022,106
29-05-2022,109
30-05-2022,142
31-05-2022,122
01-06-2022,141
02-06-2022,110
03-06-2022,94
04-06-2022,102
05-06-2022,85
07-06-2022,397
08-06-2022,88
09-06-2022,96
10-06-2022,58
11-06-2022,90
12-06-2022,125
13-06-2022,88
14-06-2022,92
15-06-2022,111
17-06-2022,97
23-06-2022,114
24-06-2022,95
26-06-2022,51
27-06-2022,56
02-07-2022,49
04-07-2022,64
09-07-2022,50
12-07-2022,60
14-07-2022,60
16-07-2022,64
17-07-2022,44
18-07-2022,51
19-07-2022,56
20-07-2022,63
21-07-2022,43
22-07-2022,32
23-07-2022,29
24-07-2022,32
29-07-2022,265
31-07-2022,128
01-08-2022,50
06-08-2022,80
07-08-2022,50
08-08-2022,46
12-08-2022,46
13-08-2022,85
16-08-2022,58
17-08-2022,131
21-08-2022,35
22-08-2022,43
24-08-2022,35
26-08-2022,56
30-08-2022,68
31-08-2022,77
06-09-2022,52
07-09-2022,50
08-09-2022,65
11-09-2022,46
12-09-2022,46
18-09-2022,35
21-09-2022,33
23-09-2022,61
24-09-2022,68
03-10-2022,108
08-10-2022,87
09-10-2022,270
13-10-2022,140
14-10-2022,211
15-10-2022,146
16-10-2022,198
17-10-2022,240
18-10-2022,250
20-10-2022,316
22-10-2022,330
23-10-2022,227
24-10-2022,325
25-10-2022,152
26-10-2022,289
27-10-2022,328
28-10-2022,347
29-10-2022,382
30-10-2022,369
02-11-2022,186
03-11-2022,166
04-11-2022,315
05-11-2022,318
06-11-2022,296
07-11-2022,339
08-11-2022,355
09-11-2022,380
10-11-2022,385
11-11-2022,381
12-11-2022,370
16-11-2022,400
17-11-2022,363
18-11-2022,329
20-11-2022,399
21-11-2022,377
22-11-2022,395
23-11-2022,373
24-11-2022,397
26-11-2022,418
27-11-2022,408
28-11-2022,457
29-11-2022,460
30-11-2022,431
01-12-2022,377
02-12-2022,406
03-12-2022,418
05-12-2022,428
06-12-2022,345
07-12-2022,402
08-12-2022,433
09-12-2022,448
10-12-2022,461
11-12-2022,452
12-12-2022,446
13-12-2022,457
14-12-2022,421
17-12-2022,431
18-12-2022,474
19-12-2022,471
20-12-2022,473
21-12-2022,464
22-12-2022,418
23-12-2022,450
24-12-2022,358
25-12-2022,467
26-12-2022,474
27-12-2022,430
28-12-2022,394
29-12-2022,439
30-12-2022,470
31-12-2022,453
01-01-2023,421
03-01-2023,334
04-01-2023,356
05-01-2023,358
06-01-2023,377
07-01-2023,391
08-01-2023,420
09-01-2023,437
11-01-2023,377
12-01-2023,445
13-01-2023,430
14-01-2023,469
15-01-2023,411
16-01-2023,355
17-01-2023,406
18-01-2023,437
20-01-2023,454
22-01-2023,467
23-01-2023,415
24-01-2023,439
25-01-2023,455
28-01-2023,309
29-01-2023,379
30-01-2023,385
31-01-2023,391
01-02-2023,168
02-02-2023,310
04-02-2023,374
05-02-2023,340
06-02-2023,383
07-02-2023,362
08-02-2023,415
10-02-2023,367
11-02-2023,410
16-02-2023,433
17-02-2023,434
18-02-2023,447
20-02-2023,413
21-02-2023,410
24-02-2023,280
25-02-2023,329
26-02-2023,371
27-02-2023,377
28-02-2023,357
01-03-2023,365
02-03-2023,345
03-03-2023,259
04-03-2023,329
07-03-2023,256
08-03-2023,302
10-03-2023,273
11-03-2023,226
14-03-2023,321
15-03-2023,340
16-03-2023,317
17-03-2023,316
18-03-2023,338
26-03-2023,296
27-03-2023,191
28-03-2023,242
29-03-2023,232
31-03-2023,287
02-04-2023,166
03-04-2023,184
04-04-2023,218
05-04-2023,294
07-04-2023,357
09-04-2023,334
10-04-2023,331
11-04-2023,319
12-04-2023,330
13-04-2023,270
14-04-2023,324
17-04-2023,300
19-04-2023,225
21-04-2023,288
25-04-2023,187
26-04-2023,258
28-04-2023,309
29-04-2023,276
30-04-2023,263
05-05-2023,277
06-05-2023,216
07-05-2023,233
08-05-2023,276
09-05-2023,242
10-05-2023,288
11-05-2023,292
12-05-2023,261
13-05-2023,231
14-05-2023,227
16-05-2023,197
17-05-2023,191
18-05-2023,163
19-05-2023,150
20-05-2023,257
21-05-2023,230
23-05-2023,190
25-05-2023,232
26-05-2023,144
27-05-2023,102
30-05-2023,197
31-05-2023,186
01-06-2023,215
02-06-2023,204
03-06-2023,228
04-06-2023,283
05-06-2023,255
06-06-2023,235
07-06-2023,250
08-06-2023,323
11-06-2023,116
12-06-2023,183
13-06-2023,214
14-06-2023,171
15-06-2023,322
18-06-2023,211
19-06-2023,163
21-06-2023,173
22-06-2023,152
23-06-2023,212
24-06-2023,141
02-07-2023,206
05-07-2023,297
06-07-2023,212
07-07-2023,74
09-07-2023,167
10-07-2023,137
11-07-2023,117
17-07-2023,130
19-07-2023,196
20-07-2023,157
21-07-2023,69
25-07-2023,154
26-07-2023,106
28-07-2023,103
01-08-2023,87
05-08-2023,64
06-08-2023,76
10-08-2023,182
13-08-2023,97
15-08-2023,90
19-08-2023,88
20-08-2023,144
24-08-2023,235
27-08-2023,197
28-08-2023,240
31-08-2023,129
06-09-2023,289
09-09-2023,205
11-09-2023,236
12-09-2023,168
13-09-2023,74
15-09-2023,151
16-09-2023,69
19-09-2023,74
20-09-2023,163
21-09-2023,124
28-09-2023,271
02-10-2023,27
06-10-2023,56
09-10-2023,158
10-10-2023,108
11-10-2023,120
12-10-2023,114
13-10-2023,121
14-10-2023,210
16-10-2023,116
17-10-2023,119
18-10-2023,81
19-10-2023,126
20-10-2023,107
21-10-2023,178
22-10-2023,224
23-10-2023,211
24-10-2023,222
25-10-2023,120
26-10-2023,159
27-10-2023,210
29-10-2023,189
30-10-2023,287
31-10-2023,330
01-11-2023,156
02-11-2023,235
03-11-2023,315
04-11-2023,148
05-11-2023,360
07-11-2023,331
10-11-2023,303
11-11-2023,382
13-11-2023,393
14-11-2023,306
15-11-2023,381
17-11-2023,206
18-11-2023,211
20-11-2023,349
22-11-2023,310
23-11-2023,392
24-11-2023,433
25-11-2023,411
26-11-2023,456
28-11-2023,233
29-11-2023,314
30-11-2023,389
01-12-2023,372
02-12-2023,338
04-12-2023,446
05-12-2023,428
06-12-2023,448
09-12-2023,247
10-12-2023,372
14-12-2023,424
16-12-2023,452
17-12-2023,296
21-12-2023,370
22-12-2023,434
