Date,AQI
20-06-2023,78
21-06-2023,83
22-06-2023,73
23-06-2023,85
24-06-2023,47
25-06-2023,43
26-06-2023,45
27-06-2023,55
28-06-2023,73
29-06-2023,53
30-06-2023,32
01-07-2023,46
02-07-2023,39
03-07-2023,57
04-07-2023,58
05-07-2023,56
06-07-2023,61
07-07-2023,33
08-07-2023,36
09-07-2023,45
10-07-2023,44
11-07-2023,45
12-07-2023,58
13-07-2023,50
14-07-2023,38
15-07-2023,33
16-07-2023,38
17-07-2023,26
18-07-2023,22
19-07-2023,27
20-07-2023,33
21-07-2023,27
22-07-2023,25
23-07-2023,25
24-07-2023,23
25-07-2023,30
26-07-2023,32
27-07-2023,26
28-07-2023,25
29-07-2023,30
30-07-2023,31
31-07-2023,53
01-08-2023,42
02-08-2023,43
03-08-2023,47
04-08-2023,44
05-08-2023,45
06-08-2023,53
07-08-2023,63
08-08-2023,60
09-08-2023,52
10-08-2023,57
11-08-2023,48
12-08-2023,49
13-08-2023,53
14-08-2023,54
15-08-2023,62
16-08-2023,43
17-08-2023,45
18-08-2023,44
19-08-2023,47
20-08-2023,46
21-08-2023,40
22-08-2023,36
23-08-2023,34
24-08-2023,42
25-08-2023,31
26-08-2023,37
27-08-2023,27
29-08-2023,44
30-08-2023,64
31-08-2023,64
01-09-2023,66
02-09-2023,64
07-09-2023,53
08-09-2023,33
09-09-2023,33
10-09-2023,37
11-09-2023,37
12-09-2023,54
13-09-2023,58
14-09-2023,46
15-09-2023,37
16-09-2023,50
17-09-2023,37
18-09-2023,39
19-09-2023,37
20-09-2023,37
21-09-2023,35
22-09-2023,30
23-09-2023,27
26-09-2023,56
27-09-2023,49
28-09-2023,60
29-09-2023,64
30-09-2023,44
01-10-2023,52
02-10-2023,75
03-10-2023,92
04-10-2023,97
05-10-2023,102
06-10-2023,92
13-10-2023,128
14-10-2023,126
15-10-2023,131
16-10-2023,114
17-10-2023,196
19-10-2023,128
21-10-2023,128
22-10-2023,128
23-10-2023,133
24-10-2023,130
25-10-2023,121
26-10-2023,125
28-10-2023,128
29-10-2023,128
30-10-2023,129
31-10-2023,140
02-11-2023,127
03-11-2023,135
04-11-2023,132
05-11-2023,139
06-11-2023,138
07-11-2023,153
08-11-2023,128
09-11-2023,159
10-11-2023,57
11-11-2023,66
12-11-2023,112
13-11-2023,186
14-11-2023,175
15-11-2023,141
16-11-2023,136
17-11-2023,161
18-11-2023,130
19-11-2023,243
20-11-2023,164
21-11-2023,114
22-11-2023,112
26-11-2023,79
27-11-2023,37
28-11-2023,55
29-11-2023,204
30-11-2023,89
01-12-2023,177
02-12-2023,159
03-12-2023,106
05-12-2023,85
06-12-2023,94
07-12-2023,84
08-12-2023,108
09-12-2023,98
10-12-2023,105
11-12-2023,154
12-12-2023,113
14-12-2023,108
15-12-2023,109
16-12-2023,129
17-12-2023,120
18-12-2023,121
19-12-2023,110
20-12-2023,108
21-12-2023,160
22-12-2023,158
23-12-2023,215
24-12-2023,228
25-12-2023,135
27-12-2023,220
28-12-2023,158
29-12-2023,143
30-12-2023,156
31-12-2023,148
