Date,AQI
09-08-2022,46
10-08-2022,50
11-08-2022,45
12-08-2022,45
13-08-2022,46
14-08-2022,47
15-08-2022,46
16-08-2022,47
17-08-2022,47
18-08-2022,47
19-08-2022,50
20-08-2022,48
21-08-2022,48
22-08-2022,48
23-08-2022,47
24-08-2022,46
25-08-2022,48
26-08-2022,53
27-08-2022,47
28-08-2022,47
29-08-2022,61
30-08-2022,70
31-08-2022,59
01-09-2022,46
02-09-2022,46
03-09-2022,46
04-09-2022,49
16-09-2022,46
17-09-2022,47
18-09-2022,48
20-09-2022,56
21-09-2022,59
22-09-2022,48
25-09-2022,48
26-09-2022,46
27-09-2022,46
28-09-2022,48
29-09-2022,50
30-09-2022,71
01-10-2022,53
02-10-2022,49
03-10-2022,46
04-10-2022,60
05-10-2022,72
06-10-2022,58
07-10-2022,46
08-10-2022,47
09-10-2022,46
10-10-2022,46
11-10-2022,47
12-10-2022,47
13-10-2022,54
14-10-2022,48
15-10-2022,48
16-10-2022,63
17-10-2022,48
18-10-2022,48
19-10-2022,48
20-10-2022,48
21-10-2022,62
22-10-2022,102
23-10-2022,114
24-10-2022,126
25-10-2022,221
26-10-2022,125
27-10-2022,175
28-10-2022,122
29-10-2022,126
30-10-2022,120
31-10-2022,142
01-11-2022,154
02-11-2022,126
03-11-2022,146
04-11-2022,154
05-11-2022,121
06-11-2022,108
07-11-2022,133
08-11-2022,152
09-11-2022,157
10-11-2022,157
11-11-2022,146
12-11-2022,147
13-11-2022,135
14-11-2022,109
15-11-2022,139
16-11-2022,186
17-11-2022,199
18-11-2022,48
19-11-2022,76
20-11-2022,52
21-11-2022,50
22-11-2022,54
23-11-2022,60
24-11-2022,55
25-11-2022,45
26-11-2022,52
27-11-2022,46
28-11-2022,98
30-11-2022,120
01-12-2022,88
02-12-2022,62
03-12-2022,81
04-12-2022,145
06-12-2022,75
07-12-2022,198
08-12-2022,228
09-12-2022,163
10-12-2022,198
11-12-2022,165
12-12-2022,64
13-12-2022,48
14-12-2022,50
15-12-2022,49
16-12-2022,89
17-12-2022,141
18-12-2022,234
19-12-2022,156
20-12-2022,131
21-12-2022,147
22-12-2022,218
23-12-2022,201
24-12-2022,184
25-12-2022,155
26-12-2022,134
27-12-2022,101
28-12-2022,131
29-12-2022,156
30-12-2022,155
31-12-2022,175
01-01-2023,117
03-01-2023,185
04-01-2023,139
05-01-2023,157
06-01-2023,140
07-01-2023,153
08-01-2023,235
09-01-2023,136
11-01-2023,156
12-01-2023,195
13-01-2023,207
14-01-2023,166
15-01-2023,163
16-01-2023,157
17-01-2023,198
18-01-2023,148
19-01-2023,147
20-01-2023,132
21-01-2023,137
22-01-2023,144
23-01-2023,150
24-01-2023,208
25-01-2023,147
26-01-2023,165
27-01-2023,143
28-01-2023,133
29-01-2023,145
30-01-2023,162
01-02-2023,126
02-02-2023,203
03-02-2023,142
04-02-2023,144
05-02-2023,134
08-02-2023,149
09-02-2023,200
10-02-2023,212
11-02-2023,198
14-02-2023,59
15-02-2023,58
16-02-2023,49
17-02-2023,50
18-02-2023,63
19-02-2023,57
20-02-2023,46
21-02-2023,51
22-02-2023,154
23-02-2023,164
24-02-2023,150
25-02-2023,161
26-02-2023,155
27-02-2023,138
28-02-2023,163
01-03-2023,140
02-03-2023,133
03-03-2023,152
04-03-2023,153
05-03-2023,168
06-03-2023,148
07-03-2023,156
08-03-2023,110
09-03-2023,136
10-03-2023,129
11-03-2023,139
12-03-2023,136
14-03-2023,137
15-03-2023,100
16-03-2023,70
17-03-2023,70
18-03-2023,77
19-03-2023,64
20-03-2023,55
21-03-2023,57
22-03-2023,50
23-03-2023,49
24-03-2023,55
25-03-2023,57
26-03-2023,68
27-03-2023,62
28-03-2023,71
29-03-2023,72
30-03-2023,66
31-03-2023,53
01-04-2023,60
02-04-2023,50
06-04-2023,67
07-04-2023,62
08-04-2023,50
09-04-2023,50
10-04-2023,62
11-04-2023,55
12-04-2023,55
13-04-2023,66
14-04-2023,61
15-04-2023,48
16-04-2023,58
17-04-2023,50
18-04-2023,64
19-04-2023,62
22-04-2023,48
23-04-2023,49
24-04-2023,48
25-04-2023,48
26-04-2023,48
27-04-2023,48
28-04-2023,52
29-04-2023,55
30-04-2023,53
01-05-2023,49
02-05-2023,49
04-05-2023,48
05-05-2023,48
06-05-2023,48
07-05-2023,49
08-05-2023,48
09-05-2023,48
10-05-2023,48
13-05-2023,61
14-05-2023,46
15-05-2023,44
16-05-2023,49
17-05-2023,49
19-05-2023,46
20-05-2023,47
21-05-2023,47
24-05-2023,47
25-05-2023,48
26-05-2023,47
27-05-2023,47
28-05-2023,47
29-05-2023,48
30-05-2023,47
31-05-2023,57
01-06-2023,58
02-06-2023,56
03-06-2023,53
04-06-2023,48
06-06-2023,51
07-06-2023,50
08-06-2023,46
09-06-2023,46
10-06-2023,32
11-06-2023,47
12-06-2023,47
13-06-2023,47
14-06-2023,47
16-06-2023,46
17-06-2023,46
18-06-2023,47
19-06-2023,54
20-06-2023,73
21-06-2023,57
22-06-2023,54
23-06-2023,46
24-06-2023,47
25-06-2023,48
26-06-2023,46
27-06-2023,46
29-06-2023,47
30-06-2023,46
01-07-2023,47
02-07-2023,48
03-07-2023,46
04-07-2023,46
05-07-2023,46
06-07-2023,45
07-07-2023,46
08-07-2023,46
09-07-2023,47
11-07-2023,50
12-07-2023,56
13-07-2023,50
14-07-2023,46
15-07-2023,46
16-07-2023,48
17-07-2023,47
18-07-2023,46
19-07-2023,47
20-07-2023,46
21-07-2023,46
22-07-2023,46
23-07-2023,48
24-07-2023,48
25-07-2023,47
26-07-2023,48
27-07-2023,48
02-08-2023,48
03-08-2023,48
04-08-2023,103
05-08-2023,92
07-08-2023,52
08-08-2023,50
09-08-2023,72
10-08-2023,91
11-08-2023,89
12-08-2023,105
13-08-2023,50
14-08-2023,48
15-08-2023,47
16-08-2023,47
17-08-2023,46
18-08-2023,76
19-08-2023,47
20-08-2023,48
21-08-2023,48
22-08-2023,49
23-08-2023,55
25-08-2023,31
26-08-2023,30
27-08-2023,30
28-08-2023,35
29-08-2023,46
30-08-2023,64
31-08-2023,71
01-09-2023,47
02-09-2023,46
03-09-2023,47
04-09-2023,54
05-09-2023,48
06-09-2023,46
07-09-2023,47
08-09-2023,46
09-09-2023,47
10-09-2023,48
11-09-2023,47
12-09-2023,46
13-09-2023,46
14-09-2023,46
15-09-2023,47
16-09-2023,46
17-09-2023,47
18-09-2023,46
19-09-2023,47
20-09-2023,46
21-09-2023,48
28-09-2023,46
29-09-2023,48
30-09-2023,48
03-10-2023,56
04-10-2023,62
05-10-2023,64
06-10-2023,62
07-10-2023,69
08-10-2023,47
09-10-2023,47
10-10-2023,73
12-10-2023,78
13-10-2023,82
14-10-2023,82
15-10-2023,82
16-10-2023,83
17-10-2023,78
18-10-2023,74
19-10-2023,82
20-10-2023,86
21-10-2023,92
22-10-2023,85
23-10-2023,81
24-10-2023,83
25-10-2023,82
26-10-2023,84
27-10-2023,95
28-10-2023,81
29-10-2023,77
30-10-2023,68
31-10-2023,55
01-11-2023,80
02-11-2023,79
03-11-2023,79
04-11-2023,87
05-11-2023,63
06-11-2023,66
07-11-2023,46
08-11-2023,47
09-11-2023,46
10-11-2023,51
11-11-2023,84
12-11-2023,96
13-11-2023,96
