Date,AQI
02-05-2015,132
03-05-2015,49
04-05-2015,46
05-05-2015,229
06-05-2015,90
07-05-2015,52
08-05-2015,83
09-05-2015,46
10-05-2015,266
11-05-2015,98
12-05-2015,71
13-05-2015,42
15-05-2015,45
16-05-2015,72
17-05-2015,50
18-05-2015,59
19-05-2015,53
20-05-2015,58
21-05-2015,48
22-05-2015,75
23-05-2015,49
24-05-2015,92
25-05-2015,57
26-05-2015,54
27-05-2015,51
28-05-2015,56
29-05-2015,180
30-05-2015,59
31-05-2015,99
01-06-2015,67
02-06-2015,56
03-06-2015,67
04-06-2015,46
05-06-2015,46
06-06-2015,45
07-06-2015,41
08-06-2015,50
09-06-2015,40
10-06-2015,48
11-06-2015,41
13-06-2015,35
14-06-2015,64
15-06-2015,51
16-06-2015,35
17-06-2015,52
18-06-2015,28
19-06-2015,51
20-06-2015,44
21-06-2015,105
22-06-2015,96
23-06-2015,50
24-06-2015,41
25-06-2015,44
26-06-2015,48
27-06-2015,37
28-06-2015,56
01-07-2015,55
02-07-2015,63
03-07-2015,46
04-07-2015,35
05-07-2015,36
06-07-2015,42
07-07-2015,47
08-07-2015,32
09-07-2015,47
10-07-2015,36
11-07-2015,40
12-07-2015,47
13-07-2015,41
14-07-2015,35
15-07-2015,35
16-07-2015,34
17-07-2015,36
18-07-2015,49
19-07-2015,32
20-07-2015,33
21-07-2015,40
22-07-2015,34
23-07-2015,76
24-07-2015,241
25-07-2015,46
26-07-2015,31
27-07-2015,53
28-07-2015,42
29-07-2015,49
30-07-2015,49
31-07-2015,55
01-08-2015,35
02-08-2015,36
03-08-2015,34
04-08-2015,35
05-08-2015,42
06-08-2015,97
07-08-2015,34
08-08-2015,56
09-08-2015,89
10-08-2015,39
11-08-2015,45
12-08-2015,33
13-08-2015,55
14-08-2015,58
15-08-2015,64
16-08-2015,41
17-08-2015,181
18-08-2015,81
19-08-2015,101
20-08-2015,87
21-08-2015,62
22-08-2015,38
23-08-2015,30
24-08-2015,40
25-08-2015,70
26-08-2015,135
27-08-2015,35
30-08-2015,97
31-08-2015,41
01-09-2015,68
02-09-2015,68
03-09-2015,40
04-09-2015,52
05-09-2015,54
06-09-2015,54
07-09-2015,35
08-09-2015,124
11-09-2015,38
12-09-2015,37
13-09-2015,29
14-09-2015,49
15-09-2015,78
17-09-2015,31
18-09-2015,34
19-09-2015,71
20-09-2015,42
21-09-2015,39
22-09-2015,91
