Date,AQI
18-07-2021,49
19-07-2021,74
20-07-2021,80
21-07-2021,82
22-07-2021,52
23-07-2021,65
24-07-2021,65
25-07-2021,66
26-07-2021,73
27-07-2021,85
28-07-2021,58
29-07-2021,65
30-07-2021,62
31-07-2021,48
01-08-2021,64
02-08-2021,60
03-08-2021,40
04-08-2021,60
05-08-2021,57
06-08-2021,98
10-08-2021,18
24-11-2021,386
26-11-2021,335
27-11-2021,293
28-11-2021,260
29-11-2021,320
30-11-2021,354
01-12-2021,233
02-12-2021,328
03-12-2021,387
04-12-2021,137
05-12-2021,218
06-12-2021,208
07-12-2021,209
08-12-2021,164
09-12-2021,194
10-12-2021,240
12-12-2021,353
13-12-2021,350
14-12-2021,311
15-12-2021,292
16-12-2021,296
17-12-2021,280
18-12-2021,305
19-12-2021,345
20-12-2021,421
21-12-2021,386
23-12-2021,394
24-12-2021,320
25-12-2021,282
26-12-2021,279
27-12-2021,338
30-12-2021,77
31-12-2021,165
01-01-2022,211
02-01-2022,277
03-01-2022,152
06-01-2022,315
07-01-2022,183
08-01-2022,117
09-01-2022,120
10-01-2022,164
11-01-2022,314
12-01-2022,152
13-01-2022,152
14-01-2022,271
15-01-2022,161
16-01-2022,185
23-01-2022,350
24-01-2022,274
25-01-2022,180
26-01-2022,140
27-01-2022,179
28-01-2022,269
30-01-2022,211
31-01-2022,210
02-02-2022,187
03-02-2022,210
06-02-2022,100
07-02-2022,222
08-02-2022,224
09-02-2022,206
10-02-2022,164
11-02-2022,120
12-02-2022,237
13-02-2022,200
14-02-2022,215
16-02-2022,300
17-02-2022,284
18-02-2022,303
19-02-2022,285
20-02-2022,161
21-02-2022,119
22-02-2022,245
23-02-2022,251
24-02-2022,204
25-02-2022,180
26-02-2022,143
27-02-2022,280
28-02-2022,195
01-03-2022,158
04-03-2022,217
05-03-2022,126
06-03-2022,238
08-03-2022,207
09-03-2022,241
10-03-2022,257
11-03-2022,237
12-03-2022,238
13-03-2022,248
15-03-2022,261
16-03-2022,293
17-03-2022,283
20-03-2022,292
21-03-2022,288
22-03-2022,278
23-03-2022,242
24-03-2022,288
25-03-2022,244
26-03-2022,127
28-03-2022,307
29-03-2022,256
03-04-2022,138
04-04-2022,145
05-04-2022,244
08-04-2022,124
11-04-2022,55
16-04-2022,91
19-04-2022,126
24-04-2022,151
25-04-2022,141
26-04-2022,180
28-04-2022,89
02-05-2022,44
12-05-2022,114
13-05-2022,136
16-05-2022,168
18-05-2022,170
20-05-2022,163
21-05-2022,152
22-05-2022,42
23-05-2022,187
24-05-2022,231
25-05-2022,181
26-05-2022,220
27-05-2022,248
30-05-2022,193
31-05-2022,170
01-06-2022,120
02-06-2022,80
03-06-2022,77
06-06-2022,134
07-06-2022,141
08-06-2022,58
09-06-2022,54
10-06-2022,129
11-06-2022,152
12-06-2022,109
13-06-2022,44
14-06-2022,134
15-06-2022,176
16-06-2022,152
22-06-2022,59
23-06-2022,276
24-06-2022,72
25-06-2022,209
26-06-2022,44
27-06-2022,174
28-06-2022,57
30-06-2022,103
01-07-2022,34
02-07-2022,45
04-07-2022,135
10-07-2022,70
12-07-2022,91
14-07-2022,91
15-07-2022,94
16-07-2022,91
17-07-2022,45
20-07-2022,59
23-07-2022,67
24-07-2022,57
25-07-2022,41
26-07-2022,42
27-07-2022,47
30-07-2022,73
03-08-2022,45
04-08-2022,80
05-08-2022,95
06-08-2022,137
07-08-2022,90
08-08-2022,94
09-08-2022,60
10-08-2022,53
11-08-2022,61
12-08-2022,38
13-08-2022,43
14-08-2022,41
15-08-2022,52
16-08-2022,44
17-08-2022,54
18-08-2022,47
20-08-2022,39
21-08-2022,43
22-08-2022,54
23-08-2022,70
24-08-2022,39
25-08-2022,70
26-08-2022,42
27-08-2022,183
31-08-2022,37
01-09-2022,28
02-09-2022,39
13-09-2022,28
01-10-2022,81
02-10-2022,67
03-10-2022,80
06-10-2022,26
07-10-2022,32
09-10-2022,49
10-10-2022,27
11-10-2022,27
12-10-2022,27
13-10-2022,50
14-10-2022,58
15-10-2022,138
16-10-2022,155
17-10-2022,152
18-10-2022,207
19-10-2022,202
20-10-2022,211
21-10-2022,210
22-10-2022,182
23-10-2022,169
24-10-2022,142
25-10-2022,197
26-10-2022,284
27-10-2022,306
28-10-2022,303
29-10-2022,266
30-10-2022,214
31-10-2022,184
01-11-2022,176
