Date,AQI
23-11-2021,289
24-11-2021,270
25-11-2021,249
26-11-2021,239
27-11-2021,300
28-11-2021,291
29-11-2021,304
30-11-2021,366
01-12-2021,295
02-12-2021,229
03-12-2021,270
04-12-2021,275
05-12-2021,232
06-12-2021,272
07-12-2021,312
08-12-2021,260
09-12-2021,268
10-12-2021,238
11-12-2021,288
12-12-2021,323
13-12-2021,332
14-12-2021,321
15-12-2021,348
16-12-2021,324
17-12-2021,240
18-12-2021,317
19-12-2021,264
20-12-2021,308
21-12-2021,357
22-12-2021,341
23-12-2021,358
24-12-2021,339
25-12-2021,320
26-12-2021,302
27-12-2021,312
28-12-2021,255
29-12-2021,180
30-12-2021,98
31-12-2021,168
01-01-2022,248
02-01-2022,242
03-01-2022,342
04-01-2022,386
05-01-2022,383
06-01-2022,352
07-01-2022,390
08-01-2022,298
09-01-2022,298
10-01-2022,294
11-01-2022,362
12-01-2022,330
13-01-2022,185
14-01-2022,250
15-01-2022,300
16-01-2022,272
17-01-2022,310
18-01-2022,364
19-01-2022,385
20-01-2022,385
21-01-2022,366
22-01-2022,370
23-01-2022,373
24-01-2022,302
25-01-2022,320
26-01-2022,286
27-01-2022,199
28-01-2022,248
29-01-2022,344
30-01-2022,334
31-01-2022,382
01-02-2022,354
02-02-2022,363
03-02-2022,352
05-02-2022,89
06-02-2022,123
07-02-2022,248
08-02-2022,266
09-02-2022,314
10-02-2022,326
11-02-2022,263
12-02-2022,171
13-02-2022,251
14-02-2022,250
15-02-2022,254
16-02-2022,249
17-02-2022,266
18-02-2022,178
19-02-2022,181
20-02-2022,192
21-02-2022,152
22-02-2022,252
23-02-2022,242
24-02-2022,262
25-02-2022,286
26-02-2022,173
27-02-2022,272
28-02-2022,164
01-03-2022,154
02-03-2022,201
03-03-2022,180
04-03-2022,204
05-03-2022,162
06-03-2022,197
07-03-2022,185
08-03-2022,180
09-03-2022,196
10-03-2022,216
11-03-2022,192
12-03-2022,190
13-03-2022,174
14-03-2022,188
15-03-2022,195
16-03-2022,234
17-03-2022,234
18-03-2022,283
19-03-2022,219
20-03-2022,231
21-03-2022,258
22-03-2022,322
23-03-2022,361
24-03-2022,283
25-03-2022,295
26-03-2022,314
27-03-2022,242
28-03-2022,272
29-03-2022,235
30-03-2022,230
31-03-2022,193
01-04-2022,233
02-04-2022,218
03-04-2022,140
05-04-2022,260
06-04-2022,233
07-04-2022,261
08-04-2022,220
09-04-2022,242
10-04-2022,227
11-04-2022,182
12-04-2022,205
13-04-2022,299
14-04-2022,216
15-04-2022,302
16-04-2022,300
17-04-2022,216
18-04-2022,189
19-04-2022,158
20-04-2022,149
21-04-2022,116
22-04-2022,156
23-04-2022,174
24-04-2022,283
25-04-2022,299
26-04-2022,223
27-04-2022,220
28-04-2022,205
29-04-2022,221
30-04-2022,228
01-05-2022,120
02-05-2022,164
05-05-2022,108
06-05-2022,136
07-05-2022,110
08-05-2022,134
09-05-2022,146
10-05-2022,76
11-05-2022,114
12-05-2022,116
13-05-2022,111
14-05-2022,100
15-05-2022,162
16-05-2022,134
17-05-2022,92
18-05-2022,114
19-05-2022,130
21-05-2022,88
22-05-2022,112
23-05-2022,110
24-05-2022,111
25-05-2022,123
26-05-2022,110
27-05-2022,129
28-05-2022,144
29-05-2022,114
30-05-2022,146
31-05-2022,224
01-06-2022,171
02-06-2022,156
03-06-2022,132
04-06-2022,91
05-06-2022,140
06-06-2022,146
07-06-2022,122
08-06-2022,146
09-06-2022,175
10-06-2022,118
11-06-2022,148
12-06-2022,161
13-06-2022,114
14-06-2022,135
15-06-2022,84
16-06-2022,82
17-06-2022,76
18-06-2022,63
21-06-2022,84
22-06-2022,99
23-06-2022,116
24-06-2022,94
25-06-2022,80
26-06-2022,72
27-06-2022,44
28-06-2022,98
29-06-2022,74
30-06-2022,56
01-07-2022,87
02-07-2022,64
03-07-2022,76
04-07-2022,72
05-07-2022,76
06-07-2022,72
07-07-2022,102
08-07-2022,62
09-07-2022,58
10-07-2022,73
11-07-2022,74
12-07-2022,66
13-07-2022,80
14-07-2022,66
15-07-2022,56
16-07-2022,61
17-07-2022,66
18-07-2022,60
19-07-2022,58
20-07-2022,73
21-07-2022,56
22-07-2022,56
23-07-2022,42
24-07-2022,63
25-07-2022,70
26-07-2022,82
27-07-2022,82
28-07-2022,66
29-07-2022,49
30-07-2022,99
31-07-2022,90
01-08-2022,89
03-08-2022,159
04-08-2022,134
05-08-2022,109
06-08-2022,86
07-08-2022,85
08-08-2022,88
09-08-2022,123
10-08-2022,88
11-08-2022,65
12-08-2022,62
13-08-2022,94
14-08-2022,71
15-08-2022,42
16-08-2022,80
17-08-2022,92
18-08-2022,85
19-08-2022,60
20-08-2022,78
21-08-2022,50
22-08-2022,82
23-08-2022,98
24-08-2022,83
25-08-2022,82
26-08-2022,92
27-08-2022,121
28-08-2022,90
29-08-2022,96
31-08-2022,88
01-09-2022,94
02-09-2022,91
03-09-2022,66
04-09-2022,67
05-09-2022,78
06-09-2022,78
07-09-2022,88
08-09-2022,72
09-09-2022,69
10-09-2022,72
11-09-2022,58
12-09-2022,52
13-09-2022,56
14-09-2022,72
15-09-2022,65
16-09-2022,66
17-09-2022,79
18-09-2022,86
19-09-2022,69
20-09-2022,75
21-09-2022,73
22-09-2022,62
23-09-2022,68
24-09-2022,64
25-09-2022,64
26-09-2022,68
27-09-2022,75
28-09-2022,102
29-09-2022,84
30-09-2022,81
01-10-2022,78
02-10-2022,90
03-10-2022,45
04-10-2022,52
05-10-2022,41
06-10-2022,56
07-10-2022,63
08-10-2022,79
09-10-2022,45
10-10-2022,57
11-10-2022,73
13-10-2022,80
15-10-2022,93
16-10-2022,116
17-10-2022,112
18-10-2022,148
19-10-2022,140
20-10-2022,203
21-10-2022,221
22-10-2022,146
23-10-2022,94
24-10-2022,152
25-10-2022,76
26-10-2022,140
27-10-2022,163
28-10-2022,175
29-10-2022,209
30-10-2022,146
31-10-2022,112
01-11-2022,102
02-11-2022,106
03-11-2022,150
04-11-2022,212
05-11-2022,244
06-11-2022,206
07-11-2022,228
08-11-2022,206
09-11-2022,209
10-11-2022,228
11-11-2022,272
12-11-2022,325
13-11-2022,237
14-11-2022,308
15-11-2022,269
16-11-2022,304
17-11-2022,270
18-11-2022,252
19-11-2022,278
20-11-2022,319
21-11-2022,279
22-11-2022,300
23-11-2022,287
24-11-2022,278
25-11-2022,324
26-11-2022,316
27-11-2022,317
28-11-2022,304
29-11-2022,296
30-11-2022,292
01-12-2022,316
02-12-2022,302
03-12-2022,310
04-12-2022,335
05-12-2022,346
06-12-2022,332
07-12-2022,363
08-12-2022,348
09-12-2022,336
10-12-2022,338
11-12-2022,354
12-12-2022,365
13-12-2022,399
14-12-2022,390
15-12-2022,293
16-12-2022,277
17-12-2022,338
18-12-2022,388
19-12-2022,394
20-12-2022,401
21-12-2022,405
22-12-2022,377
23-12-2022,368
24-12-2022,401
25-12-2022,397
26-12-2022,398
27-12-2022,344
28-12-2022,359
29-12-2022,434
30-12-2022,448
31-12-2022,426
01-01-2023,425
02-01-2023,420
03-01-2023,354
04-01-2023,340
05-01-2023,348
06-01-2023,356
07-01-2023,380
08-01-2023,394
09-01-2023,398
10-01-2023,406
11-01-2023,376
12-01-2023,386
13-01-2023,424
14-01-2023,428
15-01-2023,370
16-01-2023,329
17-01-2023,316
18-01-2023,332
19-01-2023,378
20-01-2023,372
21-01-2023,382
22-01-2023,394
23-01-2023,409
24-01-2023,387
25-01-2023,385
26-01-2023,390
27-01-2023,248
28-01-2023,301
29-01-2023,317
30-01-2023,324
31-01-2023,332
01-02-2023,208
02-02-2023,252
03-02-2023,310
04-02-2023,316
05-02-2023,338
06-02-2023,292
07-02-2023,241
08-02-2023,287
09-02-2023,180
10-02-2023,240
11-02-2023,254
12-02-2023,285
13-02-2023,239
14-02-2023,147
15-02-2023,223
16-02-2023,265
17-02-2023,305
18-02-2023,329
19-02-2023,356
20-02-2023,332
21-02-2023,344
22-02-2023,309
23-02-2023,126
24-02-2023,143
25-02-2023,225
26-02-2023,219
27-02-2023,252
28-02-2023,262
01-03-2023,226
02-03-2023,275
03-03-2023,207
04-03-2023,251
05-03-2023,174
06-03-2023,156
07-03-2023,150
08-03-2023,226
09-03-2023,232
10-03-2023,170
11-03-2023,155
12-03-2023,143
13-03-2023,224
14-03-2023,245
15-03-2023,266
16-03-2023,219
17-03-2023,218
18-03-2023,183
19-03-2023,122
21-03-2023,96
22-03-2023,139
23-03-2023,122
24-03-2023,131
25-03-2023,170
26-03-2023,202
27-03-2023,115
28-03-2023,203
29-03-2023,176
30-03-2023,182
31-03-2023,160
02-04-2023,92
03-04-2023,146
04-04-2023,222
05-04-2023,260
06-04-2023,234
07-04-2023,196
08-04-2023,225
09-04-2023,201
10-04-2023,173
11-04-2023,190
12-04-2023,199
13-04-2023,212
14-04-2023,198
15-04-2023,171
16-04-2023,198
17-04-2023,215
18-04-2023,240
19-04-2023,204
20-04-2023,216
21-04-2023,246
22-04-2023,169
23-04-2023,106
24-04-2023,136
25-04-2023,106
26-04-2023,140
27-04-2023,154
28-04-2023,136
29-04-2023,192
30-04-2023,143
01-05-2023,87
02-05-2023,114
03-05-2023,98
04-05-2023,109
05-05-2023,74
06-05-2023,96
07-05-2023,122
08-05-2023,174
09-05-2023,162
10-05-2023,172
11-05-2023,205
12-05-2023,186
13-05-2023,148
14-05-2023,133
15-05-2023,129
16-05-2023,125
17-05-2023,144
18-05-2023,128
19-05-2023,107
20-05-2023,130
21-05-2023,154
22-05-2023,121
23-05-2023,109
24-05-2023,80
25-05-2023,103
26-05-2023,59
27-05-2023,68
28-05-2023,112
30-05-2023,125
31-05-2023,131
01-06-2023,165
02-06-2023,106
03-06-2023,216
04-06-2023,144
05-06-2023,146
06-06-2023,134
07-06-2023,155
08-06-2023,136
09-06-2023,182
10-06-2023,106
11-06-2023,106
13-06-2023,108
15-06-2023,169
16-06-2023,250
17-06-2023,103
18-06-2023,138
19-06-2023,121
20-06-2023,140
22-06-2023,79
23-06-2023,86
24-06-2023,96
25-06-2023,111
26-06-2023,92
27-06-2023,54
28-06-2023,76
29-06-2023,112
02-07-2023,112
03-07-2023,88
04-07-2023,92
05-07-2023,82
06-07-2023,61
07-07-2023,62
08-07-2023,41
09-07-2023,80
10-07-2023,116
11-07-2023,125
12-07-2023,94
13-07-2023,72
14-07-2023,82
15-07-2023,75
16-07-2023,64
17-07-2023,59
18-07-2023,60
19-07-2023,74
20-07-2023,68
21-07-2023,81
22-07-2023,79
23-07-2023,98
24-07-2023,88
25-07-2023,73
26-07-2023,76
27-07-2023,72
28-07-2023,76
29-07-2023,80
30-07-2023,46
31-07-2023,55
01-08-2023,63
02-08-2023,28
03-08-2023,40
04-08-2023,50
05-08-2023,52
06-08-2023,51
07-08-2023,79
08-08-2023,48
10-08-2023,58
11-08-2023,138
12-08-2023,70
13-08-2023,88
14-08-2023,94
15-08-2023,100
16-08-2023,98
17-08-2023,37
18-08-2023,42
19-08-2023,70
20-08-2023,88
21-08-2023,115
22-08-2023,109
23-08-2023,42
24-08-2023,44
25-08-2023,84
26-08-2023,65
27-08-2023,122
28-08-2023,179
29-08-2023,161
30-08-2023,126
31-08-2023,111
01-09-2023,118
02-09-2023,157
03-09-2023,86
04-09-2023,57
05-09-2023,56
06-09-2023,88
07-09-2023,66
08-09-2023,60
09-09-2023,78
10-09-2023,106
11-09-2023,94
12-09-2023,110
13-09-2023,94
14-09-2023,122
15-09-2023,160
16-09-2023,120
17-09-2023,112
18-09-2023,156
19-09-2023,91
20-09-2023,75
21-09-2023,57
23-09-2023,90
24-09-2023,42
25-09-2023,122
26-09-2023,128
27-09-2023,142
28-09-2023,108
29-09-2023,78
30-09-2023,43
01-10-2023,42
02-10-2023,36
03-10-2023,42
04-10-2023,34
05-10-2023,52
06-10-2023,29
07-10-2023,42
08-10-2023,73
09-10-2023,146
10-10-2023,88
11-10-2023,77
12-10-2023,130
13-10-2023,124
14-10-2023,172
