Date,AQI
02-02-2023,140
03-02-2023,151
04-02-2023,190
05-02-2023,186
06-02-2023,228
07-02-2023,166
08-02-2023,127
09-02-2023,137
10-02-2023,124
11-02-2023,157
12-02-2023,261
13-02-2023,133
14-02-2023,118
15-02-2023,142
17-02-2023,333
18-02-2023,364
19-02-2023,314
20-02-2023,237
21-02-2023,132
22-02-2023,298
23-02-2023,269
24-02-2023,153
25-02-2023,215
26-02-2023,224
27-02-2023,184
28-02-2023,218
01-03-2023,163
02-03-2023,168
03-03-2023,171
04-03-2023,158
05-03-2023,138
06-03-2023,146
07-03-2023,185
08-03-2023,236
09-03-2023,77
11-03-2023,202
12-03-2023,185
13-03-2023,210
14-03-2023,198
15-03-2023,149
16-03-2023,131
17-03-2023,139
18-03-2023,73
19-03-2023,91
20-03-2023,64
21-03-2023,141
22-03-2023,103
23-03-2023,92
24-03-2023,68
25-03-2023,96
26-03-2023,141
27-03-2023,162
28-03-2023,140
29-03-2023,139
30-03-2023,150
31-03-2023,72
01-04-2023,67
02-04-2023,62
03-04-2023,94
04-04-2023,93
05-04-2023,160
06-04-2023,179
07-04-2023,180
08-04-2023,193
09-04-2023,175
10-04-2023,188
11-04-2023,185
12-04-2023,210
13-04-2023,163
14-04-2023,178
15-04-2023,185
16-04-2023,141
17-04-2023,122
18-04-2023,148
19-04-2023,225
20-04-2023,206
21-04-2023,138
22-04-2023,134
23-04-2023,167
24-04-2023,121
25-04-2023,160
26-04-2023,150
27-04-2023,109
28-04-2023,135
29-04-2023,106
30-04-2023,110
02-05-2023,86
04-05-2023,93
06-05-2023,163
07-05-2023,130
08-05-2023,124
09-05-2023,120
10-05-2023,163
11-05-2023,152
12-05-2023,139
13-05-2023,139
14-05-2023,171
15-05-2023,151
16-05-2023,125
17-05-2023,142
18-05-2023,94
19-05-2023,125
20-05-2023,154
21-05-2023,142
22-05-2023,142
23-05-2023,125
24-05-2023,140
25-05-2023,68
26-05-2023,78
27-05-2023,64
28-05-2023,67
29-05-2023,100
30-05-2023,91
31-05-2023,80
01-06-2023,76
02-06-2023,90
03-06-2023,120
04-06-2023,92
05-06-2023,92
06-06-2023,118
07-06-2023,197
08-06-2023,176
09-06-2023,119
11-06-2023,144
12-06-2023,212
13-06-2023,140
14-06-2023,114
15-06-2023,126
16-06-2023,97
17-06-2023,84
18-06-2023,75
19-06-2023,51
20-06-2023,67
21-06-2023,59
22-06-2023,88
23-06-2023,84
24-06-2023,100
25-06-2023,75
27-06-2023,42
28-06-2023,62
29-06-2023,58
30-06-2023,55
01-07-2023,57
02-07-2023,60
03-07-2023,106
04-07-2023,71
05-07-2023,63
06-07-2023,63
07-07-2023,64
08-07-2023,47
09-07-2023,51
10-07-2023,50
11-07-2023,50
12-07-2023,80
14-07-2023,57
15-07-2023,76
16-07-2023,79
17-07-2023,79
18-07-2023,82
19-07-2023,118
20-07-2023,98
21-07-2023,92
22-07-2023,120
23-07-2023,77
24-07-2023,83
25-07-2023,87
26-07-2023,97
27-07-2023,81
28-07-2023,78
30-07-2023,25
02-08-2023,76
03-08-2023,67
06-08-2023,88
07-08-2023,104
10-08-2023,130
11-08-2023,133
12-08-2023,131
13-08-2023,112
14-08-2023,101
15-08-2023,114
16-08-2023,85
17-08-2023,130
18-08-2023,144
19-08-2023,111
21-08-2023,103
22-08-2023,88
23-08-2023,40
24-08-2023,89
25-08-2023,122
26-08-2023,170
27-08-2023,218
28-08-2023,174
29-08-2023,116
30-08-2023,131
31-08-2023,101
01-09-2023,147
02-09-2023,148
03-09-2023,131
04-09-2023,164
05-09-2023,134
06-09-2023,56
07-09-2023,67
08-09-2023,55
09-09-2023,44
10-09-2023,44
11-09-2023,44
12-09-2023,40
13-09-2023,59
14-09-2023,56
15-09-2023,71
16-09-2023,51
17-09-2023,43
18-09-2023,215
19-09-2023,42
20-09-2023,161
21-09-2023,68
22-09-2023,75
23-09-2023,62
24-09-2023,66
25-09-2023,85
26-09-2023,88
27-09-2023,123
28-09-2023,161
29-09-2023,200
30-09-2023,177
01-10-2023,163
02-10-2023,193
03-10-2023,192
04-10-2023,235
05-10-2023,188
06-10-2023,229
07-10-2023,190
08-10-2023,148
09-10-2023,140
10-10-2023,128
11-10-2023,128
12-10-2023,172
13-10-2023,209
14-10-2023,168
15-10-2023,109
16-10-2023,104
18-10-2023,132
19-10-2023,152
20-10-2023,205
21-10-2023,239
22-10-2023,261
23-10-2023,280
24-10-2023,198
25-10-2023,163
26-10-2023,169
27-10-2023,194
28-10-2023,245
29-10-2023,229
30-10-2023,208
31-10-2023,221
01-11-2023,280
02-11-2023,250
03-11-2023,305
04-11-2023,367
05-11-2023,365
06-11-2023,319
07-11-2023,287
08-11-2023,247
10-11-2023,244
11-11-2023,152
12-11-2023,211
13-11-2023,346
14-11-2023,396
15-11-2023,386
16-11-2023,352
17-11-2023,292
18-11-2023,279
19-11-2023,257
20-11-2023,223
21-11-2023,241
22-11-2023,244
23-11-2023,375
24-11-2023,342
25-11-2023,353
26-11-2023,385
27-11-2023,242
28-11-2023,107
29-11-2023,255
30-11-2023,257
01-12-2023,104
02-12-2023,214
03-12-2023,311
04-12-2023,156
05-12-2023,106
06-12-2023,152
07-12-2023,191
08-12-2023,254
09-12-2023,188
10-12-2023,199
11-12-2023,281
12-12-2023,292
13-12-2023,282
14-12-2023,263
15-12-2023,279
16-12-2023,299
17-12-2023,259
18-12-2023,296
21-12-2023,238
22-12-2023,343
27-12-2023,367
28-12-2023,360
29-12-2023,265
30-12-2023,303
31-12-2023,206
