Date,AQI
18-11-2021,64
19-11-2021,74
25-11-2021,74
26-11-2021,67
27-11-2021,73
28-11-2021,77
29-11-2021,74
30-11-2021,75
01-12-2021,79
02-12-2021,65
03-12-2021,60
04-12-2021,60
05-12-2021,53
06-12-2021,42
15-12-2021,65
16-12-2021,60
17-12-2021,61
18-12-2021,63
19-12-2021,53
20-12-2021,53
21-12-2021,59
22-12-2021,60
23-12-2021,64
24-12-2021,70
25-12-2021,63
26-12-2021,60
27-12-2021,75
28-12-2021,70
04-01-2022,55
05-01-2022,56
06-01-2022,53
07-01-2022,61
08-01-2022,61
09-01-2022,53
10-01-2022,41
11-01-2022,33
12-01-2022,29
13-01-2022,42
25-01-2022,71
26-01-2022,64
27-01-2022,49
28-01-2022,39
29-01-2022,57
30-01-2022,46
31-01-2022,43
01-02-2022,43
02-02-2022,46
03-02-2022,49
09-02-2022,56
18-02-2022,47
19-02-2022,60
20-02-2022,56
25-02-2022,46
26-02-2022,66
27-02-2022,53
28-02-2022,54
01-03-2022,54
02-03-2022,53
03-03-2022,62
04-03-2022,64
05-03-2022,63
07-03-2022,69
08-03-2022,62
09-03-2022,71
10-03-2022,61
11-03-2022,85
12-03-2022,56
13-03-2022,61
24-03-2022,67
28-06-2022,25
19-08-2022,25
20-08-2022,22
21-08-2022,18
10-09-2022,25
11-09-2022,25
06-10-2022,21
08-10-2022,33
11-10-2022,30
12-10-2022,33
26-10-2022,218
27-10-2022,196
28-10-2022,170
29-10-2022,35
01-11-2022,41
12-11-2022,63
04-01-2023,114
05-01-2023,114
06-01-2023,103
07-01-2023,72
08-01-2023,80
09-01-2023,62
10-01-2023,138
12-01-2023,100
13-01-2023,95
14-01-2023,86
15-01-2023,84
16-01-2023,82
17-01-2023,104
18-01-2023,94
19-01-2023,91
20-01-2023,138
22-01-2023,82
23-01-2023,92
24-01-2023,133
25-01-2023,100
26-01-2023,90
27-01-2023,97
28-01-2023,92
29-01-2023,123
30-01-2023,112
31-01-2023,134
01-02-2023,70
02-02-2023,63
03-02-2023,69
04-02-2023,84
05-02-2023,98
06-02-2023,86
07-02-2023,98
08-02-2023,74
09-02-2023,69
10-02-2023,122
11-02-2023,100
12-02-2023,75
13-02-2023,74
14-02-2023,65
15-02-2023,82
16-02-2023,67
17-02-2023,73
18-02-2023,92
19-02-2023,98
20-02-2023,88
21-02-2023,74
22-02-2023,84
23-02-2023,86
24-02-2023,91
25-02-2023,82
26-02-2023,140
27-02-2023,128
28-02-2023,141
01-03-2023,110
02-03-2023,138
03-03-2023,124
04-03-2023,90
05-03-2023,81
06-03-2023,75
07-03-2023,67
08-03-2023,60
09-03-2023,77
10-03-2023,62
11-03-2023,91
12-03-2023,74
13-03-2023,76
14-03-2023,88
15-03-2023,66
16-03-2023,66
17-03-2023,58
18-03-2023,40
19-03-2023,31
20-03-2023,26
21-03-2023,55
22-03-2023,48
23-03-2023,62
24-03-2023,78
25-03-2023,68
26-03-2023,57
27-03-2023,40
28-03-2023,72
29-03-2023,80
30-03-2023,52
31-03-2023,42
01-04-2023,36
02-04-2023,54
03-04-2023,53
04-04-2023,49
05-04-2023,62
06-04-2023,73
07-04-2023,48
08-04-2023,46
09-04-2023,49
10-04-2023,41
11-04-2023,58
12-04-2023,76
13-04-2023,72
14-04-2023,72
15-04-2023,60
16-04-2023,44
17-04-2023,70
18-04-2023,74
19-04-2023,70
20-04-2023,61
21-04-2023,37
22-04-2023,43
23-04-2023,32
24-04-2023,37
25-04-2023,35
26-04-2023,30
27-04-2023,39
28-04-2023,41
29-04-2023,36
30-04-2023,24
01-05-2023,24
02-05-2023,25
03-05-2023,23
04-05-2023,36
05-05-2023,34
06-05-2023,40
07-05-2023,48
08-05-2023,44
09-05-2023,53
10-05-2023,42
11-05-2023,68
12-05-2023,76
13-05-2023,66
14-05-2023,76
15-05-2023,70
16-05-2023,71
17-05-2023,52
18-05-2023,64
19-05-2023,60
20-05-2023,46
21-05-2023,52
22-05-2023,59
23-05-2023,46
24-05-2023,46
25-05-2023,51
26-05-2023,57
27-05-2023,55
28-05-2023,52
29-05-2023,43
30-05-2023,59
31-05-2023,49
01-06-2023,55
02-06-2023,70
03-06-2023,68
04-06-2023,68
05-06-2023,54
06-06-2023,62
07-06-2023,74
08-06-2023,49
09-06-2023,57
10-06-2023,51
11-06-2023,42
12-06-2023,44
13-06-2023,40
14-06-2023,46
15-06-2023,48
16-06-2023,60
17-06-2023,58
18-06-2023,56
19-06-2023,66
20-06-2023,62
21-06-2023,44
22-06-2023,40
23-06-2023,33
24-06-2023,36
25-06-2023,30
26-06-2023,34
27-06-2023,29
28-06-2023,21
29-06-2023,31
30-06-2023,34
01-07-2023,33
02-07-2023,26
03-07-2023,38
04-07-2023,49
05-07-2023,36
06-07-2023,25
07-07-2023,22
08-07-2023,22
09-07-2023,26
10-07-2023,42
11-07-2023,24
12-07-2023,29
13-07-2023,26
14-07-2023,31
15-07-2023,31
16-07-2023,25
17-07-2023,22
18-07-2023,26
19-07-2023,41
20-07-2023,56
21-07-2023,38
22-07-2023,23
23-07-2023,20
24-07-2023,19
25-07-2023,42
26-07-2023,51
27-07-2023,29
28-07-2023,28
29-07-2023,22
30-07-2023,32
31-07-2023,28
01-08-2023,36
02-08-2023,29
03-08-2023,16
04-08-2023,18
05-08-2023,36
06-08-2023,50
07-08-2023,48
08-08-2023,65
09-08-2023,82
10-08-2023,88
11-08-2023,102
12-08-2023,92
13-08-2023,66
14-08-2023,50
15-08-2023,50
16-08-2023,52
17-08-2023,48
18-08-2023,33
19-08-2023,36
20-08-2023,31
21-08-2023,42
22-08-2023,44
23-08-2023,55
24-08-2023,43
25-08-2023,40
26-08-2023,41
27-08-2023,53
28-08-2023,73
29-08-2023,136
30-08-2023,75
31-08-2023,48
01-09-2023,61
02-09-2023,56
03-09-2023,33
04-09-2023,23
05-09-2023,32
06-09-2023,46
07-09-2023,30
08-09-2023,24
09-09-2023,28
10-09-2023,27
11-09-2023,24
12-09-2023,33
13-09-2023,35
14-09-2023,23
15-09-2023,65
16-09-2023,29
17-09-2023,26
18-09-2023,33
19-09-2023,32
20-09-2023,38
21-09-2023,26
22-09-2023,18
23-09-2023,18
24-09-2023,27
25-09-2023,44
26-09-2023,45
27-09-2023,39
28-09-2023,62
29-09-2023,61
30-09-2023,40
01-10-2023,46
02-10-2023,50
03-10-2023,22
04-10-2023,59
05-10-2023,70
06-10-2023,86
07-10-2023,67
08-10-2023,80
09-10-2023,67
10-10-2023,84
11-10-2023,72
12-10-2023,88
13-10-2023,82
14-10-2023,112
