Date,AQI
16-05-2023,144
17-05-2023,75
18-05-2023,88
19-05-2023,75
20-05-2023,111
21-05-2023,90
23-05-2023,80
06-06-2023,68
08-06-2023,104
09-06-2023,102
11-06-2023,51
12-06-2023,65
15-06-2023,81
16-06-2023,89
17-06-2023,68
22-06-2023,111
23-06-2023,111
27-06-2023,62
01-07-2023,59
02-07-2023,60
07-07-2023,77
08-07-2023,61
11-07-2023,79
12-07-2023,98
13-07-2023,143
14-07-2023,106
18-07-2023,115
19-07-2023,315
20-07-2023,133
21-07-2023,128
22-07-2023,104
24-07-2023,93
27-07-2023,58
28-07-2023,87
30-07-2023,58
31-07-2023,99
01-08-2023,110
02-08-2023,109
03-08-2023,128
08-08-2023,129
09-08-2023,160
10-08-2023,145
11-08-2023,122
12-08-2023,127
13-08-2023,114
14-08-2023,123
15-08-2023,154
18-08-2023,162
20-08-2023,134
21-08-2023,86
22-08-2023,98
23-08-2023,97
24-08-2023,108
25-08-2023,135
26-08-2023,145
27-08-2023,215
29-08-2023,128
30-08-2023,139
31-08-2023,135
01-09-2023,139
02-09-2023,133
03-09-2023,121
04-09-2023,114
05-09-2023,114
06-09-2023,92
07-09-2023,62
08-09-2023,79
09-09-2023,88
11-09-2023,96
12-09-2023,105
13-09-2023,101
15-09-2023,96
16-09-2023,72
17-09-2023,48
18-09-2023,45
19-09-2023,68
20-09-2023,85
21-09-2023,74
22-09-2023,92
26-09-2023,75
27-09-2023,65
28-09-2023,78
29-09-2023,156
30-09-2023,148
01-10-2023,119
02-10-2023,141
03-10-2023,112
04-10-2023,100
05-10-2023,88
06-10-2023,85
07-10-2023,72
08-10-2023,72
10-10-2023,91
11-10-2023,98
12-10-2023,104
13-10-2023,116
14-10-2023,95
15-10-2023,79
16-10-2023,74
17-10-2023,87
18-10-2023,77
19-10-2023,89
21-10-2023,141
24-10-2023,130
25-10-2023,134
26-10-2023,131
27-10-2023,125
28-10-2023,136
30-10-2023,141
31-10-2023,162
02-11-2023,166
03-11-2023,160
04-11-2023,167
05-11-2023,159
06-11-2023,153
07-11-2023,137
08-11-2023,143
09-11-2023,177
10-11-2023,182
11-11-2023,99
12-11-2023,105
16-11-2023,252
17-11-2023,279
18-11-2023,292
19-11-2023,286
20-11-2023,274
21-11-2023,287
23-11-2023,136
24-11-2023,234
25-11-2023,252
26-11-2023,227
27-11-2023,186
28-11-2023,72
29-11-2023,149
30-11-2023,203
01-12-2023,198
02-12-2023,178
03-12-2023,244
04-12-2023,75
05-12-2023,85
06-12-2023,178
07-12-2023,191
09-12-2023,256
10-12-2023,232
11-12-2023,224
12-12-2023,172
13-12-2023,198
14-12-2023,136
15-12-2023,186
16-12-2023,225
17-12-2023,194
18-12-2023,143
19-12-2023,118
21-12-2023,257
22-12-2023,222
23-12-2023,184
24-12-2023,303
25-12-2023,327
26-12-2023,307
27-12-2023,331
28-12-2023,262
29-12-2023,246
30-12-2023,133
31-12-2023,206
