Date,AQI
16-10-2017,426
17-10-2017,453
18-10-2017,446
19-10-2017,425
20-10-2017,318
21-10-2017,258
22-10-2017,370
23-10-2017,352
24-10-2017,361
25-10-2017,397
26-10-2017,386
27-10-2017,376
28-10-2017,358
29-10-2017,360
30-10-2017,386
31-10-2017,404
01-11-2017,417
02-11-2017,372
03-11-2017,401
04-11-2017,369
05-11-2017,407
07-11-2017,439
08-11-2017,467
09-11-2017,468
10-11-2017,463
11-11-2017,435
12-11-2017,447
13-11-2017,470
14-11-2017,365
15-11-2017,331
16-11-2017,338
17-11-2017,301
18-11-2017,272
19-11-2017,322
20-11-2017,306
21-11-2017,261
22-11-2017,281
24-11-2017,300
25-11-2017,275
26-11-2017,408
27-11-2017,359
28-11-2017,115
14-12-2017,275
17-12-2017,206
21-12-2017,356
22-12-2017,326
23-12-2017,258
24-12-2017,265
26-12-2017,330
27-12-2017,326
28-12-2017,380
29-12-2017,391
30-12-2017,393
31-12-2017,366
01-01-2018,411
02-01-2018,392
03-01-2018,342
04-01-2018,337
05-01-2018,332
06-01-2018,369
07-01-2018,67
08-01-2018,282
09-01-2018,312
11-01-2018,361
12-01-2018,292
13-01-2018,354
16-01-2018,228
17-01-2018,364
18-01-2018,360
23-01-2018,295
25-01-2018,205
26-01-2018,426
27-01-2018,309
28-01-2018,377
29-01-2018,355
01-02-2018,340
02-02-2018,348
05-02-2018,332
10-02-2018,362
11-02-2018,342
12-02-2018,153
13-02-2018,207
14-02-2018,303
15-02-2018,225
16-02-2018,280
17-02-2018,289
28-02-2018,301
01-03-2018,324
02-03-2018,200
03-03-2018,184
04-03-2018,226
05-03-2018,207
06-03-2018,212
07-03-2018,260
08-03-2018,288
09-03-2018,275
10-03-2018,242
11-03-2018,205
12-03-2018,244
13-03-2018,346
14-03-2018,289
15-03-2018,279
16-03-2018,379
17-03-2018,258
18-03-2018,313
19-03-2018,373
25-03-2018,304
28-03-2018,351
29-03-2018,334
31-03-2018,387
01-04-2018,250
03-04-2018,250
04-04-2018,250
05-04-2018,379
06-04-2018,303
08-04-2018,142
11-04-2018,201
17-04-2018,287
18-04-2018,358
19-04-2018,388
22-04-2018,377
23-04-2018,255
25-04-2018,312
26-04-2018,332
27-04-2018,335
28-04-2018,315
29-04-2018,327
30-04-2018,273
01-05-2018,294
02-05-2018,271
03-05-2018,216
04-05-2018,128
05-05-2018,239
06-05-2018,398
07-05-2018,253
08-05-2018,272
10-05-2018,291
11-05-2018,348
22-05-2018,369
23-05-2018,396
24-05-2018,374
25-05-2018,345
26-05-2018,348
27-05-2018,388
28-05-2018,412
29-05-2018,359
30-05-2018,367
31-05-2018,253
01-06-2018,261
03-06-2018,215
04-06-2018,197
05-06-2018,201
06-06-2018,173
07-06-2018,176
08-06-2018,262
09-06-2018,269
12-06-2018,413
13-06-2018,483
14-06-2018,421
15-06-2018,214
16-06-2018,352
17-06-2018,370
18-06-2018,281
19-06-2018,267
20-06-2018,245
21-06-2018,385
24-06-2018,343
25-06-2018,317
26-06-2018,234
27-06-2018,156
29-06-2018,89
30-06-2018,100
01-07-2018,136
04-07-2018,141
05-07-2018,198
06-07-2018,263
10-07-2018,161
11-07-2018,136
12-07-2018,132
13-07-2018,112
14-07-2018,122
16-07-2018,93
17-07-2018,133
18-07-2018,167
19-07-2018,159
20-07-2018,171
21-07-2018,205
24-07-2018,118
25-07-2018,92
26-07-2018,135
27-07-2018,200
28-07-2018,140
29-07-2018,140
30-07-2018,206
31-07-2018,201
02-08-2018,304
03-08-2018,300
04-08-2018,298
09-08-2018,193
10-08-2018,221
11-08-2018,134
12-08-2018,118
13-08-2018,156
14-08-2018,152
15-08-2018,187
16-08-2018,91
17-08-2018,98
18-08-2018,108
19-08-2018,159
20-08-2018,133
21-08-2018,90
22-08-2018,416
23-08-2018,124
24-08-2018,142
25-08-2018,131
26-08-2018,191
27-08-2018,201
28-08-2018,263
29-08-2018,70
30-08-2018,131
31-08-2018,216
01-09-2018,314
03-09-2018,146
04-09-2018,112
08-09-2018,143
09-09-2018,80
10-09-2018,75
11-09-2018,98
12-09-2018,138
13-09-2018,140
14-09-2018,133
15-09-2018,187
16-09-2018,190
17-09-2018,256
18-09-2018,219
19-09-2018,296
20-09-2018,406
21-09-2018,219
24-09-2018,60
26-09-2018,160
27-09-2018,228
28-09-2018,258
29-09-2018,270
30-09-2018,284
01-10-2018,294
02-10-2018,304
03-10-2018,158
04-10-2018,298
07-10-2018,360
09-10-2018,264
10-10-2018,247
11-10-2018,276
12-10-2018,195
13-10-2018,398
14-10-2018,301
15-10-2018,356
16-10-2018,331
17-10-2018,348
18-10-2018,346
19-10-2018,391
20-10-2018,434
21-10-2018,412
22-10-2018,243
23-10-2018,288
24-10-2018,284
25-10-2018,276
26-10-2018,255
27-10-2018,343
28-10-2018,281
29-10-2018,224
30-10-2018,242
31-10-2018,161
01-11-2018,296
02-11-2018,283
03-11-2018,325
04-11-2018,184
05-11-2018,324
06-11-2018,365
07-11-2018,192
08-11-2018,306
09-11-2018,453
10-11-2018,390
12-11-2018,242
13-11-2018,319
14-11-2018,244
15-11-2018,172
