Date,AQI
21-06-2023,70
22-06-2023,65
23-06-2023,62
24-06-2023,52
25-06-2023,47
26-06-2023,49
27-06-2023,95
29-06-2023,86
30-06-2023,40
01-07-2023,69
02-07-2023,132
04-07-2023,107
05-07-2023,118
06-07-2023,85
07-07-2023,97
09-07-2023,157
10-07-2023,190
11-07-2023,172
12-07-2023,171
13-07-2023,145
14-07-2023,67
15-07-2023,42
16-07-2023,43
18-07-2023,26
19-07-2023,23
20-07-2023,24
21-07-2023,44
22-07-2023,27
23-07-2023,34
24-07-2023,22
25-07-2023,36
26-07-2023,36
27-07-2023,18
28-07-2023,21
29-07-2023,32
30-07-2023,39
31-07-2023,38
01-08-2023,33
02-08-2023,37
03-08-2023,37
04-08-2023,42
05-08-2023,45
06-08-2023,42
07-08-2023,42
08-08-2023,46
10-08-2023,54
11-08-2023,47
12-08-2023,53
13-08-2023,38
14-08-2023,53
15-08-2023,62
16-08-2023,47
17-08-2023,38
18-08-2023,35
19-08-2023,37
20-08-2023,39
21-08-2023,51
22-08-2023,46
23-08-2023,39
24-08-2023,56
25-08-2023,46
29-08-2023,64
30-08-2023,78
31-08-2023,77
01-09-2023,83
02-09-2023,59
03-09-2023,53
04-09-2023,72
05-09-2023,75
06-09-2023,80
07-09-2023,50
08-09-2023,40
09-09-2023,60
12-09-2023,52
13-09-2023,68
14-09-2023,66
18-09-2023,66
19-09-2023,45
20-09-2023,42
22-09-2023,40
23-09-2023,39
24-09-2023,60
29-09-2023,55
30-09-2023,73
01-10-2023,79
02-10-2023,105
03-10-2023,118
04-10-2023,110
06-10-2023,98
07-10-2023,95
08-10-2023,105
09-10-2023,103
10-10-2023,109
11-10-2023,106
12-10-2023,99
13-10-2023,118
14-10-2023,118
15-10-2023,142
16-10-2023,155
17-10-2023,188
21-10-2023,128
24-10-2023,173
25-10-2023,140
26-10-2023,145
27-10-2023,142
28-10-2023,124
02-11-2023,183
05-11-2023,229
07-11-2023,205
08-11-2023,180
09-11-2023,66
10-11-2023,49
13-11-2023,186
14-11-2023,161
16-11-2023,155
17-11-2023,176
19-11-2023,238
20-11-2023,167
21-11-2023,137
22-11-2023,181
23-11-2023,211
24-11-2023,214
28-11-2023,82
29-11-2023,120
30-11-2023,156
02-12-2023,150
03-12-2023,164
05-12-2023,130
08-12-2023,158
09-12-2023,110
10-12-2023,145
11-12-2023,158
12-12-2023,175
14-12-2023,167
15-12-2023,164
16-12-2023,186
17-12-2023,189
18-12-2023,189
19-12-2023,161
20-12-2023,140
22-12-2023,184
23-12-2023,242
24-12-2023,223
27-12-2023,224
28-12-2023,244
29-12-2023,226
30-12-2023,234
31-12-2023,240
