Date,AQI
09-01-2019,99
10-01-2019,87
11-01-2019,185
12-01-2019,175
13-01-2019,147
14-01-2019,94
15-01-2019,80
16-01-2019,126
17-01-2019,259
18-01-2019,254
19-01-2019,199
20-01-2019,182
21-01-2019,150
22-01-2019,85
23-01-2019,53
24-01-2019,78
25-01-2019,61
26-01-2019,97
27-01-2019,90
28-01-2019,79
29-01-2019,84
30-01-2019,93
31-01-2019,146
01-02-2019,142
02-02-2019,124
03-02-2019,106
04-02-2019,105
05-02-2019,189
06-02-2019,130
07-02-2019,92
08-02-2019,112
09-02-2019,82
10-02-2019,100
11-02-2019,99
12-02-2019,103
13-02-2019,118
14-02-2019,135
15-02-2019,96
16-02-2019,89
17-02-2019,75
18-02-2019,111
20-02-2019,119
21-02-2019,96
22-02-2019,75
24-02-2019,65
25-02-2019,93
26-02-2019,58
27-02-2019,59
28-02-2019,73
01-03-2019,82
02-03-2019,70
03-03-2019,69
04-03-2019,72
05-03-2019,91
06-03-2019,66
07-03-2019,100
08-03-2019,89
09-03-2019,82
10-03-2019,86
11-03-2019,118
12-03-2019,82
13-03-2019,115
14-03-2019,119
15-03-2019,68
16-03-2019,93
17-03-2019,77
18-03-2019,93
19-03-2019,115
20-03-2019,105
21-03-2019,93
22-03-2019,69
23-03-2019,88
24-03-2019,82
25-03-2019,82
26-03-2019,92
27-03-2019,88
28-03-2019,146
29-03-2019,116
30-03-2019,165
31-03-2019,98
01-04-2019,109
02-04-2019,122
03-04-2019,93
04-04-2019,168
05-04-2019,187
06-04-2019,162
07-04-2019,179
08-04-2019,270
09-04-2019,187
10-04-2019,147
11-04-2019,97
12-04-2019,105
13-04-2019,89
14-04-2019,77
15-04-2019,97
16-04-2019,114
17-04-2019,72
18-04-2019,47
19-04-2019,71
20-04-2019,89
21-04-2019,90
22-04-2019,108
23-04-2019,185
24-04-2019,279
25-04-2019,235
26-04-2019,240
27-04-2019,220
28-04-2019,228
29-04-2019,287
30-04-2019,263
01-05-2019,219
02-05-2019,240
03-05-2019,152
04-05-2019,146
05-05-2019,174
06-05-2019,174
07-05-2019,236
08-05-2019,299
09-05-2019,322
10-05-2019,300
11-05-2019,138
12-05-2019,274
13-05-2019,299
15-05-2019,230
16-05-2019,123
17-05-2019,214
18-05-2019,92
19-05-2019,109
20-05-2019,203
21-05-2019,182
22-05-2019,158
23-05-2019,238
24-05-2019,66
25-05-2019,79
26-05-2019,78
27-05-2019,115
28-05-2019,102
29-05-2019,135
30-05-2019,206
31-05-2019,247
01-06-2019,221
02-06-2019,220
03-06-2019,212
04-06-2019,160
05-06-2019,223
06-06-2019,196
07-06-2019,146
08-06-2019,185
09-06-2019,179
10-06-2019,194
11-06-2019,226
12-06-2019,186
13-06-2019,149
14-06-2019,150
15-06-2019,176
17-06-2019,73
18-06-2019,57
19-06-2019,133
20-06-2019,146
21-06-2019,121
22-06-2019,119
23-06-2019,126
24-06-2019,81
25-06-2019,82
26-06-2019,95
27-06-2019,196
28-06-2019,208
29-06-2019,214
30-06-2019,216
02-07-2019,250
03-07-2019,135
04-07-2019,65
05-07-2019,73
06-07-2019,78
07-07-2019,69
08-07-2019,86
09-07-2019,109
10-07-2019,133
11-07-2019,288
12-07-2019,289
13-07-2019,192
14-07-2019,294
15-07-2019,207
16-07-2019,127
17-07-2019,73
18-07-2019,73
20-07-2019,134
21-07-2019,109
22-07-2019,129
23-07-2019,143
24-07-2019,113
26-07-2019,115
27-07-2019,108
28-07-2019,178
29-07-2019,97
30-07-2019,98
31-07-2019,89
01-08-2019,75
04-08-2019,93
05-08-2019,73
06-08-2019,66
07-08-2019,58
08-08-2019,58
09-08-2019,49
10-08-2019,54
11-08-2019,51
12-08-2019,44
13-08-2019,44
14-08-2019,39
15-08-2019,58
16-08-2019,40
17-08-2019,29
18-08-2019,32
19-08-2019,70
20-08-2019,71
21-08-2019,103
22-08-2019,74
23-08-2019,83
24-08-2019,79
25-08-2019,83
26-08-2019,71
27-08-2019,79
28-08-2019,74
29-08-2019,66
30-08-2019,61
31-08-2019,89
01-09-2019,70
02-09-2019,59
03-09-2019,78
04-09-2019,86
05-09-2019,118
06-09-2019,72
07-09-2019,82
08-09-2019,76
09-09-2019,96
10-09-2019,153
11-09-2019,170
12-09-2019,152
13-09-2019,93
14-09-2019,81
15-09-2019,73
16-09-2019,84
17-09-2019,124
18-09-2019,95
19-09-2019,80
20-09-2019,64
22-09-2019,64
23-09-2019,64
24-09-2019,64
25-09-2019,71
26-09-2019,65
27-09-2019,59
28-09-2019,64
29-09-2019,52
30-09-2019,50
01-10-2019,68
02-10-2019,72
03-10-2019,98
05-10-2019,71
08-10-2019,100
09-10-2019,118
10-10-2019,126
11-10-2019,173
12-10-2019,172
13-10-2019,123
14-10-2019,131
15-10-2019,145
16-10-2019,145
17-10-2019,152
18-10-2019,161
19-10-2019,76
20-10-2019,106
21-10-2019,117
22-10-2019,115
23-10-2019,145
24-10-2019,150
25-10-2019,177
26-10-2019,147
27-10-2019,340
28-10-2019,337
29-10-2019,347
30-10-2019,360
31-10-2019,373
01-11-2019,466
02-11-2019,378
03-11-2019,432
04-11-2019,384
05-11-2019,219
06-11-2019,185
07-11-2019,197
08-11-2019,236
09-11-2019,169
10-11-2019,192
11-11-2019,278
12-11-2019,398
13-11-2019,471
14-11-2019,400
16-11-2019,288
17-11-2019,173
18-11-2019,111
19-11-2019,111
20-11-2019,228
21-11-2019,292
22-11-2019,298
23-11-2019,262
24-11-2019,229
25-11-2019,205
26-11-2019,233
27-11-2019,78
28-11-2019,103
29-11-2019,89
30-11-2019,105
01-12-2019,145
02-12-2019,180
03-12-2019,174
04-12-2019,167
05-12-2019,293
06-12-2019,357
07-12-2019,343
08-12-2019,319
09-12-2019,307
10-12-2019,299
11-12-2019,344
