Date,AQI
23-09-2019,51
24-09-2019,59
25-09-2019,58
26-09-2019,36
27-09-2019,40
28-09-2019,39
29-09-2019,36
30-09-2019,32
01-10-2019,47
02-10-2019,62
03-10-2019,94
04-10-2019,110
05-10-2019,115
06-10-2019,82
07-10-2019,105
08-10-2019,136
09-10-2019,113
10-10-2019,108
11-10-2019,150
12-10-2019,121
13-10-2019,187
14-10-2019,171
16-10-2019,146
17-10-2019,163
18-10-2019,159
19-10-2019,155
20-10-2019,145
21-10-2019,240
22-10-2019,203
23-10-2019,120
24-10-2019,112
25-10-2019,205
26-10-2019,116
27-10-2019,88
28-10-2019,157
29-10-2019,71
30-10-2019,87
31-10-2019,128
01-11-2019,184
02-11-2019,157
03-11-2019,75
04-11-2019,143
05-11-2019,128
06-11-2019,151
07-11-2019,194
08-11-2019,71
09-11-2019,199
10-11-2019,222
11-11-2019,207
12-11-2019,181
13-11-2019,201
15-11-2019,228
16-11-2019,233
17-11-2019,242
18-11-2019,182
19-11-2019,167
20-11-2019,171
21-11-2019,243
22-11-2019,235
23-11-2019,229
24-11-2019,241
25-11-2019,213
26-11-2019,191
27-11-2019,290
28-11-2019,264
29-11-2019,207
30-11-2019,237
01-12-2019,206
02-12-2019,243
03-12-2019,243
04-12-2019,121
05-12-2019,138
06-12-2019,117
07-12-2019,212
08-12-2019,292
09-12-2019,277
10-12-2019,271
11-12-2019,274
12-12-2019,230
13-12-2019,83
14-12-2019,137
15-12-2019,119
16-12-2019,134
17-12-2019,207
18-12-2019,203
19-12-2019,131
20-12-2019,210
21-12-2019,192
22-12-2019,131
23-12-2019,182
24-12-2019,110
25-12-2019,260
26-12-2019,214
27-12-2019,123
28-12-2019,91
29-12-2019,124
30-12-2019,125
31-12-2019,208
01-01-2020,232
02-01-2020,197
03-01-2020,210
04-01-2020,178
05-01-2020,181
06-01-2020,100
07-01-2020,114
08-01-2020,158
09-01-2020,195
10-01-2020,118
11-01-2020,115
12-01-2020,126
13-01-2020,147
14-01-2020,166
15-01-2020,199
16-01-2020,301
17-01-2020,196
18-01-2020,180
19-01-2020,140
20-01-2020,118
21-01-2020,106
22-01-2020,158
23-01-2020,142
24-01-2020,133
25-01-2020,159
26-01-2020,195
27-01-2020,111
28-01-2020,180
29-01-2020,117
30-01-2020,118
31-01-2020,104
01-02-2020,93
02-02-2020,87
03-02-2020,90
04-02-2020,110
05-02-2020,120
06-02-2020,123
07-02-2020,114
08-02-2020,119
09-02-2020,102
10-02-2020,97
11-02-2020,102
12-02-2020,112
13-02-2020,195
14-02-2020,147
15-02-2020,161
16-02-2020,144
17-02-2020,115
18-02-2020,120
19-02-2020,117
20-02-2020,150
21-02-2020,121
22-02-2020,145
23-02-2020,156
24-02-2020,128
25-02-2020,109
26-02-2020,141
27-02-2020,161
28-02-2020,142
29-02-2020,132
01-03-2020,149
02-03-2020,112
03-03-2020,116
04-03-2020,130
05-03-2020,129
06-03-2020,136
07-03-2020,123
08-03-2020,96
09-03-2020,83
10-03-2020,93
11-03-2020,82
12-03-2020,89
13-03-2020,87
14-03-2020,131
15-03-2020,128
16-03-2020,130
17-03-2020,114
18-03-2020,101
19-03-2020,102
20-03-2020,115
21-03-2020,116
22-03-2020,139
23-03-2020,105
24-03-2020,116
25-03-2020,84
26-03-2020,80
27-03-2020,48
08-04-2020,103
09-04-2020,101
10-04-2020,96
11-04-2020,95
13-04-2020,98
14-04-2020,108
15-04-2020,95
16-04-2020,121
17-04-2020,109
18-04-2020,127
19-04-2020,109
20-04-2020,128
21-04-2020,109
22-04-2020,105
23-04-2020,111
24-04-2020,106
25-04-2020,118
26-04-2020,121
27-04-2020,103
28-04-2020,112
29-04-2020,147
30-04-2020,113
01-05-2020,102
02-05-2020,98
03-05-2020,74
04-05-2020,104
05-05-2020,97
06-05-2020,118
07-05-2020,94
08-05-2020,103
09-05-2020,94
10-05-2020,96
11-05-2020,161
12-05-2020,106
13-05-2020,118
14-05-2020,104
15-05-2020,103
16-05-2020,115
17-05-2020,115
18-05-2020,88
19-05-2020,105
20-05-2020,111
21-05-2020,128
22-05-2020,91
23-05-2020,73
24-05-2020,58
25-05-2020,40
26-05-2020,61
27-05-2020,107
28-05-2020,107
29-05-2020,106
30-05-2020,117
31-05-2020,126
01-06-2020,102
02-06-2020,78
