Date,AQI
02-11-2023,93
03-11-2023,64
04-11-2023,84
05-11-2023,85
06-11-2023,108
07-11-2023,222
08-11-2023,199
09-11-2023,195
10-11-2023,234
11-11-2023,245
12-11-2023,260
13-11-2023,380
14-11-2023,264
15-11-2023,198
16-11-2023,115
17-11-2023,90
18-11-2023,85
19-11-2023,75
20-11-2023,98
21-11-2023,82
22-11-2023,166
23-11-2023,287
24-11-2023,292
25-11-2023,293
26-11-2023,240
27-11-2023,226
28-11-2023,244
29-11-2023,267
30-11-2023,214
01-12-2023,218
02-12-2023,142
03-12-2023,186
05-12-2023,202
06-12-2023,56
07-12-2023,58
08-12-2023,52
09-12-2023,90
10-12-2023,107
11-12-2023,160
12-12-2023,180
13-12-2023,206
14-12-2023,210
15-12-2023,192
16-12-2023,270
17-12-2023,257
18-12-2023,243
19-12-2023,263
20-12-2023,294
21-12-2023,261
22-12-2023,274
23-12-2023,307
24-12-2023,261
25-12-2023,272
26-12-2023,262
27-12-2023,240
28-12-2023,266
29-12-2023,300
30-12-2023,294
31-12-2023,283
