Date,AQI
04-01-2021,138
05-01-2021,66
06-01-2021,58
07-01-2021,54
08-01-2021,122
09-01-2021,50
10-01-2021,41
11-01-2021,63
12-01-2021,67
13-01-2021,90
14-01-2021,81
15-01-2021,101
16-01-2021,113
17-01-2021,100
18-01-2021,79
19-01-2021,86
20-01-2021,74
21-01-2021,102
22-01-2021,90
23-01-2021,107
24-01-2021,106
25-01-2021,113
26-01-2021,93
27-01-2021,101
28-01-2021,99
12-02-2021,92
16-02-2021,104
17-02-2021,100
18-02-2021,98
19-02-2021,91
20-02-2021,75
21-02-2021,74
22-02-2021,91
23-02-2021,108
24-02-2021,101
27-02-2021,105
02-03-2021,116
03-03-2021,96
04-03-2021,90
05-03-2021,101
06-03-2021,97
07-03-2021,105
09-03-2021,96
10-03-2021,85
12-03-2021,61
14-03-2021,54
15-03-2021,70
16-03-2021,84
17-03-2021,108
18-03-2021,114
19-03-2021,112
20-03-2021,106
26-03-2021,116
27-03-2021,133
28-03-2021,123
29-03-2021,142
30-03-2021,111
31-03-2021,102
02-04-2021,157
03-04-2021,149
04-04-2021,158
06-04-2021,119
07-04-2021,110
08-04-2021,116
09-04-2021,141
10-04-2021,117
14-05-2021,54
18-05-2021,41
21-05-2021,118
23-05-2021,98
24-05-2021,113
25-05-2021,103
26-05-2021,112
27-05-2021,79
28-05-2021,41
01-06-2021,30
06-06-2021,29
07-06-2021,26
08-06-2021,53
12-06-2021,24
13-06-2021,30
15-06-2021,26
17-06-2021,25
18-06-2021,59
19-06-2021,42
22-06-2021,102
23-06-2021,92
26-06-2021,39
30-06-2021,36
01-07-2021,33
03-07-2021,44
04-07-2021,60
06-07-2021,54
11-07-2021,47
13-07-2021,47
14-07-2021,48
15-07-2021,58
16-07-2021,53
17-07-2021,48
29-07-2021,42
03-08-2021,30
04-08-2021,34
06-08-2021,45
07-08-2021,101
08-08-2021,111
09-08-2021,98
10-08-2021,94
11-08-2021,86
12-08-2021,75
14-08-2021,67
15-08-2021,63
16-08-2021,57
17-08-2021,64
21-08-2021,60
27-08-2021,52
31-08-2021,48
01-09-2021,49
02-09-2021,47
03-09-2021,49
04-09-2021,49
07-09-2021,47
08-09-2021,46
09-09-2021,50
10-09-2021,46
11-09-2021,48
12-09-2021,44
14-09-2021,44
16-09-2021,77
17-09-2021,83
21-09-2021,42
22-09-2021,44
01-10-2021,43
02-10-2021,48
06-10-2021,42
08-10-2021,50
09-10-2021,40
12-10-2021,97
13-10-2021,98
14-10-2021,113
15-10-2021,114
16-10-2021,94
17-10-2021,46
28-10-2021,99
29-10-2021,85
03-11-2021,46
07-11-2021,73
08-11-2021,82
10-11-2021,131
11-11-2021,136
12-11-2021,154
16-11-2021,41
17-11-2021,42
18-11-2021,51
19-11-2021,50
24-11-2021,53
25-11-2021,66
02-12-2021,105
04-12-2021,138
05-12-2021,117
06-12-2021,85
07-12-2021,84
08-12-2021,147
10-12-2021,78
11-12-2021,206
12-12-2021,99
13-12-2021,246
14-12-2021,107
15-12-2021,114
16-12-2021,120
18-12-2021,104
21-12-2021,103
22-12-2021,114
23-12-2021,98
24-12-2021,134
28-12-2021,108
29-12-2021,87
30-12-2021,102
31-12-2021,70
01-01-2022,64
02-01-2022,73
04-01-2022,97
05-01-2022,94
06-01-2022,86
09-01-2022,63
10-01-2022,69
19-01-2022,95
21-01-2022,98
22-01-2022,78
23-01-2022,77
25-01-2022,437
26-01-2022,270
27-01-2022,195
28-01-2022,110
29-01-2022,82
30-01-2022,88
01-02-2022,111
02-02-2022,104
03-02-2022,108
05-02-2022,159
06-02-2022,125
07-02-2022,115
08-02-2022,111
09-02-2022,102
10-02-2022,101
11-02-2022,119
12-02-2022,100
14-02-2022,98
15-02-2022,95
16-02-2022,91
17-02-2022,92
20-02-2022,106
21-02-2022,125
22-02-2022,87
23-02-2022,93
24-02-2022,81
25-02-2022,69
27-02-2022,66
01-03-2022,64
02-03-2022,54
07-03-2022,76
09-03-2022,93
15-03-2022,104
17-03-2022,107
22-03-2022,115
23-03-2022,104
25-03-2022,124
26-03-2022,108
29-03-2022,167
30-03-2022,109
31-03-2022,137
03-04-2022,96
05-04-2022,100
06-04-2022,86
07-04-2022,94
09-04-2022,92
10-04-2022,78
11-04-2022,86
12-04-2022,86
13-04-2022,84
14-04-2022,78
18-04-2022,102
19-04-2022,92
20-04-2022,105
21-04-2022,121
26-04-2022,81
27-04-2022,91
28-04-2022,96
30-04-2022,106
01-05-2022,143
02-05-2022,111
07-05-2022,150
12-05-2022,93
22-05-2022,108
24-05-2022,70
25-05-2022,95
28-05-2022,83
29-05-2022,89
02-06-2022,86
12-10-2022,89
13-10-2022,58
22-10-2022,57
23-10-2022,57
24-10-2022,58
25-10-2022,58
26-10-2022,58
27-10-2022,58
28-10-2022,58
29-10-2022,58
30-10-2022,58
03-11-2022,77
04-11-2022,69
05-11-2022,145
06-11-2022,145
08-11-2022,71
09-11-2022,68
10-11-2022,75
11-11-2022,75
12-11-2022,79
15-11-2022,80
16-11-2022,73
17-11-2022,93
18-11-2022,87
19-11-2022,81
29-11-2022,73
01-12-2022,80
02-12-2022,66
03-12-2022,71
06-12-2022,89
07-12-2022,89
08-12-2022,76
14-12-2022,72
15-12-2022,72
16-12-2022,77
17-12-2022,81
18-12-2022,84
19-12-2022,87
20-12-2022,97
21-12-2022,99
22-12-2022,95
23-12-2022,78
24-12-2022,76
25-12-2022,78
26-12-2022,68
27-12-2022,68
28-12-2022,70
29-12-2022,69
01-01-2023,83
02-01-2023,83
03-01-2023,86
04-01-2023,85
05-01-2023,90
06-01-2023,100
07-01-2023,97
08-01-2023,80
09-01-2023,88
10-01-2023,100
11-01-2023,106
12-01-2023,110
13-01-2023,153
14-01-2023,82
15-01-2023,83
16-01-2023,81
17-01-2023,80
18-01-2023,80
19-01-2023,81
20-01-2023,81
21-01-2023,81
22-01-2023,80
23-01-2023,82
24-01-2023,80
25-01-2023,80
26-01-2023,79
27-01-2023,79
28-01-2023,80
31-01-2023,81
01-02-2023,81
02-02-2023,90
09-02-2023,93
10-02-2023,78
11-02-2023,78
12-02-2023,130
13-02-2023,110
14-02-2023,86
15-02-2023,87
16-02-2023,98
17-02-2023,119
18-02-2023,125
19-02-2023,89
20-02-2023,84
21-02-2023,86
03-03-2023,79
04-03-2023,84
05-03-2023,80
06-03-2023,90
07-03-2023,75
08-03-2023,39
10-03-2023,59
11-03-2023,63
12-03-2023,74
14-03-2023,68
15-03-2023,76
16-03-2023,112
17-03-2023,104
18-03-2023,102
19-03-2023,103
20-03-2023,101
21-03-2023,99
22-03-2023,104
23-03-2023,105
24-03-2023,106
25-03-2023,108
26-03-2023,105
27-03-2023,105
28-03-2023,105
29-03-2023,107
30-03-2023,107
31-03-2023,106
01-04-2023,105
12-04-2023,66
13-04-2023,72
20-04-2023,58
21-04-2023,51
22-04-2023,39
23-04-2023,41
24-04-2023,47
26-04-2023,26
19-05-2023,37
20-05-2023,36
21-05-2023,34
22-05-2023,30
23-05-2023,38
24-05-2023,41
28-05-2023,35
29-05-2023,40
30-05-2023,52
31-05-2023,47
02-06-2023,54
03-06-2023,55
06-06-2023,40
07-06-2023,48
09-06-2023,42
10-06-2023,45
13-06-2023,50
14-06-2023,48
15-06-2023,48
16-06-2023,49
17-06-2023,51
18-06-2023,55
19-06-2023,54
20-06-2023,56
21-06-2023,62
23-06-2023,55
26-06-2023,43
27-06-2023,41
01-07-2023,41
04-07-2023,39
11-07-2023,51
16-07-2023,23
17-07-2023,27
30-07-2023,26
31-07-2023,24
02-08-2023,30
03-08-2023,25
04-08-2023,42
05-08-2023,39
06-08-2023,35
07-08-2023,43
08-08-2023,56
09-08-2023,56
11-08-2023,25
12-08-2023,45
13-08-2023,33
15-08-2023,22
16-08-2023,25
17-08-2023,30
18-08-2023,28
19-08-2023,23
20-08-2023,25
21-08-2023,23
23-08-2023,27
24-08-2023,27
25-08-2023,27
26-08-2023,26
27-08-2023,24
28-08-2023,25
