Date,AQI
23-07-2021,85
24-07-2021,58
25-07-2021,77
26-07-2021,71
27-07-2021,79
28-07-2021,78
29-07-2021,84
30-07-2021,66
31-07-2021,44
01-08-2021,53
02-08-2021,59
07-08-2021,102
10-08-2021,105
30-11-2021,421
01-12-2021,341
02-12-2021,345
03-12-2021,407
04-12-2021,380
05-12-2021,282
06-12-2021,271
07-12-2021,234
08-12-2021,301
09-12-2021,267
10-12-2021,275
11-12-2021,331
12-12-2021,377
13-12-2021,414
14-12-2021,355
15-12-2021,314
16-12-2021,355
17-12-2021,325
18-12-2021,340
19-12-2021,300
20-12-2021,351
21-12-2021,360
22-12-2021,383
23-12-2021,371
24-12-2021,433
26-12-2021,315
27-12-2021,306
28-12-2021,276
01-01-2022,111
02-01-2022,121
03-01-2022,261
04-01-2022,268
05-01-2022,270
06-01-2022,340
07-01-2022,316
08-01-2022,242
10-01-2022,138
11-01-2022,263
13-01-2022,92
14-01-2022,180
15-01-2022,235
16-01-2022,200
18-01-2022,275
19-01-2022,287
20-01-2022,260
21-01-2022,319
23-01-2022,207
24-01-2022,98
25-01-2022,178
27-01-2022,111
28-01-2022,141
29-01-2022,198
30-01-2022,124
31-01-2022,242
01-02-2022,277
02-02-2022,263
03-02-2022,262
04-02-2022,161
05-02-2022,106
06-02-2022,95
07-02-2022,135
08-02-2022,185
10-02-2022,224
11-02-2022,142
12-02-2022,117
13-02-2022,121
14-02-2022,158
15-02-2022,207
16-02-2022,141
17-02-2022,164
18-02-2022,117
19-02-2022,118
20-02-2022,114
21-02-2022,128
23-02-2022,157
24-02-2022,131
25-02-2022,230
26-02-2022,223
28-02-2022,137
01-03-2022,141
02-03-2022,187
03-03-2022,246
04-03-2022,227
05-03-2022,194
06-03-2022,213
07-03-2022,300
08-03-2022,249
09-03-2022,209
10-03-2022,246
12-03-2022,175
13-03-2022,203
14-03-2022,247
15-03-2022,246
16-03-2022,302
17-03-2022,373
18-03-2022,366
19-03-2022,255
20-03-2022,365
22-03-2022,231
23-03-2022,238
24-03-2022,181
25-03-2022,216
27-03-2022,158
30-03-2022,416
01-04-2022,418
02-04-2022,388
03-04-2022,296
04-04-2022,368
05-04-2022,312
06-04-2022,333
08-04-2022,299
09-04-2022,338
10-04-2022,265
14-04-2022,293
15-04-2022,250
16-04-2022,263
17-04-2022,289
18-04-2022,328
21-04-2022,201
22-04-2022,213
23-04-2022,300
24-04-2022,309
27-04-2022,272
28-04-2022,219
02-05-2022,190
03-05-2022,149
04-05-2022,111
05-05-2022,130
06-05-2022,151
07-05-2022,168
08-05-2022,175
09-05-2022,161
10-05-2022,114
14-05-2022,104
15-05-2022,97
16-05-2022,290
18-05-2022,88
19-05-2022,321
24-05-2022,190
25-05-2022,178
26-05-2022,188
27-05-2022,173
28-05-2022,185
29-05-2022,209
30-05-2022,365
31-05-2022,362
01-06-2022,260
02-06-2022,214
03-06-2022,231
04-06-2022,413
05-06-2022,258
06-06-2022,401
07-06-2022,312
08-06-2022,292
09-06-2022,425
10-06-2022,199
11-06-2022,320
12-06-2022,343
13-06-2022,244
14-06-2022,248
16-06-2022,110
17-06-2022,132
18-06-2022,110
19-06-2022,70
