Date,AQI
13-03-2023,258
14-03-2023,237
15-03-2023,224
16-03-2023,195
17-03-2023,217
18-03-2023,142
19-03-2023,187
20-03-2023,109
21-03-2023,134
22-03-2023,154
23-03-2023,162
24-03-2023,109
25-03-2023,122
26-03-2023,193
27-03-2023,149
28-03-2023,160
29-03-2023,173
30-03-2023,141
31-03-2023,57
01-04-2023,111
02-04-2023,110
03-04-2023,145
04-04-2023,185
05-04-2023,154
06-04-2023,101
07-04-2023,155
08-04-2023,188
09-04-2023,207
10-04-2023,177
11-04-2023,248
12-04-2023,201
13-04-2023,175
14-04-2023,195
15-04-2023,148
16-04-2023,130
17-04-2023,154
18-04-2023,252
19-04-2023,162
20-04-2023,174
21-04-2023,185
22-04-2023,197
26-04-2023,168
27-04-2023,150
28-04-2023,224
29-04-2023,122
30-04-2023,57
01-05-2023,77
02-05-2023,95
03-05-2023,109
04-05-2023,103
05-05-2023,251
06-05-2023,144
07-05-2023,124
08-05-2023,194
09-05-2023,177
10-05-2023,152
11-05-2023,196
12-05-2023,179
13-05-2023,193
14-05-2023,299
15-05-2023,230
16-05-2023,266
17-05-2023,251
18-05-2023,339
19-05-2023,250
20-05-2023,258
21-05-2023,159
22-05-2023,178
23-05-2023,139
24-05-2023,179
25-05-2023,133
26-05-2023,100
27-05-2023,188
28-05-2023,144
29-05-2023,60
30-05-2023,142
31-05-2023,86
01-06-2023,88
02-06-2023,100
03-06-2023,112
04-06-2023,83
05-06-2023,68
06-06-2023,91
07-06-2023,253
08-06-2023,189
09-06-2023,119
10-06-2023,253
12-06-2023,120
13-06-2023,97
14-06-2023,127
15-06-2023,136
16-06-2023,141
17-06-2023,116
18-06-2023,173
19-06-2023,126
20-06-2023,202
21-06-2023,111
22-06-2023,104
23-06-2023,106
24-06-2023,116
25-06-2023,120
26-06-2023,301
27-06-2023,82
28-06-2023,81
29-06-2023,64
30-06-2023,65
01-07-2023,83
02-07-2023,100
03-07-2023,76
04-07-2023,80
05-07-2023,84
06-07-2023,82
07-07-2023,62
08-07-2023,56
09-07-2023,46
10-07-2023,67
11-07-2023,90
12-07-2023,120
13-07-2023,108
14-07-2023,122
15-07-2023,163
18-07-2023,88
19-07-2023,86
20-07-2023,107
21-07-2023,66
22-07-2023,84
23-07-2023,123
24-07-2023,96
25-07-2023,81
26-07-2023,62
27-07-2023,45
28-07-2023,27
29-07-2023,44
30-07-2023,35
31-07-2023,61
01-08-2023,73
02-08-2023,85
03-08-2023,90
04-08-2023,88
05-08-2023,106
06-08-2023,110
07-08-2023,120
08-08-2023,118
09-08-2023,119
10-08-2023,119
11-08-2023,124
12-08-2023,116
13-08-2023,105
14-08-2023,142
15-08-2023,165
16-08-2023,155
17-08-2023,146
18-08-2023,176
19-08-2023,169
20-08-2023,114
21-08-2023,108
22-08-2023,96
23-08-2023,106
24-08-2023,104
25-08-2023,119
26-08-2023,154
27-08-2023,188
28-08-2023,169
29-08-2023,128
30-08-2023,122
31-08-2023,121
01-09-2023,119
02-09-2023,123
03-09-2023,108
04-09-2023,94
05-09-2023,98
06-09-2023,155
07-09-2023,120
08-09-2023,141
09-09-2023,124
10-09-2023,95
11-09-2023,111
12-09-2023,110
13-09-2023,110
14-09-2023,106
15-09-2023,107
16-09-2023,97
17-09-2023,60
18-09-2023,146
19-09-2023,51
20-09-2023,133
21-09-2023,70
22-09-2023,58
23-09-2023,69
24-09-2023,81
25-09-2023,92
26-09-2023,110
27-09-2023,158
28-09-2023,220
29-09-2023,215
30-09-2023,157
01-10-2023,173
02-10-2023,190
03-10-2023,172
04-10-2023,159
05-10-2023,144
06-10-2023,109
07-10-2023,109
08-10-2023,95
09-10-2023,107
10-10-2023,109
11-10-2023,171
12-10-2023,218
13-10-2023,146
14-10-2023,126
15-10-2023,137
16-10-2023,132
17-10-2023,95
18-10-2023,120
19-10-2023,140
20-10-2023,192
21-10-2023,163
22-10-2023,206
23-10-2023,188
24-10-2023,186
25-10-2023,212
26-10-2023,203
27-10-2023,207
28-10-2023,176
29-10-2023,128
30-10-2023,228
31-10-2023,221
01-11-2023,247
02-11-2023,305
03-11-2023,260
05-11-2023,243
07-11-2023,173
08-11-2023,272
09-11-2023,301
10-11-2023,118
11-11-2023,196
12-11-2023,193
13-11-2023,263
14-11-2023,311
15-11-2023,395
16-11-2023,354
17-11-2023,347
18-11-2023,380
19-11-2023,310
20-11-2023,362
21-11-2023,374
22-11-2023,360
23-11-2023,256
24-11-2023,286
25-11-2023,320
26-11-2023,324
27-11-2023,149
28-11-2023,331
29-11-2023,352
30-11-2023,363
01-12-2023,378
02-12-2023,318
03-12-2023,214
04-12-2023,243
05-12-2023,211
06-12-2023,267
07-12-2023,233
08-12-2023,214
09-12-2023,251
10-12-2023,189
11-12-2023,159
12-12-2023,146
13-12-2023,223
14-12-2023,242
15-12-2023,199
17-12-2023,193
18-12-2023,263
19-12-2023,189
20-12-2023,220
21-12-2023,229
22-12-2023,205
23-12-2023,227
24-12-2023,364
25-12-2023,340
26-12-2023,219
27-12-2023,174
28-12-2023,224
29-12-2023,264
30-12-2023,266
31-12-2023,255
