Date,AQI
23-09-2021,92
24-09-2021,35
25-09-2021,53
26-09-2021,60
27-09-2021,47
28-09-2021,63
29-09-2021,62
30-09-2021,47
01-10-2021,63
02-10-2021,67
04-10-2021,58
05-10-2021,50
06-10-2021,78
07-10-2021,88
08-10-2021,83
09-10-2021,75
10-10-2021,89
11-10-2021,89
12-10-2021,93
13-10-2021,82
14-10-2021,86
15-10-2021,96
16-10-2021,52
17-10-2021,60
18-10-2021,46
19-10-2021,74
20-10-2021,65
21-10-2021,79
22-10-2021,95
23-10-2021,102
24-10-2021,111
25-10-2021,106
26-10-2021,103
27-10-2021,87
28-10-2021,86
29-10-2021,86
30-10-2021,97
01-11-2021,93
02-11-2021,91
03-11-2021,103
04-11-2021,111
05-11-2021,115
06-11-2021,74
07-11-2021,64
08-11-2021,76
09-11-2021,65
10-11-2021,68
11-11-2021,62
12-11-2021,67
13-11-2021,51
14-11-2021,45
15-11-2021,66
16-11-2021,67
17-11-2021,68
18-11-2021,115
19-11-2021,70
20-11-2021,79
21-11-2021,74
22-11-2021,50
23-11-2021,68
24-11-2021,89
25-11-2021,100
26-11-2021,92
27-11-2021,103
28-11-2021,84
30-11-2021,93
01-12-2021,103
02-12-2021,99
03-12-2021,104
04-12-2021,99
05-12-2021,88
06-12-2021,71
07-12-2021,99
08-12-2021,99
09-12-2021,97
10-12-2021,78
11-12-2021,102
12-12-2021,87
13-12-2021,90
14-12-2021,98
15-12-2021,92
16-12-2021,92
17-12-2021,103
18-12-2021,117
19-12-2021,77
20-12-2021,72
21-12-2021,108
22-12-2021,86
23-12-2021,92
24-12-2021,110
25-12-2021,117
26-12-2021,106
27-12-2021,123
28-12-2021,127
30-12-2021,55
31-12-2021,66
01-01-2022,60
02-01-2022,73
03-01-2022,58
04-01-2022,91
05-01-2022,105
06-01-2022,120
07-01-2022,101
08-01-2022,103
09-01-2022,97
10-01-2022,57
11-01-2022,65
18-01-2022,36
19-01-2022,32
21-01-2022,44
22-01-2022,40
23-01-2022,64
24-01-2022,51
25-01-2022,52
26-01-2022,57
27-01-2022,59
28-01-2022,48
29-01-2022,45
30-01-2022,62
31-01-2022,60
02-02-2022,53
03-02-2022,47
04-02-2022,56
05-02-2022,61
06-02-2022,57
07-02-2022,52
08-02-2022,64
09-02-2022,59
10-02-2022,40
11-02-2022,49
12-02-2022,52
15-02-2022,55
16-02-2022,48
17-02-2022,47
18-02-2022,49
19-02-2022,58
20-02-2022,63
21-02-2022,56
22-02-2022,50
23-02-2022,93
24-02-2022,52
25-02-2022,56
26-02-2022,55
27-02-2022,50
28-02-2022,60
01-03-2022,51
02-03-2022,52
03-03-2022,59
04-03-2022,58
05-03-2022,56
06-03-2022,61
07-03-2022,56
08-03-2022,51
09-03-2022,66
10-03-2022,68
11-03-2022,53
12-03-2022,64
13-03-2022,51
14-03-2022,55
15-03-2022,68
16-03-2022,52
17-03-2022,57
18-03-2022,52
19-03-2022,50
20-03-2022,61
21-03-2022,39
22-03-2022,55
23-03-2022,56
24-03-2022,55
25-03-2022,53
26-03-2022,56
27-03-2022,54
28-03-2022,72
29-03-2022,56
30-03-2022,84
31-03-2022,56
01-04-2022,58
02-04-2022,58
03-04-2022,70
04-04-2022,58
05-04-2022,54
06-04-2022,126
07-04-2022,55
08-04-2022,55
09-04-2022,58
10-04-2022,59
11-04-2022,57
13-04-2022,56
14-04-2022,63
15-04-2022,53
16-04-2022,67
17-04-2022,53
18-04-2022,52
19-04-2022,56
20-04-2022,61
21-04-2022,57
22-04-2022,58
23-04-2022,73
24-04-2022,59
25-04-2022,59
26-04-2022,50
27-04-2022,56
28-04-2022,59
29-04-2022,61
30-04-2022,57
01-05-2022,57
02-05-2022,42
03-05-2022,42
04-05-2022,50
05-05-2022,51
06-05-2022,58
07-05-2022,51
08-05-2022,58
09-05-2022,59
10-05-2022,53
11-05-2022,55
12-05-2022,59
13-05-2022,67
15-05-2022,60
24-05-2022,68
25-05-2022,64
26-05-2022,57
27-05-2022,58
28-05-2022,65
29-05-2022,55
30-05-2022,58
31-05-2022,62
01-06-2022,59
02-06-2022,57
03-06-2022,58
04-06-2022,68
05-06-2022,59
06-06-2022,61
07-06-2022,59
08-06-2022,53
09-06-2022,58
10-06-2022,61
11-06-2022,63
15-06-2022,54
16-06-2022,62
18-06-2022,62
21-06-2022,55
22-06-2022,62
23-06-2022,81
24-06-2022,64
25-06-2022,58
27-06-2022,69
28-06-2022,60
29-06-2022,61
30-06-2022,56
03-07-2022,49
04-07-2022,102
05-07-2022,51
06-07-2022,82
07-07-2022,67
08-07-2022,62
09-07-2022,67
10-07-2022,63
11-07-2022,70
12-07-2022,61
13-07-2022,64
14-07-2022,61
15-07-2022,68
16-07-2022,61
17-07-2022,84
18-07-2022,78
19-07-2022,79
20-07-2022,60
21-07-2022,56
22-07-2022,119
23-07-2022,61
24-07-2022,60
25-07-2022,101
26-07-2022,70
27-07-2022,58
28-07-2022,60
29-07-2022,113
30-07-2022,62
31-07-2022,63
01-08-2022,75
02-08-2022,80
03-08-2022,59
04-08-2022,77
05-08-2022,60
06-08-2022,60
08-08-2022,50
09-08-2022,67
10-08-2022,75
12-08-2022,55
13-08-2022,70
