Date,AQI
27-11-2022,150
28-11-2022,147
29-11-2022,176
30-11-2022,165
01-12-2022,142
02-12-2022,169
03-12-2022,196
04-12-2022,192
05-12-2022,206
06-12-2022,174
07-12-2022,193
08-12-2022,174
09-12-2022,157
10-12-2022,165
11-12-2022,179
12-12-2022,156
13-12-2022,148
14-12-2022,144
15-12-2022,149
16-12-2022,138
17-12-2022,146
18-12-2022,156
19-12-2022,165
20-12-2022,165
21-12-2022,173
22-12-2022,179
23-12-2022,176
24-12-2022,175
25-12-2022,156
26-12-2022,148
27-12-2022,167
28-12-2022,175
29-12-2022,262
30-12-2022,180
31-12-2022,212
01-01-2023,311
02-01-2023,355
03-01-2023,332
04-01-2023,330
05-01-2023,319
06-01-2023,284
07-01-2023,140
08-01-2023,160
10-01-2023,194
12-01-2023,205
13-01-2023,298
14-01-2023,259
15-01-2023,307
16-01-2023,246
17-01-2023,281
18-01-2023,334
19-01-2023,315
20-01-2023,304
22-01-2023,315
23-01-2023,277
24-01-2023,224
25-01-2023,258
26-01-2023,293
27-01-2023,312
28-01-2023,295
29-01-2023,291
30-01-2023,258
31-01-2023,268
02-02-2023,220
03-02-2023,126
04-02-2023,163
05-02-2023,163
06-02-2023,172
07-02-2023,118
08-02-2023,137
09-02-2023,141
10-02-2023,147
11-02-2023,142
12-02-2023,149
13-02-2023,156
14-02-2023,151
15-02-2023,140
16-02-2023,168
17-02-2023,205
18-02-2023,169
19-02-2023,183
20-02-2023,209
21-02-2023,184
22-02-2023,167
23-02-2023,208
24-02-2023,164
25-02-2023,167
26-02-2023,179
27-02-2023,163
28-02-2023,173
01-03-2023,155
02-03-2023,150
03-03-2023,184
04-03-2023,193
05-03-2023,206
06-03-2023,209
07-03-2023,170
08-03-2023,216
09-03-2023,188
10-03-2023,203
11-03-2023,185
12-03-2023,192
13-03-2023,294
14-03-2023,384
15-03-2023,280
16-03-2023,194
17-03-2023,190
18-03-2023,296
19-03-2023,128
20-03-2023,114
21-03-2023,166
22-03-2023,154
23-03-2023,163
24-03-2023,162
25-03-2023,146
26-03-2023,190
27-03-2023,136
28-03-2023,125
29-03-2023,130
30-03-2023,145
31-03-2023,89
01-04-2023,50
02-04-2023,146
03-04-2023,153
04-04-2023,185
05-04-2023,175
06-04-2023,202
07-04-2023,203
08-04-2023,209
09-04-2023,196
10-04-2023,230
11-04-2023,187
12-04-2023,189
13-04-2023,231
14-04-2023,260
15-04-2023,290
16-04-2023,249
17-04-2023,245
18-04-2023,283
19-04-2023,220
20-04-2023,219
21-04-2023,168
22-04-2023,201
23-04-2023,103
24-04-2023,154
25-04-2023,118
26-04-2023,96
27-04-2023,148
28-04-2023,163
29-04-2023,161
30-04-2023,146
01-05-2023,121
02-05-2023,100
03-05-2023,122
04-05-2023,76
05-05-2023,146
06-05-2023,149
07-05-2023,158
08-05-2023,182
09-05-2023,135
12-05-2023,142
13-05-2023,122
14-05-2023,153
15-05-2023,173
16-05-2023,136
17-05-2023,131
18-05-2023,121
19-05-2023,137
20-05-2023,121
21-05-2023,143
22-05-2023,116
23-05-2023,113
24-05-2023,131
26-05-2023,104
27-05-2023,99
28-05-2023,114
29-05-2023,108
30-05-2023,163
31-05-2023,152
01-06-2023,158
02-06-2023,164
03-06-2023,168
04-06-2023,166
05-06-2023,143
06-06-2023,148
07-06-2023,161
08-06-2023,164
09-06-2023,207
10-06-2023,167
12-06-2023,192
15-06-2023,118
16-06-2023,130
17-06-2023,143
18-06-2023,119
19-06-2023,107
20-06-2023,117
21-06-2023,115
22-06-2023,104
23-06-2023,99
24-06-2023,96
25-06-2023,80
26-06-2023,43
27-06-2023,36
28-06-2023,40
29-06-2023,89
30-06-2023,96
01-07-2023,110
02-07-2023,112
03-07-2023,111
04-07-2023,79
05-07-2023,72
06-07-2023,72
07-07-2023,48
08-07-2023,78
09-07-2023,83
10-07-2023,112
11-07-2023,83
12-07-2023,70
13-07-2023,74
14-07-2023,101
15-07-2023,103
16-07-2023,52
17-07-2023,50
18-07-2023,69
20-07-2023,74
21-07-2023,82
22-07-2023,35
23-07-2023,52
24-07-2023,57
25-07-2023,96
26-07-2023,72
27-07-2023,50
28-07-2023,78
29-07-2023,91
30-07-2023,76
31-07-2023,80
01-08-2023,61
02-08-2023,53
03-08-2023,47
04-08-2023,37
05-08-2023,43
06-08-2023,66
07-08-2023,82
08-08-2023,104
09-08-2023,133
10-08-2023,156
11-08-2023,194
12-08-2023,111
13-08-2023,117
14-08-2023,109
15-08-2023,145
16-08-2023,123
17-08-2023,91
18-08-2023,81
19-08-2023,54
20-08-2023,60
21-08-2023,84
22-08-2023,108
23-08-2023,101
24-08-2023,82
25-08-2023,91
26-08-2023,104
27-08-2023,168
28-08-2023,164
29-08-2023,185
30-08-2023,206
31-08-2023,168
01-09-2023,145
02-09-2023,148
03-09-2023,124
04-09-2023,99
08-09-2023,52
09-09-2023,59
11-09-2023,80
12-09-2023,96
14-09-2023,56
15-09-2023,44
16-09-2023,81
17-09-2023,94
18-09-2023,106
19-09-2023,105
21-09-2023,71
22-09-2023,54
23-09-2023,74
24-09-2023,89
25-09-2023,113
26-09-2023,109
27-09-2023,115
28-09-2023,138
29-09-2023,142
30-09-2023,117
01-10-2023,82
02-10-2023,73
03-10-2023,48
04-10-2023,47
05-10-2023,68
07-10-2023,124
08-10-2023,125
09-10-2023,149
10-10-2023,150
13-10-2023,157
14-10-2023,166
15-10-2023,180
16-10-2023,149
17-10-2023,163
19-10-2023,175
20-10-2023,145
21-10-2023,140
22-10-2023,145
23-10-2023,153
24-10-2023,147
25-10-2023,138
26-10-2023,158
27-10-2023,162
28-10-2023,158
29-10-2023,148
30-10-2023,150
31-10-2023,154
01-11-2023,175
02-11-2023,153
03-11-2023,135
04-11-2023,104
05-11-2023,123
06-11-2023,187
07-11-2023,178
08-11-2023,181
09-11-2023,174
10-11-2023,243
12-11-2023,226
13-11-2023,295
14-11-2023,274
15-11-2023,184
16-11-2023,166
17-11-2023,140
18-11-2023,143
19-11-2023,148
20-11-2023,173
23-11-2023,239
25-11-2023,248
26-11-2023,281
27-11-2023,221
29-11-2023,188
30-11-2023,180
01-12-2023,206
02-12-2023,272
03-12-2023,269
04-12-2023,202
05-12-2023,141
06-12-2023,103
08-12-2023,64
09-12-2023,152
10-12-2023,207
12-12-2023,188
13-12-2023,179
15-12-2023,170
16-12-2023,204
19-12-2023,214
22-12-2023,205
23-12-2023,203
25-12-2023,176
26-12-2023,195
27-12-2023,183
29-12-2023,213
30-12-2023,249
31-12-2023,295
