Date,AQI
15-02-2018,138
16-02-2018,131
20-02-2018,254
21-02-2018,187
22-02-2018,178
23-02-2018,251
24-02-2018,232
25-02-2018,246
26-02-2018,140
27-02-2018,160
28-02-2018,123
01-03-2018,171
02-03-2018,217
03-03-2018,280
04-03-2018,248
05-03-2018,272
06-03-2018,187
07-03-2018,198
08-03-2018,207
09-03-2018,122
10-03-2018,241
11-03-2018,314
12-03-2018,334
13-03-2018,289
14-03-2018,286
15-03-2018,337
16-03-2018,185
17-03-2018,150
18-03-2018,190
19-03-2018,181
20-03-2018,232
21-03-2018,301
22-03-2018,209
23-03-2018,221
24-03-2018,214
25-03-2018,211
26-03-2018,211
27-03-2018,252
28-03-2018,331
29-03-2018,313
30-03-2018,307
31-03-2018,234
01-04-2018,195
02-04-2018,123
03-04-2018,125
04-04-2018,161
05-04-2018,123
06-04-2018,121
07-04-2018,120
08-04-2018,118
09-04-2018,136
10-04-2018,117
11-04-2018,118
14-04-2018,161
15-04-2018,133
16-04-2018,130
17-04-2018,179
18-04-2018,117
19-04-2018,158
20-04-2018,214
21-04-2018,115
22-04-2018,175
23-04-2018,162
24-04-2018,123
25-04-2018,153
26-04-2018,226
27-04-2018,142
28-04-2018,115
01-05-2018,119
03-05-2018,113
04-05-2018,127
05-05-2018,123
06-05-2018,133
07-05-2018,152
08-05-2018,183
10-05-2018,167
15-05-2018,114
16-05-2018,115
17-05-2018,113
18-05-2018,125
19-05-2018,112
20-05-2018,149
21-05-2018,113
22-05-2018,114
23-05-2018,160
24-05-2018,112
25-05-2018,112
26-05-2018,112
27-05-2018,111
28-05-2018,112
29-05-2018,113
30-05-2018,112
05-06-2018,107
06-06-2018,104
07-06-2018,105
08-06-2018,106
09-06-2018,106
10-06-2018,117
11-06-2018,107
12-06-2018,106
13-06-2018,106
14-06-2018,106
15-06-2018,166
16-06-2018,200
17-06-2018,168
18-06-2018,128
19-06-2018,105
20-06-2018,106
21-06-2018,107
22-06-2018,107
23-06-2018,108
24-06-2018,107
25-06-2018,107
26-06-2018,106
27-06-2018,106
28-06-2018,105
29-06-2018,106
30-06-2018,107
01-07-2018,109
02-07-2018,106
03-07-2018,108
04-07-2018,106
05-07-2018,101
06-07-2018,101
07-07-2018,103
08-07-2018,103
09-07-2018,101
10-07-2018,103
11-07-2018,103
12-07-2018,103
13-07-2018,104
14-07-2018,100
15-07-2018,98
16-07-2018,101
17-07-2018,103
18-07-2018,100
19-07-2018,101
20-07-2018,96
21-07-2018,47
22-07-2018,38
23-07-2018,27
24-07-2018,44
25-07-2018,59
26-07-2018,51
27-07-2018,57
28-07-2018,80
29-07-2018,69
30-07-2018,96
31-07-2018,80
01-08-2018,71
02-08-2018,80
03-08-2018,152
04-08-2018,142
05-08-2018,132
06-08-2018,99
10-08-2018,74
11-08-2018,115
12-08-2018,97
13-08-2018,63
14-08-2018,54
15-08-2018,39
16-08-2018,22
17-08-2018,28
18-08-2018,59
19-08-2018,40
20-08-2018,35
21-08-2018,28
22-08-2018,30
23-08-2018,55
24-08-2018,66
25-08-2018,85
26-08-2018,54
27-08-2018,53
28-08-2018,49
29-08-2018,61
30-08-2018,87
18-10-2018,136
19-10-2018,135
20-10-2018,122
21-10-2018,103
22-10-2018,130
23-10-2018,94
24-10-2018,94
25-10-2018,103
26-10-2018,102
27-10-2018,90
28-10-2018,108
29-10-2018,94
30-10-2018,96
31-10-2018,74
01-11-2018,57
07-11-2018,176
08-11-2018,257
09-11-2018,241
10-11-2018,193
11-11-2018,227
12-11-2018,202
13-11-2018,179
14-11-2018,198
06-12-2018,288
07-12-2018,237
08-12-2018,191
09-12-2018,213
10-12-2018,227
11-12-2018,202
12-12-2018,230
13-12-2018,249
14-12-2018,277
15-12-2018,192
16-12-2018,136
17-12-2018,119
18-12-2018,58
19-12-2018,119
20-12-2018,161
21-12-2018,195
22-12-2018,188
23-12-2018,176
24-12-2018,102
25-12-2018,207
26-12-2018,207
27-12-2018,197
28-12-2018,159
29-12-2018,136
30-12-2018,185
31-12-2018,195
01-01-2019,238
02-01-2019,236
03-01-2019,289
04-01-2019,224
05-01-2019,212
06-01-2019,244
07-01-2019,247
08-01-2019,285
09-01-2019,245
10-01-2019,213
11-01-2019,211
12-01-2019,276
13-01-2019,322
14-01-2019,333
15-01-2019,232
16-01-2019,184
17-01-2019,208
18-01-2019,274
19-01-2019,201
20-01-2019,218
21-01-2019,206
22-01-2019,256
23-01-2019,240
24-01-2019,234
25-01-2019,204
26-01-2019,134
27-01-2019,111
28-01-2019,200
29-01-2019,168
05-02-2019,244
06-02-2019,273
07-02-2019,234
08-02-2019,212
09-02-2019,118
10-02-2019,113
11-02-2019,142
12-02-2019,203
13-02-2019,258
14-02-2019,325
15-02-2019,263
16-02-2019,112
17-02-2019,134
19-02-2019,151
20-02-2019,177
21-02-2019,154
22-02-2019,270
23-02-2019,172
24-02-2019,151
25-02-2019,154
26-02-2019,126
27-02-2019,128
28-02-2019,109
01-03-2019,108
02-03-2019,150
04-03-2019,196
05-03-2019,156
06-03-2019,132
07-03-2019,137
08-03-2019,145
09-03-2019,155
10-03-2019,236
11-03-2019,159
12-03-2019,207
13-03-2019,190
14-03-2019,161
15-03-2019,110
16-03-2019,110
17-03-2019,219
18-03-2019,109
19-03-2019,112
20-03-2019,187
21-03-2019,121
22-03-2019,116
23-03-2019,112
24-03-2019,193
25-03-2019,253
26-03-2019,247
27-03-2019,113
28-03-2019,183
29-03-2019,243
30-03-2019,254
31-03-2019,272
01-04-2019,150
02-04-2019,188
03-04-2019,249
04-04-2019,285
12-04-2019,169
13-04-2019,122
14-04-2019,182
15-04-2019,251
25-04-2019,116
26-04-2019,118
27-04-2019,146
28-04-2019,203
29-04-2019,250
01-05-2019,103
04-05-2019,105
09-05-2019,207
10-05-2019,170
12-05-2019,135
13-05-2019,112
14-05-2019,110
22-05-2019,112
25-05-2019,131
26-05-2019,111
27-05-2019,146
28-05-2019,114
29-05-2019,74
31-05-2019,109
02-06-2019,114
04-06-2019,112
05-06-2019,114
06-06-2019,110
07-06-2019,113
10-06-2019,125
12-06-2019,78
14-06-2019,77
15-06-2019,80
17-06-2019,78
18-06-2019,90
19-06-2019,88
20-06-2019,68
21-06-2019,92
22-06-2019,95
23-06-2019,86
24-06-2019,92
25-06-2019,93
28-06-2019,92
29-06-2019,93
03-07-2019,95
06-07-2019,92
07-07-2019,87
08-07-2019,78
09-07-2019,92
