Date,AQI
26-05-2018,241
27-05-2018,220
28-05-2018,235
29-05-2018,262
30-05-2018,269
31-05-2018,180
01-06-2018,187
02-06-2018,151
03-06-2018,106
04-06-2018,142
05-06-2018,139
06-06-2018,137
07-06-2018,109
08-06-2018,159
09-06-2018,112
10-06-2018,205
11-06-2018,175
12-06-2018,333
13-06-2018,500
15-06-2018,459
16-06-2018,450
17-06-2018,349
18-06-2018,180
19-06-2018,239
20-06-2018,194
21-06-2018,173
22-06-2018,265
23-06-2018,215
26-06-2018,186
28-06-2018,59
30-06-2018,66
01-07-2018,70
02-07-2018,63
03-07-2018,76
04-07-2018,75
05-07-2018,93
06-07-2018,164
07-07-2018,144
08-07-2018,163
09-07-2018,132
10-07-2018,78
14-07-2018,36
15-07-2018,45
16-07-2018,171
17-07-2018,52
18-07-2018,62
20-07-2018,152
21-07-2018,110
22-07-2018,46
23-07-2018,45
24-07-2018,50
25-07-2018,42
26-07-2018,45
27-07-2018,46
28-07-2018,51
31-07-2018,124
01-08-2018,161
02-08-2018,242
03-08-2018,256
04-08-2018,226
05-08-2018,187
06-08-2018,115
07-08-2018,87
08-08-2018,47
09-08-2018,51
10-08-2018,73
11-08-2018,84
12-08-2018,62
13-08-2018,86
14-08-2018,66
15-08-2018,85
16-08-2018,53
17-08-2018,46
18-08-2018,48
19-08-2018,45
20-08-2018,71
21-08-2018,46
22-08-2018,72
26-08-2018,90
27-08-2018,77
28-08-2018,73
29-08-2018,76
30-08-2018,81
31-08-2018,100
03-09-2018,79
04-09-2018,72
05-09-2018,104
06-09-2018,134
07-09-2018,107
08-09-2018,79
10-09-2018,81
11-09-2018,102
12-09-2018,172
13-09-2018,223
14-09-2018,143
15-09-2018,179
16-09-2018,172
17-09-2018,191
18-09-2018,184
19-09-2018,255
20-09-2018,150
21-09-2018,96
22-09-2018,75
23-09-2018,102
24-09-2018,90
25-09-2018,47
26-09-2018,72
28-09-2018,205
29-09-2018,269
30-09-2018,213
01-10-2018,125
02-10-2018,200
03-10-2018,96
04-10-2018,167
05-10-2018,265
06-10-2018,216
07-10-2018,253
08-10-2018,260
09-10-2018,227
10-10-2018,194
11-10-2018,186
12-10-2018,87
13-10-2018,242
14-10-2018,229
15-10-2018,242
18-10-2018,280
19-10-2018,256
21-10-2018,298
22-10-2018,310
23-10-2018,296
25-10-2018,312
26-10-2018,317
27-10-2018,358
28-10-2018,388
29-10-2018,351
30-10-2018,414
31-10-2018,359
01-11-2018,374
02-11-2018,370
03-11-2018,333
05-11-2018,408
06-11-2018,353
07-11-2018,291
08-11-2018,418
09-11-2018,442
10-11-2018,415
11-11-2018,434
12-11-2018,414
13-11-2018,428
14-11-2018,337
15-11-2018,210
16-11-2018,263
17-11-2018,269
18-11-2018,329
19-11-2018,369
20-11-2018,359
21-11-2018,367
22-11-2018,296
23-11-2018,358
24-11-2018,271
25-11-2018,287
26-11-2018,348
27-11-2018,343
28-11-2018,343
29-11-2018,393
30-11-2018,389
01-12-2018,338
02-12-2018,363
04-12-2018,426
05-12-2018,392
06-12-2018,378
07-12-2018,395
08-12-2018,364
09-12-2018,393
10-12-2018,415
11-12-2018,401
12-12-2018,372
13-12-2018,254
14-12-2018,275
15-12-2018,316
16-12-2018,328
17-12-2018,353
18-12-2018,347
19-12-2018,377
20-12-2018,396
21-12-2018,422
22-12-2018,426
23-12-2018,446
24-12-2018,447
25-12-2018,395
26-12-2018,397
27-12-2018,386
28-12-2018,387
29-12-2018,402
30-12-2018,430
31-12-2018,415
01-01-2019,412
02-01-2019,435
03-01-2019,446
04-01-2019,378
05-01-2019,395
06-01-2019,364
07-01-2019,357
08-01-2019,346
09-01-2019,318
10-01-2019,318
11-01-2019,375
12-01-2019,403
13-01-2019,422
14-01-2019,268
15-01-2019,276
16-01-2019,375
17-01-2019,415
20-01-2019,382
21-01-2019,344
22-01-2019,98
23-01-2019,162
24-01-2019,292
25-01-2019,136
26-01-2019,196
27-01-2019,249
28-01-2019,238
29-01-2019,259
30-01-2019,321
31-01-2019,334
01-02-2019,314
02-02-2019,366
03-02-2019,322
04-02-2019,322
05-02-2019,350
06-02-2019,368
07-02-2019,181
08-02-2019,104
09-02-2019,126
10-02-2019,264
11-02-2019,271
12-02-2019,333
13-02-2019,356
14-02-2019,349
15-02-2019,194
16-02-2019,257
17-02-2019,235
18-02-2019,221
19-02-2019,162
20-02-2019,214
21-02-2019,105
22-02-2019,244
24-02-2019,245
25-02-2019,254
26-02-2019,79
27-02-2019,54
28-02-2019,185
01-03-2019,218
02-03-2019,256
03-03-2019,92
06-03-2019,206
07-03-2019,230
09-03-2019,195
10-03-2019,210
11-03-2019,191
13-03-2019,154
14-03-2019,270
15-03-2019,112
16-03-2019,239
17-03-2019,267
18-03-2019,217
19-03-2019,278
20-03-2019,219
21-03-2019,163
22-03-2019,113
26-03-2019,176
27-03-2019,192
28-03-2019,221
29-03-2019,225
30-03-2019,246
31-03-2019,175
01-04-2019,197
02-04-2019,187
03-04-2019,234
04-04-2019,255
05-04-2019,257
06-04-2019,220
07-04-2019,231
08-04-2019,224
09-04-2019,164
10-04-2019,257
11-04-2019,212
12-04-2019,203
13-04-2019,185
14-04-2019,150
15-04-2019,176
16-04-2019,208
17-04-2019,80
18-04-2019,104
19-04-2019,199
20-04-2019,196
21-04-2019,235
22-04-2019,257
23-04-2019,236
28-04-2019,346
