Date,AQI
16-05-2023,126
17-05-2023,104
19-05-2023,113
20-05-2023,148
21-05-2023,179
22-05-2023,164
23-05-2023,158
24-05-2023,155
25-05-2023,161
27-05-2023,175
28-05-2023,188
29-05-2023,153
30-05-2023,168
31-05-2023,113
01-06-2023,113
02-06-2023,104
03-06-2023,131
04-06-2023,157
05-06-2023,155
06-06-2023,150
07-06-2023,128
08-06-2023,123
09-06-2023,121
10-06-2023,104
11-06-2023,79
12-06-2023,85
13-06-2023,102
14-06-2023,101
15-06-2023,102
16-06-2023,99
17-06-2023,108
18-06-2023,109
20-06-2023,97
21-06-2023,146
22-06-2023,138
23-06-2023,136
24-06-2023,140
25-06-2023,133
27-06-2023,107
29-06-2023,44
30-06-2023,48
01-07-2023,67
02-07-2023,92
03-07-2023,89
04-07-2023,120
05-07-2023,102
06-07-2023,97
07-07-2023,124
08-07-2023,175
09-07-2023,209
10-07-2023,125
11-07-2023,96
12-07-2023,130
13-07-2023,146
14-07-2023,137
15-07-2023,166
16-07-2023,173
19-07-2023,181
22-07-2023,100
26-07-2023,88
27-07-2023,66
29-07-2023,88
31-07-2023,70
01-08-2023,90
02-08-2023,86
03-08-2023,99
04-08-2023,113
06-08-2023,112
07-08-2023,116
08-08-2023,110
09-08-2023,284
10-08-2023,125
11-08-2023,110
12-08-2023,105
13-08-2023,123
14-08-2023,131
15-08-2023,132
16-08-2023,141
17-08-2023,140
18-08-2023,134
19-08-2023,120
20-08-2023,81
21-08-2023,66
22-08-2023,87
23-08-2023,98
24-08-2023,103
25-08-2023,124
26-08-2023,158
27-08-2023,158
29-08-2023,128
30-08-2023,123
31-08-2023,127
01-09-2023,119
05-09-2023,114
06-09-2023,73
07-09-2023,78
08-09-2023,59
10-09-2023,85
11-09-2023,76
12-09-2023,61
13-09-2023,61
14-09-2023,73
15-09-2023,79
16-09-2023,57
18-09-2023,39
19-09-2023,50
20-09-2023,63
21-09-2023,76
22-09-2023,77
23-09-2023,83
24-09-2023,74
25-09-2023,72
27-09-2023,96
29-09-2023,120
30-09-2023,124
01-10-2023,141
05-10-2023,110
06-10-2023,104
07-10-2023,116
08-10-2023,116
11-10-2023,118
12-10-2023,136
13-10-2023,129
14-10-2023,139
15-10-2023,124
16-10-2023,125
17-10-2023,126
18-10-2023,126
19-10-2023,133
21-10-2023,201
22-10-2023,208
23-10-2023,268
24-10-2023,160
25-10-2023,162
26-10-2023,168
27-10-2023,168
28-10-2023,219
29-10-2023,230
30-10-2023,239
31-10-2023,209
01-11-2023,209
02-11-2023,216
03-11-2023,178
04-11-2023,191
05-11-2023,184
06-11-2023,233
07-11-2023,200
08-11-2023,217
09-11-2023,210
11-11-2023,138
12-11-2023,143
13-11-2023,194
14-11-2023,166
15-11-2023,205
16-11-2023,283
17-11-2023,296
18-11-2023,272
19-11-2023,282
20-11-2023,263
22-11-2023,262
23-11-2023,225
24-11-2023,259
25-11-2023,247
26-11-2023,232
27-11-2023,183
28-11-2023,58
29-11-2023,183
30-11-2023,193
01-12-2023,145
02-12-2023,119
03-12-2023,211
04-12-2023,74
05-12-2023,82
06-12-2023,153
07-12-2023,182
08-12-2023,146
10-12-2023,154
11-12-2023,169
12-12-2023,155
13-12-2023,178
14-12-2023,129
15-12-2023,138
16-12-2023,140
17-12-2023,146
19-12-2023,128
20-12-2023,130
21-12-2023,166
22-12-2023,131
23-12-2023,204
24-12-2023,330
25-12-2023,353
26-12-2023,332
27-12-2023,295
28-12-2023,218
29-12-2023,266
30-12-2023,269
31-12-2023,276
