Date,AQI
01-12-2021,388
02-12-2021,403
03-12-2021,427
04-12-2021,393
05-12-2021,302
06-12-2021,214
07-12-2021,228
08-12-2021,252
09-12-2021,261
10-12-2021,343
12-12-2021,389
13-12-2021,359
14-12-2021,454
25-12-2021,373
26-12-2021,414
27-12-2021,370
28-12-2021,327
30-12-2021,180
31-12-2021,162
01-01-2022,249
02-01-2022,302
03-01-2022,357
04-01-2022,370
05-01-2022,375
06-01-2022,454
07-01-2022,357
08-01-2022,247
09-01-2022,254
10-01-2022,187
11-01-2022,230
12-01-2022,264
13-01-2022,187
14-01-2022,284
15-01-2022,335
16-01-2022,317
17-01-2022,347
18-01-2022,348
19-01-2022,408
20-01-2022,398
21-01-2022,431
22-01-2022,409
23-01-2022,325
25-01-2022,300
26-01-2022,218
27-01-2022,264
29-01-2022,261
30-01-2022,289
02-02-2022,379
03-02-2022,360
04-02-2022,209
05-02-2022,99
06-02-2022,219
07-02-2022,236
08-02-2022,269
09-02-2022,315
10-02-2022,351
11-02-2022,168
12-02-2022,168
13-02-2022,203
15-02-2022,282
16-02-2022,283
17-02-2022,316
18-02-2022,192
19-02-2022,213
20-02-2022,176
21-02-2022,170
22-02-2022,213
23-02-2022,250
25-02-2022,325
26-02-2022,317
27-02-2022,221
28-02-2022,203
01-03-2022,197
02-03-2022,196
03-03-2022,254
04-03-2022,251
05-03-2022,249
06-03-2022,201
07-03-2022,234
08-03-2022,287
09-03-2022,256
10-03-2022,269
11-03-2022,225
12-03-2022,210
13-03-2022,244
14-03-2022,240
15-03-2022,213
16-03-2022,221
17-03-2022,271
18-03-2022,309
19-03-2022,290
20-03-2022,254
21-03-2022,232
22-03-2022,224
23-03-2022,250
24-03-2022,220
25-03-2022,232
10-04-2022,214
11-04-2022,103
12-04-2022,108
14-04-2022,365
15-04-2022,330
16-04-2022,330
17-04-2022,302
18-04-2022,299
19-04-2022,271
20-04-2022,259
21-04-2022,196
22-04-2022,202
23-04-2022,357
24-04-2022,383
25-04-2022,346
26-04-2022,332
27-04-2022,350
28-04-2022,302
29-04-2022,248
30-04-2022,308
01-05-2022,204
02-05-2022,188
04-05-2022,134
05-05-2022,68
06-05-2022,121
07-05-2022,129
08-05-2022,189
09-05-2022,165
11-05-2022,108
12-05-2022,105
13-05-2022,195
14-05-2022,140
15-05-2022,171
16-05-2022,202
17-05-2022,181
18-05-2022,164
19-05-2022,206
20-05-2022,246
21-05-2022,156
22-05-2022,161
24-05-2022,150
27-05-2022,214
28-05-2022,186
29-05-2022,174
31-05-2022,266
01-06-2022,254
02-06-2022,320
03-06-2022,242
04-06-2022,250
05-06-2022,189
06-06-2022,233
07-06-2022,198
08-06-2022,229
09-06-2022,262
10-06-2022,130
11-06-2022,236
13-06-2022,202
14-06-2022,222
15-06-2022,268
16-06-2022,134
17-06-2022,100
23-06-2022,198
24-06-2022,175
25-06-2022,157
26-06-2022,153
28-06-2022,213
29-06-2022,200
02-07-2022,143
03-07-2022,116
04-07-2022,120
05-07-2022,183
06-07-2022,118
07-07-2022,92
08-07-2022,96
09-07-2022,99
10-07-2022,86
13-07-2022,85
15-07-2022,88
16-07-2022,86
17-07-2022,80
19-07-2022,86
20-07-2022,109
21-07-2022,135
22-07-2022,132
23-07-2022,84
24-07-2022,94
25-07-2022,86
26-07-2022,98
27-07-2022,70
28-07-2022,108
29-07-2022,106
30-07-2022,92
31-07-2022,78
01-08-2022,94
02-08-2022,112
03-08-2022,122
04-08-2022,171
05-08-2022,267
06-08-2022,191
07-08-2022,101
08-08-2022,105
09-08-2022,60
10-08-2022,54
12-08-2022,66
13-08-2022,150
14-08-2022,86
16-08-2022,58
17-08-2022,154
18-08-2022,124
19-08-2022,119
24-08-2022,72
25-08-2022,134
26-08-2022,281
01-09-2022,144
02-09-2022,62
04-09-2022,76
05-09-2022,63
06-09-2022,270
07-09-2022,272
08-09-2022,294
09-09-2022,129
10-09-2022,99
12-09-2022,47
13-09-2022,65
15-09-2022,104
16-09-2022,86
17-09-2022,80
18-09-2022,61
19-09-2022,79
20-09-2022,50
22-09-2022,49
23-09-2022,85
24-09-2022,95
25-09-2022,113
26-09-2022,79
27-09-2022,86
28-09-2022,82
29-09-2022,79
04-10-2022,66
05-10-2022,83
06-10-2022,91
07-10-2022,107
08-10-2022,95
09-10-2022,97
10-10-2022,75
11-10-2022,73
12-10-2022,67
13-10-2022,68
14-10-2022,85
16-10-2022,148
18-10-2022,149
19-10-2022,148
20-10-2022,232
21-10-2022,215
22-10-2022,209
23-10-2022,153
24-10-2022,114
25-10-2022,154
26-10-2022,155
28-10-2022,221
29-10-2022,235
30-10-2022,225
11-11-2022,377
13-11-2022,313
15-11-2022,390
16-11-2022,350
17-11-2022,341
18-11-2022,363
20-11-2022,362
21-11-2022,376
23-11-2022,376
24-11-2022,373
25-11-2022,380
26-11-2022,418
27-11-2022,389
28-11-2022,418
29-11-2022,439
30-11-2022,443
