Date,AQI
02-11-2023,100
03-11-2023,85
04-11-2023,67
07-11-2023,170
08-11-2023,145
09-11-2023,134
10-11-2023,156
11-11-2023,159
12-11-2023,194
13-11-2023,311
14-11-2023,211
15-11-2023,156
16-11-2023,84
17-11-2023,58
18-11-2023,68
19-11-2023,83
20-11-2023,79
21-11-2023,94
22-11-2023,124
23-11-2023,218
24-11-2023,240
25-11-2023,242
26-11-2023,233
27-11-2023,144
28-11-2023,176
29-11-2023,187
30-11-2023,172
01-12-2023,177
02-12-2023,164
03-12-2023,232
05-12-2023,130
06-12-2023,71
07-12-2023,85
08-12-2023,77
09-12-2023,94
10-12-2023,85
11-12-2023,94
12-12-2023,118
13-12-2023,131
14-12-2023,128
15-12-2023,146
16-12-2023,128
17-12-2023,163
18-12-2023,178
19-12-2023,208
20-12-2023,126
21-12-2023,150
22-12-2023,168
23-12-2023,172
25-12-2023,128
26-12-2023,150
27-12-2023,175
28-12-2023,216
29-12-2023,253
30-12-2023,201
31-12-2023,215
