Date,AQI
24-12-2022,413
25-12-2022,382
26-12-2022,391
27-12-2022,377
29-12-2022,337
31-12-2022,362
01-01-2023,387
02-01-2023,368
03-01-2023,333
04-01-2023,346
05-01-2023,367
07-01-2023,347
08-01-2023,383
09-01-2023,382
10-01-2023,371
12-01-2023,360
13-01-2023,372
14-01-2023,427
15-01-2023,442
16-01-2023,420
17-01-2023,410
18-01-2023,415
19-01-2023,417
20-01-2023,394
22-01-2023,355
23-01-2023,373
24-01-2023,377
25-01-2023,381
26-01-2023,368
27-01-2023,370
28-01-2023,351
29-01-2023,381
30-01-2023,426
01-02-2023,402
02-02-2023,394
03-02-2023,398
04-02-2023,365
05-02-2023,414
06-02-2023,392
07-02-2023,366
08-02-2023,389
09-02-2023,372
10-02-2023,293
11-02-2023,337
12-02-2023,365
13-02-2023,333
14-02-2023,310
15-02-2023,296
16-02-2023,349
17-02-2023,368
21-02-2023,424
03-03-2023,324
05-03-2023,310
06-03-2023,366
07-03-2023,282
08-03-2023,335
09-03-2023,253
10-03-2023,319
12-03-2023,360
14-03-2023,349
19-03-2023,248
24-03-2023,179
25-03-2023,295
26-03-2023,275
27-03-2023,162
28-03-2023,289
05-04-2023,55
06-04-2023,190
07-04-2023,243
08-04-2023,271
09-04-2023,320
10-04-2023,332
11-04-2023,374
12-04-2023,383
14-04-2023,396
16-04-2023,389
17-04-2023,370
18-04-2023,363
19-04-2023,279
20-04-2023,164
21-04-2023,81
22-04-2023,149
23-04-2023,256
24-04-2023,98
25-04-2023,225
26-04-2023,270
29-04-2023,157
30-04-2023,86
01-05-2023,103
02-05-2023,281
03-05-2023,266
04-05-2023,324
06-05-2023,237
07-05-2023,196
09-05-2023,186
10-05-2023,280
11-05-2023,301
20-05-2023,236
22-05-2023,241
23-05-2023,154
24-05-2023,221
28-05-2023,155
31-05-2023,224
02-06-2023,259
08-06-2023,250
10-06-2023,89
12-06-2023,49
17-06-2023,122
18-06-2023,116
19-06-2023,215
20-06-2023,161
21-06-2023,205
22-06-2023,201
23-06-2023,239
24-06-2023,235
25-06-2023,236
28-06-2023,229
29-06-2023,175
30-06-2023,158
01-07-2023,103
02-07-2023,205
03-07-2023,238
04-07-2023,150
05-07-2023,228
06-07-2023,161
07-07-2023,213
08-07-2023,151
09-07-2023,257
10-07-2023,164
11-07-2023,210
12-07-2023,162
13-07-2023,153
14-07-2023,76
15-07-2023,175
16-07-2023,185
17-07-2023,52
19-07-2023,223
20-07-2023,212
21-07-2023,97
22-07-2023,201
23-07-2023,224
28-07-2023,136
29-07-2023,70
30-07-2023,74
31-07-2023,163
01-08-2023,174
02-08-2023,187
03-08-2023,64
04-08-2023,121
05-08-2023,166
06-08-2023,124
07-08-2023,118
08-08-2023,170
09-08-2023,162
10-08-2023,185
11-08-2023,231
12-08-2023,142
13-08-2023,88
14-08-2023,155
15-08-2023,192
16-08-2023,174
17-08-2023,156
18-08-2023,144
19-08-2023,234
20-08-2023,169
21-08-2023,148
22-08-2023,184
23-08-2023,128
24-08-2023,196
25-08-2023,75
26-08-2023,107
27-08-2023,152
28-08-2023,100
29-08-2023,147
31-08-2023,202
01-09-2023,173
02-09-2023,177
03-09-2023,159
05-09-2023,245
06-09-2023,197
07-09-2023,246
08-09-2023,230
09-09-2023,212
10-09-2023,227
13-09-2023,188
15-09-2023,180
16-09-2023,156
17-09-2023,191
18-09-2023,230
19-09-2023,160
21-09-2023,72
22-09-2023,114
23-09-2023,128
24-09-2023,205
25-09-2023,187
26-09-2023,186
27-09-2023,257
28-09-2023,226
29-09-2023,223
30-09-2023,320
01-10-2023,253
02-10-2023,168
04-10-2023,200
05-10-2023,104
08-10-2023,99
09-10-2023,160
10-10-2023,100
11-10-2023,147
12-10-2023,203
13-10-2023,111
15-10-2023,206
16-10-2023,202
17-10-2023,218
19-10-2023,210
20-10-2023,223
21-10-2023,241
23-10-2023,218
24-10-2023,238
25-10-2023,302
26-10-2023,231
27-10-2023,212
28-10-2023,222
29-10-2023,247
30-10-2023,216
31-10-2023,235
01-11-2023,246
02-11-2023,279
03-11-2023,276
04-11-2023,272
05-11-2023,241
06-11-2023,293
07-11-2023,260
08-11-2023,277
10-11-2023,233
11-11-2023,312
12-11-2023,258
13-11-2023,301
14-11-2023,310
15-11-2023,327
16-11-2023,297
17-11-2023,279
18-11-2023,69
19-11-2023,258
20-11-2023,274
21-11-2023,311
22-11-2023,324
23-11-2023,343
24-11-2023,305
25-11-2023,284
26-11-2023,312
27-11-2023,365
29-11-2023,349
30-11-2023,329
01-12-2023,316
02-12-2023,356
03-12-2023,339
04-12-2023,318
05-12-2023,379
06-12-2023,292
07-12-2023,266
08-12-2023,172
09-12-2023,184
12-12-2023,294
14-12-2023,230
15-12-2023,284
16-12-2023,244
17-12-2023,285
18-12-2023,285
19-12-2023,262
20-12-2023,243
21-12-2023,308
22-12-2023,271
23-12-2023,297
24-12-2023,313
25-12-2023,265
26-12-2023,282
27-12-2023,263
28-12-2023,268
29-12-2023,263
30-12-2023,278
31-12-2023,310
