Date,AQI
14-11-2020,42
15-11-2020,46
17-11-2020,40
18-11-2020,62
19-11-2020,21
20-11-2020,60
25-11-2020,106
26-11-2020,106
19-12-2020,47
20-12-2020,53
21-12-2020,35
22-12-2020,45
23-12-2020,40
26-12-2020,47
27-12-2020,38
28-12-2020,36
29-12-2020,52
30-12-2020,62
07-01-2021,55
08-01-2021,56
09-01-2021,47
10-01-2021,44
20-01-2021,59
30-01-2021,63
31-01-2021,63
01-02-2021,56
03-02-2021,96
04-02-2021,63
05-02-2021,79
06-02-2021,78
07-02-2021,98
08-02-2021,96
09-02-2021,138
10-02-2021,102
11-02-2021,89
12-02-2021,89
13-02-2021,90
14-02-2021,90
15-02-2021,89
16-02-2021,108
17-02-2021,89
19-02-2021,91
22-02-2021,70
23-02-2021,70
26-02-2021,85
01-03-2021,77
05-03-2021,83
06-03-2021,114
07-03-2021,90
08-03-2021,91
09-03-2021,90
11-03-2021,70
12-03-2021,70
13-03-2021,70
14-03-2021,69
15-03-2021,69
16-03-2021,91
17-03-2021,79
26-03-2021,50
01-04-2021,77
02-04-2021,76
03-04-2021,72
04-04-2021,79
05-04-2021,71
06-04-2021,94
07-04-2021,94
08-04-2021,74
09-04-2021,67
10-04-2021,63
11-04-2021,71
12-04-2021,70
13-04-2021,71
15-04-2021,69
16-04-2021,56
17-04-2021,51
18-04-2021,51
19-04-2021,169
20-04-2021,62
21-04-2021,60
22-04-2021,73
23-04-2021,69
24-04-2021,65
25-04-2021,76
26-04-2021,73
27-04-2021,76
28-04-2021,75
29-04-2021,79
30-04-2021,50
01-05-2021,76
02-05-2021,68
03-05-2021,59
04-05-2021,59
05-05-2021,54
06-05-2021,60
07-05-2021,56
08-05-2021,54
09-05-2021,59
10-05-2021,84
11-05-2021,68
12-05-2021,48
13-05-2021,126
14-05-2021,51
15-05-2021,32
16-05-2021,41
17-05-2021,34
18-05-2021,47
19-05-2021,42
20-05-2021,41
21-05-2021,36
22-05-2021,41
23-05-2021,34
24-05-2021,50
25-05-2021,48
27-05-2021,76
28-05-2021,54
29-05-2021,48
30-05-2021,70
31-05-2021,42
01-06-2021,39
02-06-2021,45
03-06-2021,40
04-06-2021,50
05-06-2021,36
06-06-2021,56
07-06-2021,54
08-06-2021,43
09-06-2021,41
10-06-2021,38
11-06-2021,42
12-06-2021,38
13-06-2021,42
15-06-2021,34
16-06-2021,40
17-06-2021,40
19-06-2021,37
20-06-2021,38
21-06-2021,44
22-06-2021,41
23-06-2021,43
24-06-2021,49
26-06-2021,54
27-06-2021,56
28-06-2021,48
29-06-2021,49
30-06-2021,49
01-07-2021,41
02-07-2021,44
03-07-2021,37
05-07-2021,49
06-07-2021,54
07-07-2021,55
08-07-2021,52
09-07-2021,52
10-07-2021,51
11-07-2021,57
12-07-2021,43
13-07-2021,43
14-07-2021,38
15-07-2021,36
16-07-2021,41
17-07-2021,39
18-07-2021,34
19-07-2021,40
20-07-2021,39
21-07-2021,43
22-07-2021,39
23-07-2021,38
24-07-2021,36
25-07-2021,46
26-07-2021,42
27-07-2021,49
28-07-2021,39
29-07-2021,38
30-07-2021,39
31-07-2021,39
01-08-2021,36
02-08-2021,45
03-08-2021,40
04-08-2021,42
05-08-2021,46
06-08-2021,41
07-08-2021,41
08-08-2021,41
09-08-2021,41
10-08-2021,41
11-08-2021,44
12-08-2021,46
13-08-2021,41
14-08-2021,38
15-08-2021,40
16-08-2021,42
17-08-2021,44
19-08-2021,40
20-08-2021,42
21-08-2021,45
22-08-2021,39
23-08-2021,43
24-08-2021,38
25-08-2021,38
26-08-2021,38
28-08-2021,38
29-08-2021,40
30-08-2021,37
31-08-2021,40
01-09-2021,41
02-09-2021,42
03-09-2021,44
04-09-2021,39
05-09-2021,35
06-09-2021,39
07-09-2021,40
08-09-2021,42
09-09-2021,38
10-09-2021,37
11-09-2021,48
12-09-2021,40
13-09-2021,43
14-09-2021,40
15-09-2021,41
