Date,AQI
17-09-2019,99
18-09-2019,124
19-09-2019,71
20-09-2019,64
21-09-2019,64
22-09-2019,68
23-09-2019,48
24-09-2019,72
25-09-2019,101
26-09-2019,85
27-09-2019,56
28-09-2019,65
01-10-2019,55
02-10-2019,46
03-10-2019,61
04-10-2019,78
05-10-2019,69
06-10-2019,81
07-10-2019,100
08-10-2019,102
09-10-2019,108
10-10-2019,112
11-10-2019,105
12-10-2019,107
13-10-2019,90
14-10-2019,156
15-10-2019,135
16-10-2019,169
17-10-2019,186
18-10-2019,117
19-10-2019,110
20-10-2019,100
21-10-2019,113
22-10-2019,102
23-10-2019,102
24-10-2019,104
25-10-2019,191
26-10-2019,232
27-10-2019,248
28-10-2019,267
29-10-2019,232
30-10-2019,256
31-10-2019,241
01-11-2019,254
02-11-2019,279
03-11-2019,254
04-11-2019,315
05-11-2019,107
06-11-2019,118
07-11-2019,86
08-11-2019,94
09-11-2019,80
10-11-2019,109
11-11-2019,216
12-11-2019,274
13-11-2019,242
14-11-2019,214
15-11-2019,248
16-11-2019,142
17-11-2019,85
18-11-2019,106
19-11-2019,147
20-11-2019,220
21-11-2019,163
22-11-2019,271
23-11-2019,238
24-11-2019,86
25-11-2019,73
26-11-2019,116
27-11-2019,53
28-11-2019,88
29-11-2019,89
30-11-2019,93
01-12-2019,108
02-12-2019,143
03-12-2019,166
04-12-2019,196
05-12-2019,201
06-12-2019,186
07-12-2019,139
08-12-2019,150
09-12-2019,182
10-12-2019,216
11-12-2019,179
12-12-2019,276
13-12-2019,90
15-12-2019,68
16-12-2019,66
17-12-2019,100
18-12-2019,98
19-12-2019,182
20-12-2019,209
21-12-2019,184
22-12-2019,99
23-12-2019,76
24-12-2019,116
25-12-2019,80
26-12-2019,72
27-12-2019,104
28-12-2019,134
29-12-2019,152
30-12-2019,99
31-12-2019,205
01-01-2020,127
02-01-2020,97
03-01-2020,102
04-01-2020,98
05-01-2020,106
06-01-2020,81
07-01-2020,53
08-01-2020,64
09-01-2020,39
10-01-2020,61
11-01-2020,87
12-01-2020,125
13-01-2020,185
14-01-2020,76
15-01-2020,79
16-01-2020,77
17-01-2020,85
18-01-2020,118
19-01-2020,101
20-01-2020,92
21-01-2020,143
22-01-2020,103
23-01-2020,69
24-01-2020,72
25-01-2020,105
26-01-2020,125
27-01-2020,104
28-01-2020,140
29-01-2020,64
30-01-2020,76
31-01-2020,47
01-02-2020,95
02-02-2020,73
03-02-2020,97
04-02-2020,114
05-02-2020,95
06-02-2020,79
07-02-2020,98
08-02-2020,102
09-02-2020,100
10-02-2020,118
11-02-2020,110
12-02-2020,108
13-02-2020,97
14-02-2020,93
15-02-2020,90
16-02-2020,99
17-02-2020,84
18-02-2020,96
19-02-2020,127
20-02-2020,108
21-02-2020,55
22-02-2020,54
