Date,AQI
20-08-2015,32
21-08-2015,50
22-08-2015,76
23-08-2015,79
24-08-2015,78
25-08-2015,206
26-08-2015,104
27-08-2015,146
29-08-2015,50
30-08-2015,71
31-08-2015,44
01-09-2015,46
02-09-2015,97
04-09-2015,60
05-09-2015,85
06-09-2015,93
07-09-2015,70
08-09-2015,58
09-09-2015,70
10-09-2015,74
18-09-2015,56
19-09-2015,40
20-09-2015,74
21-09-2015,39
22-09-2015,66
23-09-2015,78
24-09-2015,110
26-09-2015,262
27-09-2015,261
28-09-2015,420
29-09-2015,139
30-09-2015,126
01-10-2015,120
02-10-2015,74
03-10-2015,258
04-10-2015,134
05-10-2015,104
06-10-2015,171
07-10-2015,137
08-10-2015,163
09-10-2015,157
10-10-2015,152
12-10-2015,235
15-10-2015,156
16-10-2015,193
18-10-2015,124
19-10-2015,118
20-10-2015,240
21-10-2015,138
26-10-2015,128
27-10-2015,178
28-10-2015,173
30-10-2015,65
31-10-2015,71
01-11-2015,60
02-11-2015,67
03-11-2015,59
04-11-2015,78
05-11-2015,115
06-11-2015,104
07-11-2015,223
08-11-2015,130
09-11-2015,91
10-11-2015,130
11-11-2015,225
12-11-2015,265
13-11-2015,219
14-11-2015,167
15-11-2015,173
16-11-2015,164
17-11-2015,168
18-11-2015,149
19-11-2015,105
21-11-2015,88
24-11-2015,109
25-11-2015,176
26-11-2015,260
01-12-2015,135
02-12-2015,145
03-12-2015,80
04-12-2015,138
05-12-2015,137
07-12-2015,415
08-12-2015,167
09-12-2015,176
10-12-2015,123
11-12-2015,95
12-12-2015,92
13-12-2015,93
14-12-2015,84
15-12-2015,138
17-12-2015,73
18-12-2015,93
19-12-2015,112
20-12-2015,123
21-12-2015,76
22-12-2015,74
23-12-2015,131
24-12-2015,246
26-12-2015,100
28-12-2015,182
30-12-2015,237
02-01-2016,171
03-01-2016,145
05-01-2016,123
06-01-2016,156
07-01-2016,120
20-01-2016,138
21-01-2016,84
22-01-2016,86
23-01-2016,109
24-01-2016,133
25-01-2016,159
26-01-2016,150
27-01-2016,122
28-01-2016,187
30-01-2016,166
31-01-2016,203
01-02-2016,189
02-02-2016,206
03-02-2016,175
04-02-2016,131
05-02-2016,115
06-02-2016,117
08-02-2016,130
09-02-2016,127
12-02-2016,177
15-02-2016,105
16-02-2016,133
21-02-2016,192
22-02-2016,174
23-02-2016,135
24-02-2016,90
25-02-2016,79
26-02-2016,78
27-02-2016,59
28-02-2016,62
29-02-2016,76
01-03-2016,42
02-03-2016,99
03-03-2016,117
04-03-2016,98
09-03-2016,71
11-03-2016,131
12-03-2016,116
13-03-2016,75
14-03-2016,221
15-03-2016,92
16-03-2016,54
17-03-2016,69
18-03-2016,88
19-03-2016,159
20-03-2016,208
21-03-2016,351
24-03-2016,210
26-03-2016,197
30-03-2016,110
31-03-2016,127
01-04-2016,127
02-04-2016,159
03-04-2016,133
04-04-2016,119
07-04-2016,91
09-04-2016,86
12-04-2016,154
13-04-2016,200
15-04-2016,137
19-04-2016,119
20-04-2016,109
21-04-2016,127
22-04-2016,161
23-04-2016,128
24-04-2016,130
25-04-2016,137
27-04-2016,102
29-04-2016,88
30-04-2016,87
01-05-2016,108
02-05-2016,100
03-05-2016,98
04-05-2016,54
08-05-2016,75
09-05-2016,58
16-05-2016,146
17-05-2016,182
19-05-2016,133
20-05-2016,77
24-05-2016,109
26-05-2016,107
28-05-2016,97
30-05-2016,90
31-05-2016,120
03-06-2016,117
04-06-2016,99
05-06-2016,79
07-06-2016,188
08-06-2016,79
09-06-2016,88
10-06-2016,91
13-06-2016,72
14-06-2016,106
18-06-2016,89
27-06-2016,33
28-06-2016,26
02-07-2016,28
11-07-2016,22
13-07-2016,44
14-07-2016,66
15-07-2016,89
16-07-2016,71
18-07-2016,75
20-07-2016,49
26-07-2016,21
27-07-2016,73
29-07-2016,22
30-07-2016,32
01-08-2016,21
02-08-2016,23
05-08-2016,49
06-08-2016,30
07-08-2016,33
08-08-2016,41
09-08-2016,56
10-08-2016,73
16-08-2016,65
17-08-2016,81
18-08-2016,60
19-08-2016,64
22-08-2016,66
23-08-2016,56
24-08-2016,62
25-08-2016,50
26-08-2016,47
27-08-2016,68
28-08-2016,69
29-08-2016,125
30-08-2016,92
31-08-2016,218
01-09-2016,44
02-09-2016,44
03-09-2016,41
04-09-2016,73
05-09-2016,88
06-09-2016,74
07-09-2016,83
08-09-2016,76
09-09-2016,68
10-09-2016,102
11-09-2016,49
12-09-2016,62
13-09-2016,52
14-09-2016,72
15-09-2016,41
16-09-2016,58
17-09-2016,53
18-09-2016,151
19-09-2016,70
20-09-2016,63
21-09-2016,38
22-09-2016,59
23-09-2016,59
24-09-2016,51
25-09-2016,18
26-09-2016,38
27-09-2016,34
28-09-2016,85
29-09-2016,64
01-10-2016,72
02-10-2016,214
03-10-2016,262
04-10-2016,208
05-10-2016,102
06-10-2016,243
07-10-2016,500
11-10-2016,87
12-10-2016,248
13-10-2016,77
15-10-2016,90
16-10-2016,77
17-10-2016,95
18-10-2016,89
19-10-2016,385
20-10-2016,102
21-10-2016,125
22-10-2016,184
23-10-2016,175
24-10-2016,163
25-10-2016,100
26-10-2016,161
27-10-2016,252
28-10-2016,167
29-10-2016,170
30-10-2016,148
31-10-2016,110
01-11-2016,156
02-11-2016,166
03-11-2016,145
04-11-2016,129
05-11-2016,146
06-11-2016,317
07-11-2016,297
08-11-2016,173
09-11-2016,178
10-11-2016,222
11-11-2016,305
12-11-2016,280
13-11-2016,259
14-11-2016,247
15-11-2016,278
16-11-2016,252
17-11-2016,205
18-11-2016,165
19-11-2016,166
20-11-2016,198
21-11-2016,209
22-11-2016,201
23-11-2016,205
24-11-2016,186
25-11-2016,186
26-11-2016,194
27-11-2016,209
28-11-2016,184
29-11-2016,196
30-11-2016,197
01-12-2016,203
02-12-2016,232
03-12-2016,227
04-12-2016,166
05-12-2016,184
06-12-2016,225
07-12-2016,259
08-12-2016,291
09-12-2016,237
10-12-2016,207
11-12-2016,169
12-12-2016,185
13-12-2016,97
14-12-2016,106
15-12-2016,112
16-12-2016,129
17-12-2016,156
18-12-2016,167
19-12-2016,111
20-12-2016,126
22-12-2016,254
23-12-2016,134
24-12-2016,256
25-12-2016,196
26-12-2016,169
27-12-2016,155
28-12-2016,181
29-12-2016,251
30-12-2016,266
31-12-2016,221
01-01-2017,185
02-01-2017,188
03-01-2017,210
04-01-2017,250
05-01-2017,251
06-01-2017,206
07-01-2017,100
08-01-2017,149
09-01-2017,110
10-01-2017,146
11-01-2017,194
12-01-2017,176
13-01-2017,123
14-01-2017,95
15-01-2017,144
16-01-2017,177
17-01-2017,144
18-01-2017,119
19-01-2017,159
20-01-2017,209
24-01-2017,136
25-01-2017,148
26-01-2017,170
27-01-2017,175
28-01-2017,134
29-01-2017,99
30-01-2017,140
31-01-2017,167
01-02-2017,164
02-02-2017,109
03-02-2017,148
04-02-2017,134
05-02-2017,156
06-02-2017,153
07-02-2017,144
08-02-2017,151
09-02-2017,145
10-02-2017,152
11-02-2017,153
12-02-2017,127
13-02-2017,137
14-02-2017,161
15-02-2017,132
16-02-2017,152
17-02-2017,111
18-02-2017,122
19-02-2017,120
20-02-2017,175
21-02-2017,145
22-02-2017,177
23-02-2017,183
24-02-2017,154
25-02-2017,113
26-02-2017,123
27-02-2017,151
28-02-2017,131
01-03-2017,141
02-03-2017,173
03-03-2017,140
04-03-2017,129
05-03-2017,133
06-03-2017,124
07-03-2017,113
09-03-2017,145
10-03-2017,99
11-03-2017,110
12-03-2017,116
13-03-2017,148
14-03-2017,116
15-03-2017,169
16-03-2017,166
17-03-2017,72
18-03-2017,154
19-03-2017,136
20-03-2017,105
21-03-2017,114
22-03-2017,239
23-03-2017,253
24-03-2017,211
25-03-2017,178
26-03-2017,247
27-03-2017,226
28-03-2017,177
29-03-2017,196
30-03-2017,158
31-03-2017,146
01-04-2017,181
02-04-2017,169
03-04-2017,191
04-04-2017,150
05-04-2017,144
06-04-2017,152
07-04-2017,179
08-04-2017,178
09-04-2017,191
10-04-2017,227
11-04-2017,172
12-04-2017,213
13-04-2017,219
14-04-2017,202
15-04-2017,138
16-04-2017,172
17-04-2017,189
18-04-2017,191
19-04-2017,179
20-04-2017,192
21-04-2017,155
22-04-2017,139
23-04-2017,121
24-04-2017,145
25-04-2017,145
26-04-2017,140
27-04-2017,153
28-04-2017,172
29-04-2017,181
30-04-2017,187
01-05-2017,113
02-05-2017,98
03-05-2017,146
04-05-2017,156
05-05-2017,170
06-05-2017,154
07-05-2017,120
08-05-2017,192
09-05-2017,188
10-05-2017,109
11-05-2017,151
12-05-2017,150
13-05-2017,158
14-05-2017,187
15-05-2017,193
16-05-2017,155
17-05-2017,140
18-05-2017,121
19-05-2017,144
20-05-2017,138
21-05-2017,130
22-05-2017,172
23-05-2017,228
24-05-2017,180
25-05-2017,145
26-05-2017,188
27-05-2017,162
28-05-2017,141
29-05-2017,192
30-05-2017,119
31-05-2017,87
01-06-2017,84
02-06-2017,107
03-06-2017,120
04-06-2017,117
05-06-2017,107
06-06-2017,214
07-06-2017,75
08-06-2017,115
09-06-2017,74
10-06-2017,71
11-06-2017,90
12-06-2017,71
13-06-2017,58
14-06-2017,106
15-06-2017,89
16-06-2017,59
17-06-2017,64
19-06-2017,63
20-06-2017,61
21-06-2017,61
22-06-2017,51
23-06-2017,66
24-06-2017,57
25-06-2017,61
26-06-2017,55
27-06-2017,46
28-06-2017,53
29-06-2017,55
30-06-2017,55
01-07-2017,50
02-07-2017,56
03-07-2017,50
04-07-2017,61
05-07-2017,66
06-07-2017,68
07-07-2017,94
08-07-2017,81
09-07-2017,82
10-07-2017,69
11-07-2017,54
12-07-2017,63
13-07-2017,54
14-07-2017,55
15-07-2017,48
16-07-2017,53
17-07-2017,67
18-07-2017,65
19-07-2017,52
