Date,AQI
23-04-2020,134
24-04-2020,147
28-04-2020,119
29-04-2020,233
30-04-2020,320
01-05-2020,367
13-05-2020,227
14-05-2020,143
15-05-2020,206
19-05-2020,275
22-05-2020,206
02-06-2020,165
03-06-2020,155
04-06-2020,197
05-06-2020,156
08-06-2020,112
09-06-2020,148
10-06-2020,142
11-06-2020,110
12-06-2020,134
15-06-2020,151
16-06-2020,187
17-06-2020,174
18-06-2020,236
19-06-2020,351
22-06-2020,121
23-06-2020,158
24-06-2020,103
25-06-2020,103
26-06-2020,151
29-06-2020,255
30-06-2020,183
01-07-2020,173
02-07-2020,161
03-07-2020,308
07-07-2020,110
08-07-2020,67
09-07-2020,54
10-07-2020,90
22-07-2020,42
23-07-2020,64
24-07-2020,94
27-07-2020,107
28-07-2020,80
29-07-2020,93
30-07-2020,94
31-07-2020,70
03-08-2020,83
04-08-2020,103
05-08-2020,164
06-08-2020,108
07-08-2020,58
11-08-2020,58
12-08-2020,60
13-08-2020,55
14-08-2020,48
17-08-2020,67
18-08-2020,95
19-08-2020,64
20-08-2020,49
21-08-2020,66
24-08-2020,49
25-08-2020,63
31-08-2020,38
01-09-2020,63
02-09-2020,51
03-09-2020,73
04-09-2020,82
07-09-2020,55
08-09-2020,54
09-09-2020,202
10-09-2020,245
11-09-2020,222
14-09-2020,76
15-09-2020,90
16-09-2020,154
17-09-2020,244
18-09-2020,171
24-09-2020,121
25-09-2020,248
29-09-2020,305
30-09-2020,246
01-10-2020,270
02-10-2020,300
06-10-2020,313
07-10-2020,320
08-10-2020,275
09-10-2020,233
12-10-2020,253
13-10-2020,314
14-10-2020,343
15-10-2020,337
16-10-2020,268
20-10-2020,279
21-10-2020,290
22-10-2020,240
23-10-2020,338
27-10-2020,411
28-10-2020,386
29-10-2020,418
30-10-2020,338
03-11-2020,233
05-11-2020,362
06-11-2020,339
09-11-2020,434
10-11-2020,431
11-11-2020,326
12-11-2020,388
13-11-2020,241
25-11-2020,432
26-11-2020,138
27-11-2020,128
28-11-2020,143
29-11-2020,192
30-11-2020,240
01-12-2020,244
02-12-2020,263
03-12-2020,236
04-12-2020,278
05-12-2020,274
06-12-2020,299
09-12-2020,318
10-12-2020,146
11-12-2020,228
12-12-2020,166
13-12-2020,126
14-12-2020,135
15-12-2020,124
16-12-2020,160
17-12-2020,173
18-12-2020,142
19-12-2020,173
20-12-2020,163
21-12-2020,199
22-12-2020,308
23-12-2020,311
24-12-2020,320
25-12-2020,254
26-12-2020,260
27-12-2020,262
28-12-2020,267
29-12-2020,246
30-12-2020,169
31-12-2020,298
01-01-2021,334
03-01-2021,224
06-01-2021,89
07-01-2021,164
08-01-2021,105
09-01-2021,132
10-01-2021,133
11-01-2021,146
12-01-2021,171
13-01-2021,216
14-01-2021,254
15-01-2021,216
16-01-2021,213
17-01-2021,167
18-01-2021,254
19-01-2021,184
20-01-2021,85
21-01-2021,150
22-01-2021,337
23-01-2021,319
24-01-2021,297
25-01-2021,300
26-01-2021,236
27-01-2021,211
28-01-2021,156
29-01-2021,191
30-01-2021,280
31-01-2021,315
01-02-2021,314
02-02-2021,349
03-02-2021,312
04-02-2021,277
05-02-2021,126
06-02-2021,169
07-02-2021,143
08-02-2021,155
09-02-2021,136
10-02-2021,102
11-02-2021,212
12-02-2021,129
13-02-2021,103
14-02-2021,325
15-02-2021,377
16-02-2021,347
17-02-2021,186
18-02-2021,291
19-02-2021,93
20-02-2021,236
25-02-2021,273
26-02-2021,162
27-02-2021,153
28-02-2021,202
01-03-2021,176
02-03-2021,121
03-03-2021,124
04-03-2021,203
05-03-2021,167
06-03-2021,136
07-03-2021,133
08-03-2021,140
09-03-2021,196
10-03-2021,92
11-03-2021,199
12-03-2021,82
13-03-2021,106
14-03-2021,121
15-03-2021,133
16-03-2021,162
17-03-2021,198
18-03-2021,200
19-03-2021,176
20-03-2021,131
21-03-2021,146
22-03-2021,111
23-03-2021,133
24-03-2021,102
25-03-2021,103
26-03-2021,91
27-03-2021,125
28-03-2021,139
29-03-2021,138
30-03-2021,216
31-03-2021,211
02-04-2021,148
03-04-2021,158
04-04-2021,142
05-04-2021,146
06-04-2021,163
07-04-2021,148
08-04-2021,120
09-04-2021,116
10-04-2021,111
11-04-2021,125
12-04-2021,178
13-04-2021,155
14-04-2021,155
15-04-2021,170
16-04-2021,184
17-04-2021,96
18-04-2021,151
19-04-2021,163
20-04-2021,130
21-04-2021,102
22-04-2021,85
23-04-2021,94
24-04-2021,106
25-04-2021,113
26-04-2021,135
27-04-2021,178
28-04-2021,162
30-04-2021,167
01-05-2021,119
02-05-2021,135
03-05-2021,242
04-05-2021,102
05-05-2021,100
06-05-2021,126
07-05-2021,103
08-05-2021,108
09-05-2021,101
10-05-2021,88
11-05-2021,76
12-05-2021,83
13-05-2021,91
14-05-2021,118
15-05-2021,107
16-05-2021,163
17-05-2021,179
18-05-2021,106
19-05-2021,136
20-05-2021,54
21-05-2021,84
22-05-2021,54
23-05-2021,273
24-05-2021,120
25-05-2021,143
26-05-2021,209
27-05-2021,120
28-05-2021,176
29-05-2021,120
30-05-2021,42
31-05-2021,45
