Date,AQI
13-08-2022,60
17-08-2022,60
24-08-2022,57
25-08-2022,58
27-08-2022,56
30-08-2022,80
03-09-2022,57
16-09-2022,72
29-09-2022,86
30-09-2022,73
04-10-2022,76
12-10-2022,77
13-10-2022,77
20-10-2022,100
27-10-2022,104
01-11-2022,70
02-11-2022,71
03-11-2022,70
04-11-2022,71
05-11-2022,71
09-11-2022,100
18-11-2022,189
19-11-2022,154
06-12-2022,262
07-12-2022,282
08-12-2022,260
11-12-2022,33
13-12-2022,34
14-12-2022,75
15-12-2022,89
16-12-2022,108
17-12-2022,123
20-12-2022,106
21-12-2022,111
22-12-2022,110
27-12-2022,56
29-12-2022,91
03-01-2023,87
04-01-2023,127
12-01-2023,108
13-01-2023,102
14-01-2023,207
18-01-2023,91
19-01-2023,109
20-01-2023,106
24-01-2023,76
25-01-2023,95
26-01-2023,167
27-01-2023,115
28-01-2023,101
29-01-2023,122
30-01-2023,94
01-02-2023,110
02-02-2023,90
03-02-2023,94
07-02-2023,95
08-02-2023,108
09-02-2023,102
10-02-2023,100
11-02-2023,94
15-02-2023,141
16-02-2023,124
17-02-2023,141
22-02-2023,116
23-02-2023,128
24-02-2023,83
28-02-2023,92
01-03-2023,92
02-03-2023,92
03-03-2023,95
04-03-2023,100
05-03-2023,92
09-03-2023,92
10-03-2023,92
11-03-2023,92
12-03-2023,92
13-03-2023,92
16-03-2023,92
23-03-2023,92
30-03-2023,92
31-03-2023,92
03-05-2023,92
04-05-2023,92
05-05-2023,92
11-05-2023,92
25-05-2023,92
04-07-2023,52
05-07-2023,51
08-07-2023,63
11-07-2023,172
12-07-2023,286
17-07-2023,55
26-07-2023,381
04-08-2023,213
22-08-2023,399
02-09-2023,59
03-09-2023,59
09-09-2023,58
10-09-2023,58
13-09-2023,55
14-09-2023,57
17-09-2023,54
22-09-2023,56
23-09-2023,54
24-09-2023,53
10-10-2023,61
11-10-2023,65
12-10-2023,99
13-10-2023,88
14-10-2023,77
12-11-2023,206
13-11-2023,255
14-11-2023,115
22-11-2023,28
23-11-2023,29
24-11-2023,26
25-11-2023,32
28-11-2023,28
30-11-2023,25
01-12-2023,28
02-12-2023,64
03-12-2023,24
12-12-2023,68
14-12-2023,112
17-12-2023,55
18-12-2023,64
19-12-2023,125
20-12-2023,117
21-12-2023,213
22-12-2023,240
23-12-2023,150
24-12-2023,138
25-12-2023,93
