Date,AQI
01-05-2015,87
02-05-2015,120
03-05-2015,90
04-05-2015,88
05-05-2015,124
06-05-2015,135
07-05-2015,146
08-05-2015,146
10-05-2015,143
11-05-2015,233
12-05-2015,169
13-05-2015,229
15-05-2015,113
16-05-2015,183
17-05-2015,164
18-05-2015,119
19-05-2015,212
20-05-2015,118
21-05-2015,180
22-05-2015,188
23-05-2015,133
24-05-2015,123
25-05-2015,172
26-05-2015,177
27-05-2015,186
28-05-2015,200
29-05-2015,173
30-05-2015,207
31-05-2015,164
01-06-2015,177
02-06-2015,228
03-06-2015,211
04-06-2015,160
05-06-2015,151
06-06-2015,112
07-06-2015,118
08-06-2015,118
09-06-2015,107
10-06-2015,105
11-06-2015,108
13-06-2015,106
14-06-2015,106
15-06-2015,119
16-06-2015,101
17-06-2015,108
18-06-2015,108
19-06-2015,164
20-06-2015,107
21-06-2015,100
22-06-2015,115
23-06-2015,120
25-06-2015,137
26-06-2015,132
27-06-2015,174
28-06-2015,112
01-07-2015,172
02-07-2015,144
03-07-2015,157
05-07-2015,156
06-07-2015,162
07-07-2015,160
08-07-2015,152
09-07-2015,182
10-07-2015,93
11-07-2015,162
12-07-2015,149
13-07-2015,139
14-07-2015,133
15-07-2015,125
16-07-2015,128
17-07-2015,128
18-07-2015,128
19-07-2015,84
20-07-2015,84
21-07-2015,96
22-07-2015,123
23-07-2015,157
24-07-2015,159
25-07-2015,103
26-07-2015,94
27-07-2015,116
28-07-2015,103
29-07-2015,96
30-07-2015,94
31-07-2015,95
01-08-2015,102
02-08-2015,191
03-08-2015,78
04-08-2015,120
05-08-2015,109
06-08-2015,105
07-08-2015,91
08-08-2015,136
09-08-2015,104
10-08-2015,100
11-08-2015,100
12-08-2015,112
13-08-2015,107
14-08-2015,99
15-08-2015,84
16-08-2015,111
17-08-2015,116
18-08-2015,104
19-08-2015,117
20-08-2015,148
21-08-2015,81
22-08-2015,99
23-08-2015,46
24-08-2015,75
25-08-2015,79
26-08-2015,92
27-08-2015,84
29-08-2015,53
30-08-2015,82
31-08-2015,80
01-09-2015,75
02-09-2015,101
03-09-2015,77
04-09-2015,75
05-09-2015,75
06-09-2015,77
07-09-2015,79
08-09-2015,71
09-09-2015,73
10-09-2015,70
11-09-2015,68
12-09-2015,86
13-09-2015,60
14-09-2015,67
15-09-2015,62
16-09-2015,61
17-09-2015,68
18-09-2015,66
19-09-2015,64
20-09-2015,55
21-09-2015,68
22-09-2015,75
23-09-2015,75
24-09-2015,97
25-09-2015,82
26-09-2015,90
27-09-2015,171
28-09-2015,145
29-09-2015,80
30-09-2015,81
01-10-2015,81
02-10-2015,92
03-10-2015,77
04-10-2015,92
05-10-2015,78
06-10-2015,67
07-10-2015,69
08-10-2015,147
09-10-2015,81
10-10-2015,82
12-10-2015,68
13-10-2015,69
14-10-2015,64
15-10-2015,80
16-10-2015,72
17-10-2015,124
18-10-2015,67
19-10-2015,54
20-10-2015,53
21-10-2015,68
23-10-2015,148
24-10-2015,100
25-10-2015,130
26-10-2015,121
27-10-2015,127
28-10-2015,158
29-10-2015,125
31-10-2015,94
01-11-2015,122
02-11-2015,131
03-11-2015,103
04-11-2015,101
05-11-2015,80
06-11-2015,88
07-11-2015,103
08-11-2015,61
09-11-2015,49
10-11-2015,104
11-11-2015,159
12-11-2015,108
13-11-2015,91
14-11-2015,126
15-11-2015,107
16-11-2015,81
17-11-2015,146
18-11-2015,71
19-11-2015,75
21-11-2015,99
23-11-2015,90
24-11-2015,78
25-11-2015,78
26-11-2015,105
27-11-2015,113
28-11-2015,108
30-11-2015,90
01-12-2015,81
08-12-2015,226
09-12-2015,123
10-12-2015,93
11-12-2015,122
12-12-2015,104
13-12-2015,119
14-12-2015,215
15-12-2015,100
16-12-2015,97
17-12-2015,121
18-12-2015,124
19-12-2015,106
21-12-2015,83
22-12-2015,123
23-12-2015,106
24-12-2015,119
25-12-2015,123
26-12-2015,118
28-12-2015,240
29-12-2015,203
30-12-2015,105
31-12-2015,101
01-01-2016,140
03-01-2016,63
05-01-2016,93
06-01-2016,121
07-01-2016,67
08-01-2016,109
09-01-2016,187
10-01-2016,110
11-01-2016,314
12-01-2016,139
13-01-2016,136
14-01-2016,185
15-01-2016,168
16-01-2016,122
17-01-2016,116
18-01-2016,116
19-01-2016,277
20-01-2016,216
21-01-2016,109
22-01-2016,132
23-01-2016,101
24-01-2016,95
25-01-2016,97
26-01-2016,114
27-01-2016,93
28-01-2016,99
29-01-2016,115
30-01-2016,123
31-01-2016,151
01-02-2016,68
02-02-2016,108
03-02-2016,193
04-02-2016,195
05-02-2016,308
06-02-2016,210
07-02-2016,173
08-02-2016,153
09-02-2016,177
10-02-2016,193
11-02-2016,158
12-02-2016,129
13-02-2016,151
15-02-2016,86
16-02-2016,171
19-02-2016,172
20-02-2016,168
21-02-2016,181
22-02-2016,156
23-02-2016,117
24-02-2016,88
25-02-2016,99
26-02-2016,107
27-02-2016,84
28-02-2016,81
29-02-2016,106
02-03-2016,171
04-03-2016,105
05-03-2016,97
06-03-2016,86
10-03-2016,206
14-03-2016,108
15-03-2016,164
16-03-2016,175
